diameter_um,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,metric,input_table,value_column,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero,flow01,flow03,flow05,flow07,flow10
128,1,0,25,12.5,RI,raw_depth_profiles.csv,median,5,0,0.54165151434722592,0.52273848245680332,0.66945519409569232,5,0,0,0.53978573468205782,0.52273848245680332,0.54279533638810251,0.66945519409569232,0.54165151434722592
128,1,0,25,12.5,tail_mean,raw_depth_profiles.csv,median,5,0,99795776.924342737,97548550.904858097,102543721.54942608,5,0,0,101052600.01667538,99795776.924342737,99533350.725851119,97548550.904858097,102543721.54942608
128,2,25,50,37.5,RI,raw_depth_profiles.csv,median,5,0,0.43674014578157611,0.4204795663704109,0.57566154603321984,5,0,0,0.46815841647567691,0.43674014578157611,0.4204795663704109,0.57566154603321984,0.4301636550492674
128,2,25,50,37.5,tail_mean,raw_depth_profiles.csv,median,5,0,82327289.943060488,80498208.136258692,84257267.161502212,5,0,0,84257267.161502212,81429405.080843896,80498208.136258692,83164189.473139733,82327289.943060488
128,3,50,75,62.5,RI,raw_depth_profiles.csv,median,5,0,0.38963789628405565,0.38058547892341743,0.49077777618517587,5,0,0,0.39721655056807359,0.38963789628405565,0.38058547892341743,0.49077777618517587,0.38925524130717881
128,3,50,75,62.5,tail_mean,raw_depth_profiles.csv,median,5,0,72241661.517101556,69986573.880416721,73983125.232675582,5,0,0,73214927.882659376,72241661.517101556,69986573.880416721,71851541.27173458,73983125.232675582
128,4,75,100,87.5,RI,raw_depth_profiles.csv,median,5,0,0.33246012297988825,0.32098644356865247,0.41791215543386889,5,0,0,0.33862765904609193,0.32098644356865247,0.32562554576890335,0.41791215543386889,0.33246012297988825
128,4,75,100,87.5,tail_mean,raw_depth_profiles.csv,median,5,0,60710441.777342893,60092157.091944419,62909412.606104903,5,0,0,62068398.539010644,60624779.608149379,60710441.777342893,60092157.091944419,62909412.606104903
128,5,100,125,112.5,RI,raw_depth_profiles.csv,median,5,0,0.28589797556184288,0.27478077275712048,0.36991866591397266,5,0,0,0.28891609486315861,0.28589797556184288,0.28150101865153254,0.36991866591397266,0.27478077275712048
128,5,100,125,112.5,tail_mean,raw_depth_profiles.csv,median,5,0,53300126.549722508,52441353.734168462,53743448.632358253,5,0,0,53300126.549722508,53309820.640582129,52441353.734168462,53743448.632358253,52680924.033922009
128,6,125,150,137.5,RI,raw_depth_profiles.csv,median,5,0,0.25306827015358618,0.24760248440859123,0.32880988839663322,5,0,0,0.2629677757830729,0.25306827015358618,0.25261090406125053,0.32880988839663322,0.24760248440859123
128,6,125,150,137.5,tail_mean,raw_depth_profiles.csv,median,5,0,47681584.489245176,46925861.248086557,47924692.927364789,5,0,0,47872404.144579321,47339099.415490329,46925861.248086557,47924692.927364789,47681584.489245176
128,7,150,175,162.5,RI,raw_depth_profiles.csv,median,5,0,0.22831779459143925,0.22345955214424079,0.2959166927868882,5,0,0,0.23437774079955298,0.22691141889337038,0.22345955214424079,0.2959166927868882,0.22831779459143925
128,7,150,175,162.5,tail_mean,raw_depth_profiles.csv,median,5,0,43353203.334883764,42057625.995975323,43501441.172254659,5,0,0,43353203.334883764,43159753.55724407,42057625.995975323,43383737.911023013,43501441.172254659
128,8,175,200,187.5,RI,raw_depth_profiles.csv,median,5,0,0.20773492698939605,0.20006173807107749,0.26782621456501704,5,0,0,0.21116899893927832,0.20613575156691977,0.20006173807107749,0.26782621456501704,0.20773492698939605
128,8,175,200,187.5,tail_mean,raw_depth_profiles.csv,median,5,0,38778198.279459715,38130096.602734067,39770886.584130466,5,0,0,38778198.279459715,39138608.748510897,38130096.602734067,38777212.622197188,39770886.584130466
128,9,200,225,212.5,RI,raw_depth_profiles.csv,median,5,0,0.1900912258001069,0.18547554676765712,0.24921997302648832,5,0,0,0.19669640761525559,0.18547554676765712,0.1900912258001069,0.24921997302648832,0.18908242026505423
128,9,200,225,212.5,tail_mean,raw_depth_profiles.csv,median,5,0,36155222.656226516,35413743.708280876,36437755.495145127,5,0,0,36155222.656226516,35478355.90081571,35413743.708280876,36193012.992137648,36437755.495145127
128,10,225,250,237.5,RI,raw_depth_profiles.csv,median,5,0,0.17761803162564588,0.174471151253417,0.23128159388149735,5,0,0,0.18649626664099606,0.17547871566930962,0.174471151253417,0.23128159388149735,0.17761803162564588
128,10,225,250,237.5,tail_mean,raw_depth_profiles.csv,median,5,0,33758113.014672726,32900220.191542841,34306811.982014194,5,0,0,33758113.014672726,33219337.214175142,32900220.191542841,33800993.733526662,34306811.982014194
128,11,250,275,262.5,RI,raw_depth_profiles.csv,median,5,0,0.16612709645135454,0.16430718894345744,0.21777898379143965,5,0,0,0.17308978227336536,0.16478273028648557,0.16430718894345744,0.21777898379143965,0.16612709645135454
128,11,250,275,262.5,tail_mean,raw_depth_profiles.csv,median,5,0,31651291.023789778,31035336.113851298,32048715.555273425,5,0,0,32048715.555273425,31035336.113851298,31529322.058033787,31884338.095790401,31651291.023789778
128,12,275,300,287.5,RI,raw_depth_profiles.csv,median,5,0,0.15572327403483399,0.15377981220859202,0.20750596193682114,5,0,0,0.16329770667247373,0.15377981220859202,0.15572327403483399,0.20750596193682114,0.15527529270492546
128,12,275,300,287.5,tail_mean,raw_depth_profiles.csv,median,5,0,29648371.328849554,29394441.597940058,30266284.921510682,5,0,0,29648371.328849554,29901754.847438835,29430361.549168102,30266284.921510682,29394441.597940058
128,13,300,325,312.5,RI,raw_depth_profiles.csv,median,5,0,0.1526348648813457,0.14700069286806283,0.19804321715499554,5,0,0,0.1526348648813457,0.14700069286806283,0.15311509169471235,0.19804321715499554,0.14702503583113721
128,13,300,325,312.5,tail_mean,raw_depth_profiles.csv,median,5,0,28236924.352145769,27993163.379588041,28865745.475279614,5,0,0,28065498.802213319,27993163.379588041,28865745.475279614,28664233.24762471,28236924.352145769
128,14,325,350,337.5,RI,raw_depth_profiles.csv,median,5,0,0.14306432432287405,0.13946664829555167,0.19147026604059655,5,0,0,0.14706474213650444,0.14135036207404397,0.14306432432287405,0.19147026604059655,0.13946664829555167
128,14,325,350,337.5,tail_mean,raw_depth_profiles.csv,median,5,0,27081102.755857982,26603560.382188518,27904312.456430022,5,0,0,27081102.755857982,26603560.382188518,26994045.637679845,27904312.456430022,27100834.39826265
