scan_id,diameter_um,flow_mm_s,mode,support,source_bin,u_lo,u_hi,u_mid,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,in_C16,rho,n_pairs,status
D128_F01_V01,128,1,detrended_31,real_all,3,0.33333333333333331,0.5,0.41666666666666669,1,0,25,12.5,True,0.25446156362749417,486,ok
D128_F01_V01,128,1,detrended_31,real_all,3,0.33333333333333331,0.5,0.41666666666666669,2,25,50,37.5,True,0.32769770931519709,486,ok
D128_F01_V01,128,1,detrended_31,real_all,3,0.33333333333333331,0.5,0.41666666666666669,3,50,75,62.5,True,0.17854878946484698,486,ok
D128_F01_V01,128,1,detrended_31,real_all,3,0.33333333333333331,0.5,0.41666666666666669,4,75,100,87.5,True,0.15423693509733616,486,ok
D128_F01_V01,128,1,detrended_31,real_all,4,0.5,0.66666666666666663,0.58333333333333337,1,0,25,12.5,True,0.16589297069030651,486,ok
D128_F01_V01,128,1,detrended_31,real_all,4,0.5,0.66666666666666663,0.58333333333333337,2,25,50,37.5,True,0.17870915143966748,486,ok
D128_F01_V01,128,1,detrended_31,real_all,4,0.5,0.66666666666666663,0.58333333333333337,3,50,75,62.5,True,0.16770606193656773,486,ok
D128_F01_V01,128,1,detrended_31,real_all,4,0.5,0.66666666666666663,0.58333333333333337,4,75,100,87.5,True,0.15144329867357398,486,ok
D128_F01_V01,128,1,detrended_31,real_all,5,0.66666666666666663,0.83333333333333337,0.75,1,0,25,12.5,True,0.15134456046917982,486,ok
D128_F01_V01,128,1,detrended_31,real_all,5,0.66666666666666663,0.83333333333333337,0.75,2,25,50,37.5,True,0.1980473169431734,486,ok
D128_F01_V01,128,1,detrended_31,real_all,5,0.66666666666666663,0.83333333333333337,0.75,3,50,75,62.5,True,0.11090490222379157,486,ok
D128_F01_V01,128,1,detrended_31,real_all,5,0.66666666666666663,0.83333333333333337,0.75,4,75,100,87.5,True,0.11681723995688853,486,ok
D128_F01_V01,128,1,detrended_31,real_all,6,0.83333333333333337,1,0.91666666666666663,1,0,25,12.5,True,0.20447842936278329,486,ok
D128_F01_V01,128,1,detrended_31,real_all,6,0.83333333333333337,1,0.91666666666666663,2,25,50,37.5,True,0.12164474553369656,486,ok
D128_F01_V01,128,1,detrended_31,real_all,6,0.83333333333333337,1,0.91666666666666663,3,50,75,62.5,True,0.039597468122553658,486,ok
D128_F01_V01,128,1,detrended_31,real_all,6,0.83333333333333337,1,0.91666666666666663,4,75,100,87.5,True,0.028818480181772278,486,ok
D128_F01_V01,128,1,detrended_101,real_all,3,0.33333333333333331,0.5,0.41666666666666669,1,0,25,12.5,True,0.23196856938851199,486,ok
D128_F01_V01,128,1,detrended_101,real_all,3,0.33333333333333331,0.5,0.41666666666666669,2,25,50,37.5,True,0.34100311455387561,486,ok
D128_F01_V01,128,1,detrended_101,real_all,3,0.33333333333333331,0.5,0.41666666666666669,3,50,75,62.5,True,0.18003134574220184,486,ok
D128_F01_V01,128,1,detrended_101,real_all,3,0.33333333333333331,0.5,0.41666666666666669,4,75,100,87.5,True,0.19875286659596941,486,ok
D128_F01_V01,128,1,detrended_101,real_all,4,0.5,0.66666666666666663,0.58333333333333337,1,0,25,12.5,True,0.19784866495403772,486,ok
D128_F01_V01,128,1,detrended_101,real_all,4,0.5,0.66666666666666663,0.58333333333333337,2,25,50,37.5,True,0.18005395521475789,486,ok
D128_F01_V01,128,1,detrended_101,real_all,4,0.5,0.66666666666666663,0.58333333333333337,3,50,75,62.5,True,0.18086451421027744,486,ok
D128_F01_V01,128,1,detrended_101,real_all,4,0.5,0.66666666666666663,0.58333333333333337,4,75,100,87.5,True,0.13652242605888334,486,ok
