scan_id,diameter_um,flow_mm_s,mode,pair,metric,baseline_51,value,change
D128_F01_V01,128,1,detrended_31,C16,rho_median,0.16380209619412242,0.16006495289382133,-0.0037371433003010879
D128_F01_V01,128,1,detrended_31,W100,rho0,0.37412003944839023,0.36485119529973231,-0.0092688441486579176
D128_F01_V01,128,1,detrended_31,W100,specificity,0.38169388199780657,0.3763627048620336,-0.0053311771357729687
D128_F01_V01,128,1,detrended_31,W500,rho0,0.44109803093463545,0.43037158217629551,-0.010726448758339946
D128_F01_V01,128,1,detrended_31,W500,specificity,0.44472397026650834,0.44427458725490787,-0.00044938301160046823
D128_F01_V01,128,1,detrended_31,C100,rho0,0.34577739330885066,0.32751381615275038,-0.018263577156100275
D128_F01_V01,128,1,detrended_31,C100,specificity,0.3447143925227199,0.33388150564461927,-0.010832886878100634
D128_F01_V01,128,1,detrended_101,C16,rho_median,0.16380209619412242,0.18004265047847987,0.016240554284357445
D128_F01_V01,128,1,detrended_101,W100,rho0,0.37412003944839023,0.3667860229528907,-0.0073340164954995291
D128_F01_V01,128,1,detrended_101,W100,specificity,0.38169388199780657,0.38785652451554192,0.0061626425177353505
D128_F01_V01,128,1,detrended_101,W500,rho0,0.44109803093463545,0.43263013219616875,-0.0084678987384667059
D128_F01_V01,128,1,detrended_101,W500,specificity,0.44472397026650834,0.48316652777090408,0.038442557504395736
D128_F01_V01,128,1,detrended_101,C100,rho0,0.34577739330885066,0.3503104125880504,0.0045330192791997459
D128_F01_V01,128,1,detrended_101,C100,specificity,0.3447143925227199,0.39201719134086643,0.04730279881814653
D128_F03_V01,128,3,detrended_31,C16,rho_median,0.1506984096427027,0.12930516453955804,-0.021393245103144665
D128_F03_V01,128,3,detrended_31,W100,rho0,0.34702342857560198,0.33771001597496059,-0.0093134126006413909
D128_F03_V01,128,3,detrended_31,W100,specificity,0.31567828031339346,0.32643690411737486,0.010758623803981404
D128_F03_V01,128,3,detrended_31,W500,rho0,0.35028304675591732,0.35304150578106808,0.0027584590251507612
D128_F03_V01,128,3,detrended_31,W500,specificity,0.34030929900670481,0.33343740912453851,-0.0068718898821663044
D128_F03_V01,128,3,detrended_31,C100,rho0,0.32550798538842424,0.30749341723001627,-0.018014568158407962
D128_F03_V01,128,3,detrended_31,C100,specificity,0.29371324641070962,0.29449602128660102,0.00078277487589140105
D128_F03_V01,128,3,detrended_101,C16,rho_median,0.1506984096427027,0.17453475956432229,0.023836349921619593
D128_F03_V01,128,3,detrended_101,W100,rho0,0.34702342857560198,0.33315202094258167,-0.013871407633020305
D128_F03_V01,128,3,detrended_101,W100,specificity,0.31567828031339346,0.33819376451169564,0.022515484198302183
D128_F03_V01,128,3,detrended_101,W500,rho0,0.35028304675591732,0.34422894974598062,-0.0060540970099366986
D128_F03_V01,128,3,detrended_101,W500,specificity,0.34030929900670481,0.36960721585325612,0.029297916846551308
D128_F03_V01,128,3,detrended_101,C100,rho0,0.32550798538842424,0.33700137358347415,0.011493388195049914
D128_F03_V01,128,3,detrended_101,C100,specificity,0.29371324641070962,0.3496323689737682,0.055919122563058588
D128_F05_V01,128,5,detrended_31,C16,rho_median,0.15203803659141071,0.12736675199548769,-0.024671284595923021
D128_F05_V01,128,5,detrended_31,W100,rho0,0.39968497813807558,0.39758056273439096,-0.0021044154036846119
D128_F05_V01,128,5,detrended_31,W100,specificity,0.40350737704235934,0.40637514324675938,0.0028677662044000463
D128_F05_V01,128,5,detrended_31,W500,rho0,0.43616941495554823,0.42361398787124416,-0.012555427084304072
D128_F05_V01,128,5,detrended_31,W500,specificity,0.44641038040161679,0.43717351034489621,-0.0092368700567205808
D128_F05_V01,128,5,detrended_31,C100,rho0,0.36283115078167394,0.35440325704149828,-0.0084278937401756626
D128_F05_V01,128,5,detrended_31,C100,specificity,0.35053214202822397,0.35646202437418745,0.0059298823459634775
D128_F05_V01,128,5,detrended_101,C16,rho_median,0.15203803659141071,0.15628844559926564,0.0042504090078549217
D128_F05_V01,128,5,detrended_101,W100,rho0,0.39968497813807558,0.38345557939656372,-0.016229398741511858
D128_F05_V01,128,5,detrended_101,W100,specificity,0.40350737704235934,0.40636997160965571,0.0028625945672963726
D128_F05_V01,128,5,detrended_101,W500,rho0,0.43616941495554823,0.43249199268800492,-0.0036774222675433066
D128_F05_V01,128,5,detrended_101,W500,specificity,0.44641038040161679,0.47568023905501872,0.029269858653401926
