scan_id,diameter_um,flow_mm_s,module,region,metric,reason,n_positions
D128_F01_V01,128,1,local_background,source,z_local,ok,486
D128_F01_V01,128,1,local_background,source,z_local,invalid_geometry,14
D128_F01_V01,128,1,local_background,source,signed_asymmetry,ok,486
D128_F01_V01,128,1,local_background,source,signed_asymmetry,invalid_geometry,14
D128_F01_V01,128,1,local_background,s1,z_local,ok,486
D128_F01_V01,128,1,local_background,s1,z_local,invalid_geometry,14
D128_F01_V01,128,1,local_background,s1,signed_asymmetry,ok,486
D128_F01_V01,128,1,local_background,s1,signed_asymmetry,invalid_geometry,14
D128_F01_V01,128,1,local_background,s2,z_local,ok,486
D128_F01_V01,128,1,local_background,s2,z_local,invalid_geometry,14
D128_F01_V01,128,1,local_background,s2,signed_asymmetry,ok,486
D128_F01_V01,128,1,local_background,s2,signed_asymmetry,invalid_geometry,14
D128_F01_V01,128,1,local_background,s3,z_local,ok,486
D128_F01_V01,128,1,local_background,s3,z_local,invalid_geometry,14
D128_F01_V01,128,1,local_background,s3,signed_asymmetry,ok,486
D128_F01_V01,128,1,local_background,s3,signed_asymmetry,invalid_geometry,14
D128_F01_V01,128,1,local_background,s4,z_local,ok,486
D128_F01_V01,128,1,local_background,s4,z_local,invalid_geometry,14
D128_F01_V01,128,1,local_background,s4,signed_asymmetry,ok,486
D128_F01_V01,128,1,local_background,s4,signed_asymmetry,invalid_geometry,14
D128_F01_V01,128,1,local_background,s5,z_local,ok,486
D128_F01_V01,128,1,local_background,s5,z_local,invalid_geometry,14
D128_F01_V01,128,1,local_background,s5,signed_asymmetry,ok,486
D128_F01_V01,128,1,local_background,s5,signed_asymmetry,invalid_geometry,14
D128_F01_V01,128,1,local_background,s6,z_local,ok,486
D128_F01_V01,128,1,local_background,s6,z_local,invalid_geometry,14
D128_F01_V01,128,1,local_background,s6,signed_asymmetry,ok,486
D128_F01_V01,128,1,local_background,s6,signed_asymmetry,invalid_geometry,14
D128_F01_V01,128,1,local_background,s36,z_local,ok,486
D128_F01_V01,128,1,local_background,s36,z_local,invalid_geometry,14
D128_F01_V01,128,1,local_background,s36,signed_asymmetry,ok,486
D128_F01_V01,128,1,local_background,s36,signed_asymmetry,invalid_geometry,14
D128_F01_V01,128,1,local_background,t01,z_local,ok,486
