flow_mm_s,metric,reference_D,comparison_D,reference_value,comparison_value,difference,percent_change,status
1,RI100,128,235,0.45046060387848441,0.23841905035208191,-0.2120415535264025,-47.072163847563132,ok
1,RI100,128,285,0.45046060387848441,0.2049835580654048,-0.24547704581307961,-54.494675827255946,ok
1,RI100,235,285,0.23841905035208191,0.2049835580654048,-0.03343549228667711,-14.023834184936868,ok
1,RI500,128,235,0.23532468600060119,0.14950431368691941,-0.085820372313681781,-36.468920355199167,ok
1,RI500,128,285,0.23532468600060119,0.13272170147554466,-0.10260298452505653,-43.600604028764927,ok
1,RI500,235,285,0.14950431368691941,0.13272170147554466,-0.016782612211374753,-11.225503664409061,ok
1,source,128,235,184920154.60033482,206708139.81254771,21787985.21221289,11.782374538515253,ok
1,source,128,285,184920154.60033482,217567134.03221822,32646979.431883395,17.654635592557675,ok
1,source,235,285,206708139.81254771,217567134.03221822,10858994.219670504,5.2532978282896519,ok
1,tail100,128,235,82092144.726601571,49020707.733170494,-33071436.993431076,-40.285750973581806,ok
1,tail100,128,285,82092144.726601571,45215322.193180032,-36876822.533421539,-44.921256054687753,ok
1,tail100,235,285,49020707.733170494,45215322.193180032,-3805385.5399904624,-7.7628123214865354,ok
1,tail500,128,235,43311305.943663433,30367929.608438835,-12943376.335224599,-29.8845210349014,ok
1,tail500,128,285,43311305.943663433,28861628.697207291,-14449677.246456143,-33.362367935179222,ok
1,tail500,235,285,30367929.608438835,28861628.697207291,-1506300.9112315439,-4.9601699248307121,ok
3,RI100,128,235,0.43393715374042613,0.23664415643178022,-0.19729299730864591,-45.465799738056823,ok
3,RI100,128,285,0.43393715374042613,0.20164976196524345,-0.23228739177518268,-53.530192050375355,ok
3,RI100,235,285,0.23664415643178022,0.20164976196524345,-0.034994394466536766,-14.787770378190153,ok
3,RI500,128,235,0.22420183031850904,0.1473377404585276,-0.076864089859981444,-34.283435487919789,ok
3,RI500,128,285,0.22420183031850904,0.13095530836444219,-0.093246521954066852,-41.590437429345492,ok
3,RI500,235,285,0.1473377404585276,0.13095530836444219,-0.016382432094085408,-11.118965204096305,ok
3,source,128,235,188715323.1745643,215254629.63309839,26539306.458534092,14.063143369648296,ok
3,source,128,285,188715323.1745643,223769889.03170121,35054565.857136905,18.575368055677675,ok
3,source,235,285,215254629.63309839,223769889.03170121,8515259.3986028135,3.9559006991473664,ok
3,tail100,128,235,80983728.733307019,49959401.33967419,-31024327.393632829,-38.309334330358062,ok
3,tail100,128,285,80983728.733307019,45336020.369953133,-35647708.363353886,-44.018358898671806,ok
3,tail100,235,285,49959401.33967419,45336020.369953133,-4623380.9697210565,-9.2542761637327651,ok
3,tail500,128,235,42341295.337262824,31107807.749594979,-11233487.587667845,-26.530807567858503,ok
3,tail500,128,285,42341295.337262824,29272722.233779415,-13068573.103483409,-30.86484010323203,ok
3,tail500,235,285,31107807.749594979,29272722.233779415,-1835085.5158155635,-5.8991155229813845,ok
5,RI100,128,235,0.42123103493531716,0.22835832261995426,-0.1928727123153629,-45.787868490027044,ok
5,RI100,128,285,0.42123103493531716,0.20424396703283285,-0.21698706790248432,-51.512602326607798,ok
5,RI100,235,285,0.22835832261995426,0.20424396703283285,-0.024114355587121411,-10.559875948665891,ok
5,RI500,128,235,0.22330065318823616,0.14241669196205986,-0.080883961226176304,-36.221999385731046,ok
5,RI500,128,285,0.22330065318823616,0.13094398005305494,-0.092356673135181228,-41.359786376140669,ok
5,RI500,235,285,0.14241669196205986,0.13094398005305494,-0.011472711909004923,-8.0557354274604833,ok
5,source,128,235,192075186.15168616,214846735.94179559,22771549.790109426,11.855539617765208,ok
5,source,128,285,192075186.15168616,220536135.55605829,28460949.404372126,14.817608653465452,ok
5,source,235,285,214846735.94179559,220536135.55605829,5689399.6142627001,2.6481201072582379,ok
5,tail100,128,235,79408151.457878381,48628569.071338393,-30779582.386539988,-38.761237758905459,ok
5,tail100,128,285,79408151.457878381,45552696.296688199,-33855455.161190182,-42.634735275444136,ok
5,tail100,235,285,48628569.071338393,45552696.296688199,-3075872.7746501938,-6.3252380923194966,ok
5,tail500,128,235,42088839.342979915,30592375.634217784,-11496463.708762132,-27.314755855056976,ok
5,tail500,128,285,42088839.342979915,29090608.716573328,-12998230.626406588,-30.882844072949212,ok
5,tail500,235,285,30592375.634217784,29090608.716573328,-1501766.917644456,-4.9089581521897871,ok
7,RI100,128,235,0.55277147395786985,0.23415256009957408,-0.31861891385829577,-57.640259830517174,ok
7,RI100,128,285,0.55277147395786985,0.20826992156020055,-0.34450155239766933,-62.322599596361577,ok
7,RI100,235,285,0.23415256009957408,0.20826992156020055,-0.025882638539373531,-11.053749968980421,ok
7,RI500,128,235,0.29730363891501299,0.14296228599655492,-0.15434135291845807,-51.913711342960717,ok
7,RI500,128,285,0.29730363891501299,0.13697427484533969,-0.1603293640696733,-53.927817585678774,ok
7,RI500,235,285,0.14296228599655492,0.13697427484533969,-0.0059880111512152223,-4.1885250431428611,ok
7,source,128,235,145284801.08129755,214936408.46238989,69651607.38109234,47.941427363841818,ok
7,source,128,285,145284801.08129755,216359764.34816194,71074963.266864389,48.921127838480992,ok
7,source,235,285,214936408.46238989,216359764.34816194,1423355.8857720494,0.66222186178434805,ok
7,tail100,128,235,80103132.622097135,49565733.209910661,-30537399.412186474,-38.122603214849143,ok
7,tail100,128,285,80103132.622097135,45486178.327436194,-34616954.294660941,-43.215481294562451,ok
7,tail100,235,285,49565733.209910661,45486178.327436194,-4079554.8824744672,-8.2305952485310172,ok
7,tail500,128,235,43169586.410262212,30432370.323021192,-12737216.08724102,-29.505068605922865,ok
7,tail500,128,285,43169586.410262212,29523738.549766574,-13645847.860495638,-31.609864710799656,ok
7,tail500,235,285,30432370.323021192,29523738.549766574,-908631.77325461805,-2.9857410501056663,ok
10,RI100,128,235,0.42980361070057205,0.22888567244423688,-0.20091793825633517,-46.746451926926021,ok
10,RI100,128,285,0.42980361070057205,0.20190292792899753,-0.22790068277157452,-53.024376040047819,ok
10,RI100,235,285,0.22888567244423688,0.20190292792899753,-0.026982744515239354,-11.788743361301098,ok
10,RI500,128,235,0.2231842946030006,0.14007813403814831,-0.083106160564852288,-37.236563044313321,ok
10,RI500,128,285,0.2231842946030006,0.13143221939853203,-0.091752075204468569,-41.110453299447805,ok
10,RI500,235,285,0.14007813403814831,0.13143221939853203,-0.0086459146396162811,-6.1722086027086052,ok
10,source,128,235,193802290.22788948,220026699.75491247,26224409.527022988,13.531527153877315,ok
10,source,128,285,193802290.22788948,211383598.84193882,17581308.614049345,9.0717754642505621,ok
10,source,235,285,220026699.75491247,211383598.84193882,-8643100.9129736423,-3.9282054962425854,ok
10,tail100,128,235,81778417.836471111,49979061.166687183,-31799356.669783928,-38.884778540680223,ok
10,tail100,128,285,81778417.836471111,43471339.917659484,-38307077.918811627,-46.842527566885302,ok
10,tail100,235,285,49979061.166687183,43471339.917659484,-6507721.2490276992,-13.020895345199733,ok
10,tail500,128,235,43084990.92621392,30712304.123685014,-12372686.802528907,-28.716930273277772,ok
10,tail500,128,285,43084990.92621392,28085588.355252143,-14999402.570961777,-34.813521480483331,ok
10,tail500,235,285,30712304.123685014,28085588.355252143,-2626715.7684328705,-8.5526496411813469,ok
