figure,source_tables,panels,status
figures/depth_atlas_D128.png,depth_maps_raw51.csv,10,numeric_mapping_and_visual_review_passed
figures/control_atlas_D128.png,pseudo_maps.csv; fixed_region_control_cells.csv,20,numeric_mapping_and_visual_review_passed
figures/lag_atlas_D128.png,representative_lag.csv.gz,15,numeric_mapping_and_visual_review_passed
figures/depth_atlas_D235.png,depth_maps_raw51.csv,10,numeric_mapping_and_visual_review_passed
figures/control_atlas_D235.png,pseudo_maps.csv; fixed_region_control_cells.csv,20,numeric_mapping_and_visual_review_passed
figures/lag_atlas_D235.png,representative_lag.csv.gz,15,numeric_mapping_and_visual_review_passed
figures/depth_atlas_D285.png,depth_maps_raw51.csv,10,numeric_mapping_and_visual_review_passed
figures/control_atlas_D285.png,pseudo_maps.csv; fixed_region_control_cells.csv,20,numeric_mapping_and_visual_review_passed
figures/lag_atlas_D285.png,representative_lag.csv.gz,15,numeric_mapping_and_visual_review_passed
figures/consensus.png,diameter_consensus_maps.csv,6,numeric_mapping_and_visual_review_passed
figures/matched_flow_metrics.png,volume_metrics.csv,5,numeric_mapping_and_visual_review_passed
figures/depth_profiles.png,raw_depth_profiles.csv; local_contrast_profiles.csv,9,numeric_mapping_and_visual_review_passed
figures/fixed_region_controls.png,fixed_region_control_excess.csv,3,numeric_mapping_and_visual_review_passed
figures/position_sensitivity.png,position_sensitivity_pairs.csv,9,numeric_mapping_and_visual_review_passed
