diameter_um,mode,support,region,input_table,value_column,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero,flow01,flow03,flow05,flow07,flow10
128,detrended_51,real_all,C16,fixed_region_summary.csv,value,5,0,0.15203803659141071,0.1424681488875999,0.16380209619412242,5,0,0,0.16380209619412242,0.1506984096427027,0.15203803659141071,0.1424681488875999,0.15286226842553513
128,detrended_51,real_all,S1_T1T4,fixed_region_summary.csv,value,5,0,0.037802045501567946,-0.030322009886404322,0.1408607009819943,4,1,0,0.0064273875483997697,0.1408607009819943,0.037802045501567946,0.074254287326405724,-0.030322009886404322
128,detrended_51,real_all,S2_T1T4,fixed_region_summary.csv,value,5,0,0.18898966362864014,0.1556885407585758,0.23462705753398216,5,0,0,0.19073455676617801,0.18898966362864014,0.23462705753398216,0.18839568526105827,0.1556885407585758
128,detrended_51,real_all,S3_T1T4,fixed_region_summary.csv,value,5,0,0.20767199406427186,0.18382568291968948,0.22753489281439829,5,0,0,0.22753489281439829,0.20767199406427186,0.20998054071193617,0.18493711182280373,0.18382568291968948
128,detrended_51,real_all,S4_T1T4,fixed_region_summary.csv,value,5,0,0.15844391746181632,0.096036540563973316,0.16532929808842875,5,0,0,0.15844391746181632,0.16532929808842875,0.1252304685325413,0.096036540563973316,0.15931285059302036
128,detrended_51,real_all,S5_T1T4,fixed_region_summary.csv,value,5,0,0.12546682650279337,0.10553738233124471,0.15199852422317359,5,0,0,0.15199852422317359,0.10553738233124471,0.11266930872984662,0.12546682650279337,0.14886840430937817
128,detrended_51,real_all,S6_T1T4,fixed_region_summary.csv,value,5,0,0.13303284713517724,0.10062055165598854,0.14377908703256073,5,0,0,0.10062055165598854,0.14377908703256073,0.13539534266237252,0.13087319385468471,0.13303284713517724
128,raw,real_all,C16,fixed_region_summary.csv,value,5,0,0.17705821084005111,0.15386564863358801,0.1899934114911852,5,0,0,0.1899934114911852,0.17705821084005111,0.1859175968832717,0.16546577532277201,0.15386564863358801
128,raw,real_all,S1_T1T4,fixed_region_summary.csv,value,5,0,0.023965616387898035,-0.040174850295019368,0.059349638610720776,3,2,0,-0.040174850295019368,0.059349638610720776,0.029837067209775969,0.023965616387898035,-0.0005917476028718437
128,raw,real_all,S2_T1T4,fixed_region_summary.csv,value,5,0,0.19746398253221736,0.17020650702142689,0.22711175474113943,5,0,0,0.17020650702142689,0.19746398253221736,0.22711175474113943,0.21476643183296273,0.19670516924500053
