scan_id,diameter_um,flow_mm_s,n_common,real_matched_rho_n_defined,real_matched_rho_n_missing,real_matched_rho_median,real_matched_rho_min,real_matched_rho_max,real_matched_rho_n_positive,real_matched_rho_n_negative,real_matched_rho_n_zero,real_matched_rho_value,real_matched_rho_status,left_rho_n_defined,left_rho_n_missing,left_rho_median,left_rho_min,left_rho_max,left_rho_n_positive,left_rho_n_negative,left_rho_n_zero,left_rho_value,left_rho_status,right_rho_n_defined,right_rho_n_missing,right_rho_median,right_rho_min,right_rho_max,right_rho_n_positive,right_rho_n_negative,right_rho_n_zero,right_rho_value,right_rho_status,control_rho_n_defined,control_rho_n_missing,control_rho_median,control_rho_min,control_rho_max,control_rho_n_positive,control_rho_n_negative,control_rho_n_zero,control_rho_value,control_rho_status,excess_cell_n_defined,excess_cell_n_missing,excess_cell_median,excess_cell_min,excess_cell_max,excess_cell_n_positive,excess_cell_n_negative,excess_cell_n_zero,excess_cell_value,excess_cell_status,real_minus_L_n_defined,real_minus_L_n_missing,real_minus_L_median,real_minus_L_min,real_minus_L_max,real_minus_L_n_positive,real_minus_L_n_negative,real_minus_L_n_zero,real_minus_L_value,real_minus_L_status,real_minus_R_n_defined,real_minus_R_n_missing,real_minus_R_median,real_minus_R_min,real_minus_R_max,real_minus_R_n_positive,real_minus_R_n_negative,real_minus_R_n_zero,real_minus_R_value,real_minus_R_status,side_dependent_sign
D128_F01_V01,128,1,486,16,0,0.16380209619412242,0.049942600749761978,0.33769526793961674,16,0,0,0.16380209619412242,ok,16,0,0.037042319342517713,-0.032203515807924285,0.084738982797475507,14,2,0,0.037042319342517713,ok,16,0,0.03093385546848534,-0.052506347441240608,0.12626278636986982,12,4,0,0.03093385546848534,ok,16,0,0.035263953239143844,-0.011029851139616329,0.10550088458367265,13,3,0,0.035263953239143844,ok,16,0,0.13174380506979741,0.0080363509383638287,0.28294861645428887,16,0,0,0.13174380506979741,ok,16,0,0.12611221540686646,0.033070707088109025,0.33272296531016965,16,0,0,0.12611221540686646,ok,16,0,0.12721885288172452,-0.025599471343551686,0.30604100147416924,15,1,0,0.12721885288172452,ok,False
D128_F03_V01,128,3,468,16,0,0.1506984096427027,0.012577106953993325,0.24178735181058447,16,0,0,0.1506984096427027,ok,16,0,0.081417362470510596,-0.0068295703643978679,0.18485852382074661,14,2,0,0.081417362470510596,ok,16,0,0.10110952850773289,0.013443258281637466,0.19079848430597066,16,0,0,0.10110952850773289,ok,16,0,0.084147524273053637,0.057333831985554244,0.14553071723025646,16,0,0,0.084147524273053637,ok,16,0,0.066157916643487358,-0.088332423251654454,0.14572886557482567,13,3,0,0.066157916643487358,ok,16,0,0.074259517480519288,-0.070728227033229257,0.15844037002006534,15,1,0,0.074259517480519288,ok,16,0,0.082904655221812285,-0.12100263517740172,0.15962011116017313,12,4,0,0.082904655221812285,ok,False
D128_F05_V01,128,5,491,16,0,0.15203803659141071,0.060178798893584844,0.33000386855509467,16,0,0,0.15203803659141071,ok,16,0,-0.0022079564119380584,-0.095993489080777233,0.16107290289616466,7,9,0,-0.0022079564119380584,ok,16,0,0.04573409406202511,-0.029693242080142901,0.11639091716622102,13,3,0,0.04573409406202511,ok,16,0,0.032500951763983252,-0.031219796142506594,0.092391497900863123,12,4,0,0.032500951763983252,ok,16,0,0.12539820580736616,-0.0055110315144260361,0.24175533607032632,15,1,0,0.12539820580736616,ok,16,0,0.16945493506576598,-0.10089410400257981,0.28335398329610456,15,1,0,0.16945493506576598,ok,16,0,0.10753253138710109,0.02293258068793827,0.25189629252636814,16,0,0,0.10753253138710109,ok,False
D128_F07_V01,128,7,493,16,0,0.1424681488875999,0.028913767180947108,0.28246060890084884,16,0,0,0.1424681488875999,ok,16,0,0.044783866128423278,-0.05241327081188682,0.092933729919598848,10,6,0,0.044783866128423278,ok,16,0,0.028858064786325438,-0.087478428709196698,0.10191749553722132,12,4,0,0.028858064786325438,ok,16,0,0.0096992897378290581,-0.018704739520293112,0.081311996418372431,11,5,0,0.0096992897378290581,ok,16,0,0.14091104403563429,0.003555128134939356,0.24291235038669726,16,0,0,0.14091104403563429,ok,16,0,0.10302801608522411,-0.064019962738651737,0.27196443496992767,14,2,0,0.10302801608522411,ok,16,0,0.11100699186205233,-0.028346373017179773,0.22447280780498749,15,1,0,0.11100699186205233,ok,False
D128_F10_V01,128,10,484,16,0,0.15286226842553513,0.05496398804012833,0.25691575012222007,16,0,0,0.15286226842553513,ok,16,0,-0.0047083803228094969,-0.026790450648527642,0.10039937486946603,7,9,0,-0.0047083803228094969,ok,16,0,0.022180260493003992,-0.040354299014092126,0.17553100836085028,12,4,0,0.022180260493003992,ok,16,0,0.018717459266339005,-0.021761163570021093,0.12728735309994638,12,4,0,0.018717459266339005,ok,16,0,0.12019499648870938,0.046019761855565181,0.23312189279485876,16,0,0,0.12019499648870938,ok,16,0,0.1490523674647021,0.060025707664234568,0.23825090994356057,16,0,0,0.1490523674647021,ok,16,0,0.10618901531264101,-0.016307530195063577,0.25625860487796892,15,1,0,0.10618901531264101,ok,False
D235_F01_V01,235,1,448,16,0,0.18218801676042404,0.066397567834125856,0.2590150311681213,16,0,0,0.18218801676042404,ok,16,0,0.023803614574668272,-0.092087070052592368,0.12546917848988454,13,3,0,0.023803614574668272,ok,16,0,0.0013465756129594848,-0.073521978252686013,0.11888347168978994,8,8,0,0.0013465756129594848,ok,16,0,0.027567491112991508,-0.078132293130715291,0.064729778489638318,11,5,0,0.027567491112991508,ok,16,0,0.14933695739365249,0.042254829167262156,0.29071992597296215,16,0,0,0.14933695739365249,ok,16,0,0.15426969321419495,0.014996544024244399,0.30467470289483922,16,0,0,0.15426969321419495,ok,16,0,0.16192867824303142,0.0695131143102799,0.30216341112879808,16,0,0,0.16192867824303142,ok,False
D235_F03_V01,235,3,448,16,0,0.12170066149577605,0.0569390387061086,0.19222896625795635,16,0,0,0.12170066149577605,ok,16,0,0.024687600968816094,-0.12197358946737924,0.1260091664367963,12,4,0,0.024687600968816094,ok,16,0,0.028697917914410159,-0.074613192997516037,0.066871767687108494,11,5,0,0.028697917914410159,ok,16,0,0.033528654013767284,-0.054122348413687869,0.08441653271111281,12,4,0,0.033528654013767284,ok,16,0,0.097172600575523294,0.046533001651213518,0.1572689365078839,16,0,0,0.097172600575523294,ok,16,0,0.10637461093484757,0.023236964701187093,0.2186857580380307,16,0,0,0.10637461093484757,ok,16,0,0.10075048934944289,0.016607539579536146,0.19778910552262269,16,0,0,0.10075048934944289,ok,False
D235_F05_V01,235,5,424,16,0,0.16824267179182878,0.1299685101288387,0.20767248972574973,16,0,0,0.16824267179182878,ok,16,0,0.0017086258507451114,-0.062745480192978736,0.13622231047192629,8,8,0,0.0017086258507451114,ok,16,0,0.015016811460331094,-0.11577304299091315,0.10208619461706005,9,7,0,0.015016811460331094,ok,16,0,0.0077948150221951607,-0.035833980531657691,0.050882322250743482,9,7,0,0.0077948150221951607,ok,16,0,0.15840708553889274,0.080138344933741612,0.2088475477433136,16,0,0,0.15840708553889274,ok,16,0,0.16604985111785869,0.05003386491531403,0.21296439064683892,16,0,0,0.16604985111785869,ok,16,0,0.131078351176831,0.028934472567425054,0.29287654946148334,16,0,0,0.131078351176831,ok,False
D235_F07_V01,235,7,444,16,0,0.13413811612772078,0.042664171826972429,0.22875324937682484,16,0,0,0.13413811612772078,ok,16,0,0.0030029499632175599,-0.12560225928376953,0.089882816562099621,9,7,0,0.0030029499632175599,ok,16,0,0.013824967013103928,-0.07157514538535388,0.060622132376561326,8,8,0,0.013824967013103928,ok,16,0,0.010042541111720621,-0.043788141889115062,0.068589199944046941,10,6,0,0.010042541111720621,ok,16,0,0.11718598786713402,0.016019098752330693,0.23836110167615518,16,0,0,0.11718598786713402,ok,16,0,0.13077776983046377,-0.0052745178657219866,0.2440527824884523,15,1,0,0.13077776983046377,ok,16,0,0.12469404662098035,-0.013612159783037515,0.23266942086385806,15,1,0,0.12469404662098035,ok,False
D235_F10_V01,235,10,461,16,0,0.22051682113117782,0.11503251962813714,0.35441887317765325,16,0,0,0.22051682113117782,ok,16,0,0.072373671520639657,0.0055933794651048122,0.17354783216325784,16,0,0,0.072373671520639657,ok,16,0,0.07099609694525981,-0.0048295572332234587,0.15773992940610179,14,2,0,0.07099609694525981,ok,16,0,0.081089093512500904,0.0021357029711195998,0.13402517157953245,16,0,0,0.081089093512500904,ok,16,0,0.13205178920671926,0.054614093970923761,0.2203937015981208,16,0,0,0.13205178920671926,ok,16,0,0.13514394593746942,0.030067061811655998,0.23795204515283341,16,0,0,0.13514394593746942,ok,16,0,0.12775203589243317,0.070232827533990877,0.25991636218184616,16,0,0,0.12775203589243317,ok,False
