scan_id,diameter_um,flow_mm_s,region,side,metric,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D128_F01_V01,128,1,s1,left,neff,486,0,19.741575917998691,19.5531452042291,19.877741900421487,486,0,0
D128_F01_V01,128,1,s1,left,nonzero_pixels,486,0,29,28,30,486,0,0
D128_F01_V01,128,1,s1,left,sum_w2,486,0,13.95526123046875,13.8358154296875,14.0831298828125,486,0,0
D128_F01_V01,128,1,s1,left,z_span_pixels,486,0,4,4,4,486,0,0
D128_F01_V01,128,1,s1,real,neff,486,0,19.741699115702271,19.552532109992011,19.873221772944813,486,0,0
D128_F01_V01,128,1,s1,real,nonzero_pixels,486,0,29,28,30,486,0,0
D128_F01_V01,128,1,s1,real,sum_w2,486,0,13.953651428222656,13.8358154296875,14.083404541015625,486,0,0
D128_F01_V01,128,1,s1,real,z_span_pixels,486,0,4,4,4,486,0,0
D128_F01_V01,128,1,s1,right,neff,486,0,19.725866913063985,19.552532109992011,19.877741900421487,486,0,0
D128_F01_V01,128,1,s1,right,nonzero_pixels,486,0,29,28,30,486,0,0
D128_F01_V01,128,1,s1,right,sum_w2,486,0,13.9617919921875,13.83782958984375,14.083404541015625,486,0,0
D128_F01_V01,128,1,s1,right,z_span_pixels,486,0,4,4,4,486,0,0
D128_F01_V01,128,1,s2,left,neff,486,0,32.822765106889392,32.646974031329989,32.957134613038214,486,0,0
D128_F01_V01,128,1,s2,left,nonzero_pixels,486,0,40,39,41,486,0,0
D128_F01_V01,128,1,s2,left,sum_w2,486,0,23.20465087890625,23.114547729492188,23.335784912109375,486,0,0
D128_F01_V01,128,1,s2,left,z_span_pixels,486,0,4,4,4,486,0,0
D128_F01_V01,128,1,s2,real,neff,486,0,32.82374145203007,32.646974031329989,32.958004082588324,486,0,0
D128_F01_V01,128,1,s2,real,nonzero_pixels,486,0,40,39,41,486,0,0
D128_F01_V01,128,1,s2,real,sum_w2,486,0,23.205543518066406,23.114547729492188,23.33465576171875,486,0,0
D128_F01_V01,128,1,s2,real,z_span_pixels,486,0,4,4,4,486,0,0
D128_F01_V01,128,1,s2,right,neff,486,0,32.810807672882454,32.651147695448479,32.95413550896339,486,0,0
D128_F01_V01,128,1,s2,right,nonzero_pixels,486,0,40,39,41,486,0,0
D128_F01_V01,128,1,s2,right,sum_w2,486,0,23.216575622558594,23.114547729492188,23.342025756835938,486,0,0
D128_F01_V01,128,1,s2,right,z_span_pixels,486,0,4,4,4,486,0,0
D128_F01_V01,128,1,s3,left,neff,486,0,38.420386456260211,37.510635599790419,39.024818283804123,486,0,0
D128_F01_V01,128,1,s3,left,nonzero_pixels,486,0,44,42,44,486,0,0
D128_F01_V01,128,1,s3,left,sum_w2,486,0,25.845352172851562,25.475845336914062,26.484146118164062,486,0,0
D128_F01_V01,128,1,s3,left,z_span_pixels,486,0,4,4,4,486,0,0
D128_F01_V01,128,1,s3,real,neff,486,0,38.420386456260211,37.510635599790419,39.024818283804123,486,0,0
D128_F01_V01,128,1,s3,real,nonzero_pixels,486,0,44,42,44,486,0,0
D128_F01_V01,128,1,s3,real,sum_w2,486,0,25.845352172851562,25.474044799804688,26.486968994140625,486,0,0
D128_F01_V01,128,1,s3,real,z_span_pixels,486,0,4,4,4,486,0,0
D128_F01_V01,128,1,s3,right,neff,486,0,38.517714438005996,37.505836252948676,39.022510593378904,486,0,0
D128_F01_V01,128,1,s3,right,nonzero_pixels,486,0,44,42,44,486,0,0
D128_F01_V01,128,1,s3,right,sum_w2,486,0,25.80438232421875,25.475845336914062,26.48406982421875,486,0,0
D128_F01_V01,128,1,s3,right,z_span_pixels,486,0,4,4,4,486,0,0
D128_F01_V01,128,1,s36,left,neff,486,0,114.52752590278371,113.13829376120229,115.35631291477375,486,0,0
D128_F01_V01,128,1,s36,left,nonzero_pixels,486,0,129,127,131,486,0,0
D128_F01_V01,128,1,s36,left,sum_w2,486,0,100.025634765625,99.310684204101562,101.26319885253906,486,0,0
D128_F01_V01,128,1,s36,left,z_span_pixels,486,0,14,14,14,486,0,0
D128_F01_V01,128,1,s36,real,neff,486,0,114.52676168409351,113.13088279905595,115.35412824345866,486,0,0
D128_F01_V01,128,1,s36,real,nonzero_pixels,486,0,129,127,131,486,0,0
D128_F01_V01,128,1,s36,real,sum_w2,486,0,100.02571868896484,99.309417724609375,101.26773071289062,486,0,0
D128_F01_V01,128,1,s36,real,z_span_pixels,486,0,14,14,14,486,0,0
D128_F01_V01,128,1,s36,right,neff,486,0,114.68801501842864,113.13495162019593,115.35412824345866,486,0,0
D128_F01_V01,128,1,s36,right,nonzero_pixels,486,0,129,127,131,486,0,0
D128_F01_V01,128,1,s36,right,sum_w2,486,0,99.930938720703125,99.317138671875,101.26773071289062,486,0,0
D128_F01_V01,128,1,s36,right,z_span_pixels,486,0,14,14,14,486,0,0
D128_F01_V01,128,1,s4,left,neff,486,0,37.777863284845985,36.914181523408807,38.366992258839886,486,0,0
D128_F01_V01,128,1,s4,left,nonzero_pixels,486,0,44,42,44,486,0,0
D128_F01_V01,128,1,s4,left,sum_w2,486,0,26.272331237792969,25.8953857421875,26.895034790039062,486,0,0
D128_F01_V01,128,1,s4,left,z_span_pixels,486,0,4,4,4,486,0,0
D128_F01_V01,128,1,s4,real,neff,486,0,37.777863284845985,36.903875733249514,38.365997747227631,486,0,0
D128_F01_V01,128,1,s4,real,nonzero_pixels,486,0,44,42,44,486,0,0
D128_F01_V01,128,1,s4,real,sum_w2,486,0,26.273246765136719,25.893829345703125,26.89422607421875,486,0,0
D128_F01_V01,128,1,s4,real,z_span_pixels,486,0,4,4,4,486,0,0
D128_F01_V01,128,1,s4,right,neff,486,0,37.871864731935403,36.913509728041603,38.365997747227631,486,0,0
D128_F01_V01,128,1,s4,right,nonzero_pixels,486,0,44,42,44,486,0,0
D128_F01_V01,128,1,s4,right,sum_w2,486,0,26.2205810546875,25.893310546875,26.89422607421875,486,0,0
D128_F01_V01,128,1,s4,right,z_span_pixels,486,0,4,4,4,486,0,0
D128_F01_V01,128,1,s5,left,neff,486,0,31.27529116150512,31.123083701322759,31.365452799806466,486,0,0
D128_F01_V01,128,1,s5,left,nonzero_pixels,486,0,40,39,41,486,0,0
D128_F01_V01,128,1,s5,left,sum_w2,486,0,24.288398742675781,24.20928955078125,24.40118408203125,486,0,0
D128_F01_V01,128,1,s5,left,z_span_pixels,486,0,4,4,4,486,0,0
D128_F01_V01,128,1,s5,real,neff,486,0,31.268963963973519,31.11397074464757,31.363516443642585,486,0,0
D128_F01_V01,128,1,s5,real,nonzero_pixels,486,0,40,39,41,486,0,0
D128_F01_V01,128,1,s5,real,sum_w2,486,0,24.287567138671875,24.210891723632812,24.401687622070312,486,0,0
D128_F01_V01,128,1,s5,real,z_span_pixels,486,0,4,4,4,486,0,0
D128_F01_V01,128,1,s5,right,neff,486,0,31.26417568452095,31.123083701322759,31.365787711847595,486,0,0
