scan_id,diameter_um,flow_mm_s,mode,support,metric,old_value,new_value,new_minus_old,old_status,new_status,paired_percent_change_median,identity_max_absolute_error,direction_status
D128_F01_V01,128,1,raw,real_all,C16,0.22637065680454962,0.1899934114911852,-0.03637724531336442,ok,ok,,,same_sign_reduced
D128_F01_V01,128,1,raw,real_all,W100,0.45449645472366801,0.37058117129103674,-0.083915283432631271,saved_v1,ok,,,same_sign_reduced
D128_F01_V01,128,1,raw,real_all,W500,0.50684271914893497,0.42115248464663141,-0.085690234502303564,saved_v1,ok,,,same_sign_reduced
D128_F01_V01,128,1,detrended_51,real_all,C16,0.22052771659854969,0.16380209619412242,-0.056725620404427274,ok,ok,,,same_sign_reduced
D128_F01_V01,128,1,detrended_51,real_all,W100,0.47863625943112909,0.37412003944839023,-0.10451621998273886,saved_v1,ok,,,same_sign_reduced
D128_F01_V01,128,1,detrended_51,real_all,W500,0.54768115956421937,0.44109803093463545,-0.10658312862958391,saved_v1,ok,,,same_sign_reduced
D128_F01_V01,128,1,per_frame_then_median,,RI100,0.4820855179508291,0.45046060387848441,-0.03162491407234469,derived_from_saved_same_identity_means,ok,-7.5352008318170185,3.3306690738754696e-16,same_sign_reduced
D128_F01_V01,128,1,per_frame_then_median,,RI500,0.268942562232105,0.23532468600060119,-0.033617876231503807,derived_from_saved_same_identity_means,ok,-12.877325002435814,3.3306690738754696e-16,same_sign_reduced
D128_F03_V01,128,3,raw,real_all,C16,0.20664912021299248,0.17705821084005111,-0.029590909372941371,ok,ok,,,same_sign_reduced
D128_F03_V01,128,3,raw,real_all,W100,0.38589624763679536,0.32654736998116463,-0.059348877655630738,saved_v1,ok,,,same_sign_reduced
D128_F03_V01,128,3,raw,real_all,W500,0.38866600709420862,0.32805406105927054,-0.06061194603493808,saved_v1,ok,,,same_sign_reduced
D128_F03_V01,128,3,detrended_51,real_all,C16,0.17065559882348486,0.1506984096427027,-0.019957189180782153,ok,ok,,,same_sign_reduced
D128_F03_V01,128,3,detrended_51,real_all,W100,0.40024751069508008,0.34702342857560198,-0.0532240821194781,saved_v1,ok,,,same_sign_reduced
D128_F03_V01,128,3,detrended_51,real_all,W500,0.39540464928287522,0.35028304675591732,-0.045121602526957905,saved_v1,ok,,,same_sign_reduced
D128_F03_V01,128,3,per_frame_then_median,,RI100,0.47068195903111443,0.43393715374042613,-0.036744805290688298,derived_from_saved_same_identity_means,ok,-7.5610304815660108,3.3306690738754696e-16,same_sign_reduced
D128_F03_V01,128,3,per_frame_then_median,,RI500,0.25632875814502476,0.22420183031850904,-0.032126927826515717,derived_from_saved_same_identity_means,ok,-13.173860449095926,3.3306690738754696e-16,same_sign_reduced
D128_F05_V01,128,5,raw,real_all,C16,0.20538640273555156,0.1859175968832717,-0.019468805852279863,ok,ok,,,same_sign_reduced
D128_F05_V01,128,5,raw,real_all,W100,0.43590228898672878,0.35429133056033996,-0.081610958426388824,saved_v1,ok,,,same_sign_reduced
D128_F05_V01,128,5,raw,real_all,W500,0.50113156782259871,0.43083902479575109,-0.07029254302684762,saved_v1,ok,,,same_sign_reduced
D128_F05_V01,128,5,detrended_51,real_all,C16,0.18228806309513168,0.15203803659141071,-0.030250026503720967,ok,ok,,,same_sign_reduced
D128_F05_V01,128,5,detrended_51,real_all,W100,0.47390380447821606,0.39968497813807558,-0.074218826340140487,saved_v1,ok,,,same_sign_reduced
D128_F05_V01,128,5,detrended_51,real_all,W500,0.49798288295405685,0.43616941495554823,-0.06181346799850862,saved_v1,ok,,,same_sign_reduced
D128_F05_V01,128,5,per_frame_then_median,,RI100,0.46479240330922622,0.42123103493531716,-0.04356136837390906,derived_from_saved_same_identity_means,ok,-7.397667398547636,3.3306690738754696e-16,same_sign_reduced
D128_F05_V01,128,5,per_frame_then_median,,RI500,0.25664555029926406,0.22330065318823616,-0.033344897111027894,derived_from_saved_same_identity_means,ok,-12.818164745578697,3.3306690738754696e-16,same_sign_reduced
D128_F07_V01,128,7,raw,real_all,C16,0.18762151707793767,0.16546577532277201,-0.022155741755165659,ok,ok,,,same_sign_reduced
D128_F07_V01,128,7,raw,real_all,W100,0.42744938470071064,0.33229166061605842,-0.095157724084652229,saved_v1,ok,,,same_sign_reduced
D128_F07_V01,128,7,raw,real_all,W500,0.49393694000994659,0.40341716989366888,-0.090519770116277709,saved_v1,ok,,,same_sign_reduced
D128_F07_V01,128,7,detrended_51,real_all,C16,0.18779941996944893,0.1424681488875999,-0.045331271081849034,ok,ok,,,same_sign_reduced
D128_F07_V01,128,7,detrended_51,real_all,W100,0.45643213034374813,0.37031581189108004,-0.086116318452668095,saved_v1,ok,,,same_sign_reduced
D128_F07_V01,128,7,detrended_51,real_all,W500,0.52502445877012316,0.43367138160144919,-0.091353077168673968,saved_v1,ok,,,same_sign_reduced
D128_F07_V01,128,7,per_frame_then_median,,RI100,0.57331493600650796,0.55277147395786985,-0.020543462048638106,derived_from_saved_same_identity_means,ok,-3.5331553271705229,4.4408920985006262e-16,same_sign_reduced
D128_F07_V01,128,7,per_frame_then_median,,RI500,0.32317992329725742,0.29730363891501299,-0.02587628438224443,derived_from_saved_same_identity_means,ok,-8.5391701087804144,3.3306690738754696e-16,same_sign_reduced
D128_F10_V01,128,10,raw,real_all,C16,0.1928483846539345,0.15386564863358801,-0.038982736020346492,ok,ok,,,same_sign_reduced
D128_F10_V01,128,10,raw,real_all,W100,0.41624696968814978,0.3301647865194583,-0.086082183168691484,saved_v1,ok,,,same_sign_reduced
D128_F10_V01,128,10,raw,real_all,W500,0.47738758938791537,0.37827319984526292,-0.099114389542652448,saved_v1,ok,,,same_sign_reduced
D128_F10_V01,128,10,detrended_51,real_all,C16,0.18154383309165945,0.15286226842553513,-0.028681564666124315,ok,ok,,,same_sign_reduced
D128_F10_V01,128,10,detrended_51,real_all,W100,0.40918931150985549,0.32092406318079902,-0.088265248329056467,saved_v1,ok,,,same_sign_reduced
D128_F10_V01,128,10,detrended_51,real_all,W500,0.45543500349432303,0.34910448362642715,-0.10633051986789588,saved_v1,ok,,,same_sign_reduced
D128_F10_V01,128,10,per_frame_then_median,,RI100,0.46592826556091776,0.42980361070057205,-0.036124654860345717,derived_from_saved_same_identity_means,ok,-7.2105884184177906,3.3306690738754696e-16,same_sign_reduced
