scan_id,diameter_um,flow_mm_s,metric,n_valid_frames,old_volume_median,new_volume_median,paired_frame_change_percent_median,paired_frame_abs_change_percent_median,paired_frame_abs_change_percent_p95
D128_F01_V01,128,1,source_mean_raw,486,149475499.77011237,184920154.60033482,23.655788357923157,23.655788357923157,46.502005267504508
D128_F01_V01,128,1,source_q_raw,486,2663432775845.5962,2379435984381.1455,-10.302629972350896,10.302629972350896,17.948261293889097
D128_F01_V01,128,1,tail_mean_raw_100um,486,72395639.028261155,82092144.726601571,13.495832669798546,13.495832669798546,30.366404216091201
D128_F01_V01,128,1,tail_q_raw_100um,486,1291822256013.7266,1050779452500.4988,-17.906750807312893,17.906750807312893,27.855181738795466
D128_F01_V01,128,1,tail_mean_raw_500um,486,39973806.389386863,43311305.943663433,7.3420359962873549,7.3420359962873549,16.364248545910826
D128_F01_V01,128,1,tail_q_raw_500um,486,3588802803412.1748,2771923580394.4546,-22.327575235534731,22.327575235534731,34.302637651935044
D128_F03_V01,128,3,source_mean_raw,468,155467660.52228588,188715323.1745643,23.728439027415504,23.757541918071865,45.985097000239008
D128_F03_V01,128,3,source_q_raw,468,2739035822547.2744,2428332411637.8379,-10.178607600379902,10.280586532904767,18.209491662691395
D128_F03_V01,128,3,tail_mean_raw_100um,468,71070096.212861702,80983728.733307019,13.54512345273492,13.598213729658525,30.311105460068948
D128_F03_V01,128,3,tail_q_raw_100um,468,1258327193525.3835,1036591727786.3285,-16.972531085125187,17.173734750688713,27.85380444304614
D128_F03_V01,128,3,tail_mean_raw_500um,468,39258979.062311128,42341295.337262824,7.1271757615950833,7.1677146569308681,16.547709335394369
D128_F03_V01,128,3,tail_q_raw_500um,468,3469654764817.9756,2709842901584.8159,-22.179386636862031,22.29997711575065,34.67172492056811
D128_F05_V01,128,5,source_mean_raw,491,154204959.81361899,192075186.15168616,22.87209843396656,22.986139344541211,47.092388341418953
D128_F05_V01,128,5,source_q_raw,491,2729784412296.6064,2471916171422.0498,-9.7506116557241285,9.8088725185091814,17.47817390707673
D128_F05_V01,128,5,tail_mean_raw_100um,491,69996569.384510398,79408151.457878381,12.628871797202734,12.628871797202734,27.872535100443464
D128_F05_V01,128,5,tail_q_raw_100um,491,1243321259364.1514,1016424338660.842,-17.135193145961068,17.281269697265667,28.557112539882585
D128_F05_V01,128,5,tail_mean_raw_500um,491,39176211.170652874,42088839.342979915,7.1072666983422739,7.1469610326291066,15.384928606247927
D128_F05_V01,128,5,tail_q_raw_500um,491,3476454933394.5996,2693685717950.7095,-21.746541948607657,21.815897506949831,34.393823744338889
D128_F07_V01,128,7,source_mean_raw,493,123276893.01101619,145284801.08129755,17.791898217803915,17.993127303334646,38.390782395634233
D128_F07_V01,128,7,source_q_raw,493,2071563964790.1167,1869650542743.76,-8.737878550696788,9.2451618602207972,17.408120075079463
D128_F07_V01,128,7,tail_mean_raw_100um,493,71417104.33005555,80103132.622097135,11.85122273932835,12.023994543970684,27.465123938459026
D128_F07_V01,128,7,tail_q_raw_100um,493,1183632236118.5024,1025320097562.842,-13.025477773415028,13.158388068183601,24.579045755858914
D128_F07_V01,128,7,tail_mean_raw_500um,493,40208950.329087123,43169586.410262212,6.2078822803413258,6.2375797583403392,15.206902551447525
D128_F07_V01,128,7,tail_q_raw_500um,493,3344709630740.8423,2762853530256.7764,-17.746481747832764,18.137631428512581,30.892852012487722
D128_F10_V01,128,10,source_mean_raw,484,154338856.44940418,193802290.22788948,23.621260582319927,23.621260582319927,44.702411909005086
D128_F10_V01,128,10,source_q_raw,484,2741706716286.625,2493725712547.2393,-9.5626067346416939,9.6419620017269239,16.50915912975562
D128_F10_V01,128,10,tail_mean_raw_100um,484,71810269.427337751,81778417.836471111,14.036477895870881,14.058068070668616,29.369367229674829
D128_F10_V01,128,10,tail_q_raw_100um,484,1268329470531.5562,1046763748306.8289,-16.594209683733894,16.879914941533102,26.993662914053512
D128_F10_V01,128,10,tail_mean_raw_500um,484,39774709.246335611,43084990.92621392,7.4706505104641163,7.5533818875406773,16.380920679108232
D128_F10_V01,128,10,tail_q_raw_500um,484,3516541367642.1821,2757439419277.686,-21.566600067970239,21.767969717319716,32.750760218243293
D235_F01_V01,235,1,source_mean_raw,448,177876490.24867928,206708139.81254771,16.438965982771649,16.438965982771649,28.513472290940786
D235_F01_V01,235,1,source_q_raw,448,11124080015696.875,8965785416042.4844,-19.349843812199452,19.349843812199452,26.064713510168048
D235_F01_V01,235,1,tail_mean_raw_100um,448,49572377.954609632,49020707.733170494,-1.2536830000762333,3.222017686492995,10.142053639120975
D235_F01_V01,235,1,tail_q_raw_100um,448,1702546367613.9038,1151986631729.5073,-31.683876667247183,31.683876667247183,41.425892136044268
D235_F01_V01,235,1,tail_mean_raw_500um,448,31444029.308825307,30367929.608438835,-3.2497725808796787,3.309838717258323,6.914932486833151
D235_F01_V01,235,1,tail_q_raw_500um,448,5408875812925.1279,3568231728991.563,-33.156964524533336,33.156964524533336,42.407817092382025
D235_F03_V01,235,3,source_mean_raw,448,184709761.97986141,215254629.63309839,15.998004533594035,15.998004533594035,28.090719240362837
D235_F03_V01,235,3,source_q_raw,448,11657989157728.693,9336732596878.0234,-19.84694836059095,19.84694836059095,25.823227131193654
D235_F03_V01,235,3,tail_mean_raw_100um,448,50962102.859649494,49959401.33967419,-1.8452086736217344,3.4244502573166025,10.559123980777175
D235_F03_V01,235,3,tail_q_raw_100um,448,1762658425361.8833,1174045931482.3442,-32.827722354644969,32.827722354644969,40.81403364872839
D235_F03_V01,235,3,tail_mean_raw_500um,448,32226873.339851588,31107807.749594979,-3.6856694391918077,3.752833214387874,7.7997877442995875
D235_F03_V01,235,3,tail_q_raw_500um,448,5583057100832.2539,3655167410577.4102,-34.224442193199692,34.224442193199692,41.869418582656962
D235_F05_V01,235,5,source_mean_raw,424,183653097.83202255,214846735.94179559,16.389078002051306,16.389078002051306,28.571185749448915
D235_F05_V01,235,5,source_q_raw,424,11675344025244.234,9318861550854.5664,-19.878995569180567,19.878995569180567,26.477312991560332
D235_F05_V01,235,5,tail_mean_raw_100um,424,50254362.310051113,48628569.071338393,-2.0771339277153409,3.5443644137063801,10.639942477004576
D235_F05_V01,235,5,tail_q_raw_100um,424,1732482593881.0859,1142771373176.4529,-32.718943135148862,32.718943135148862,42.163825445846449
D235_F05_V01,235,5,tail_mean_raw_500um,424,31795299.089069732,30592375.634217784,-3.8071563083805717,3.8071563083805717,7.7702663226216835
D235_F05_V01,235,5,tail_q_raw_500um,424,5446692950759.3027,3594604137020.5889,-33.839962802541137,33.839962802541137,41.698487877276271
D235_F07_V01,235,7,source_mean_raw,444,182131252.49924386,214936408.46238989,17.553457190941835,17.553457190941835,29.374058763408062
D235_F07_V01,235,7,source_q_raw,444,11678527624835.461,9322822273613.3906,-19.965295868427035,19.965295868427035,26.211488801368148
D235_F07_V01,235,7,tail_mean_raw_100um,444,50688172.083879545,49565733.209910661,-1.7625215991826038,3.62451424531538,11.06206592343943
D235_F07_V01,235,7,tail_q_raw_100um,444,1762771861967.3206,1164794730432.9011,-33.374772742182351,33.374772742182351,41.732287187734769
D235_F07_V01,235,7,tail_mean_raw_500um,444,31695067.245719582,30432370.323021192,-3.7457581454354294,3.8285200333913361,7.8278759836627279
D235_F07_V01,235,7,tail_q_raw_500um,444,5514225379430.5957,3575803512954.9893,-34.781869985114142,34.781869985114142,42.738196465548896
D235_F10_V01,235,10,source_mean_raw,461,189435690.56708992,220026699.75491247,16.395349289603868,16.395349289603868,30.472076074396149
D235_F10_V01,235,10,source_q_raw,461,11851536194122.461,9543636335484.6875,-19.065968184121274,19.065968184121274,25.115026196182868
D235_F10_V01,235,10,tail_mean_raw_100um,461,51238962.861048497,49979061.166687183,-1.5535370368411461,3.7653448008583057,10.503651393004143
D235_F10_V01,235,10,tail_q_raw_100um,461,1741131645199.0464,1174507937417.1497,-31.800502287160736,31.800502287160736,42.046350013573672
D235_F10_V01,235,10,tail_mean_raw_500um,461,31943516.680465516,30712304.123685014,-3.2688975903493511,3.3278809041082158,8.3871207744814704
D235_F10_V01,235,10,tail_q_raw_500um,461,5444712550500.9404,3608695734532.9888,-33.301174696763844,33.301174696763844,42.603137506787071
D285_F01_V01,285,1,source_mean_raw,453,182701265.06734148,217567134.03221822,18.203095717540307,18.203095717540307,30.316721186658363
D285_F01_V01,285,1,source_q_raw,453,16751800848319.082,13879456170210.967,-16.552568713439531,16.552568713439531,21.999336507082045
D285_F01_V01,285,1,tail_mean_raw_100um,453,46215373.267647833,45215322.193180032,-2.1547675834469815,2.9096057328428238,8.1793225675446717
D285_F01_V01,285,1,tail_q_raw_100um,453,1882033983874.7253,1288636682505.6326,-31.349174370341657,31.349174370341657,38.7108418766094
D285_F01_V01,285,1,tail_mean_raw_500um,453,29879904.592537455,28861628.697207291,-3.3260320313448943,3.3267064819950676,6.2044931590822365
D285_F01_V01,285,1,tail_q_raw_500um,453,6108885137495.043,4112782089352.0425,-32.441200141085382,32.441200141085382,39.493506102753813
D285_F03_V01,285,3,source_mean_raw,474,187971723.14791089,223769889.03170121,18.08782285309869,18.08782285309869,29.680571353688791
D285_F03_V01,285,3,source_q_raw,474,17274912118044.988,14275005301788.434,-17.061780393233612,17.061780393233612,22.416856800136518
D285_F03_V01,285,3,tail_mean_raw_100um,474,46919403.805139951,45336020.369953133,-3.121833160659909,3.5709655507922489,10.049268603526253
D285_F03_V01,285,3,tail_q_raw_100um,474,1906733316002.1929,1292076580543.666,-32.355985162305927,32.355985162305927,39.327922462526999
D285_F03_V01,285,3,tail_mean_raw_500um,474,30325801.393416092,29272722.233779415,-3.79058603564143,3.79058603564143,6.8705054291569994
D285_F03_V01,285,3,tail_q_raw_500um,474,6211299028658.1875,4171362918313.5703,-33.01855901030774,33.01855901030774,39.175776867961893
D285_F05_V01,285,5,source_mean_raw,492,188761489.6040985,220536135.55605829,17.633833366565966,17.633833366565966,28.215202770281024
D285_F05_V01,285,5,source_q_raw,492,17057135858072.215,14069263518895.035,-17.152679171794723,17.152679171794723,23.027711480407991
D285_F05_V01,285,5,tail_mean_raw_100um,492,46885103.350249022,45552696.296688199,-3.2370304555011939,3.6362681599245992,9.3087482166387261
D285_F05_V01,285,5,tail_q_raw_100um,492,1908278210886.8945,1298251844455.6152,-31.959080322746011,31.959080322746011,39.72609750171798
D285_F05_V01,285,5,tail_mean_raw_500um,492,30196015.411628582,29090608.716573328,-3.8205585926591956,3.8205585926591956,6.8977555691985639
D285_F05_V01,285,5,tail_q_raw_500um,492,6161316168977.5762,4145411742111.7021,-32.587159434740997,32.587159434740997,39.772054596511367
D285_F07_V01,285,7,source_mean_raw,458,191099592.95647657,216359764.34816194,13.076531027525219,13.076531027525219,23.428037415611012
D285_F07_V01,285,7,source_q_raw,458,16889810641832.223,13801426741466.977,-17.985557268264962,17.985557268264962,27.750858775379271
D285_F07_V01,285,7,tail_mean_raw_100um,458,47392841.943953529,45486178.327436194,-3.8545535782336993,4.0570513408961677,9.9288923834592087
D285_F07_V01,285,7,tail_q_raw_100um,458,1871545966111.9814,1296356082331.9333,-30.725285467122969,30.725285467122969,38.816223293079496
D285_F07_V01,285,7,tail_mean_raw_500um,458,30866888.17562015,29523738.549766574,-3.8829571358243498,3.8829571358243498,7.3588887104506364
D285_F07_V01,285,7,tail_q_raw_500um,458,6131440726867.4297,4207132743341.7397,-30.601913380362838,30.601913380362838,38.470270419815392
D285_F10_V01,285,10,source_mean_raw,494,181027984.37412828,211383598.84193882,17.734016892656491,17.734016892656491,28.773344952688412
D285_F10_V01,285,10,source_q_raw,494,16443074541782.898,13485476161489.066,-17.223597529569304,17.223597529569304,22.49374772930366
D285_F10_V01,285,10,tail_mean_raw_100um,494,45084849.326288551,43471339.917659484,-3.2316585324676792,3.8609284707037173,9.6547290601495561
D285_F10_V01,285,10,tail_q_raw_100um,494,1835975605717.6335,1238933187653.2969,-32.454540507497747,32.454540507497747,39.509815114545141
D285_F10_V01,285,10,tail_mean_raw_500um,494,29135322.83867304,28085588.355252143,-3.8189853406593697,3.8224101067411755,6.956640254758371
D285_F10_V01,285,10,tail_q_raw_500um,494,5956975017089.7539,4002196340623.4336,-32.858891247290956,32.858891247290956,39.310635373666109
