diameter_um,region,metric,input_table,value_column,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero,flow01,flow03,flow05,flow07,flow10
128,s1,bg_mad,local_contrast_profiles.csv,median,5,0,9848154.5498873983,9329621.6456352882,9953245.4489218518,5,0,0,9510247.0389376618,9953245.4489218518,9848154.5498873983,9857336.2540254369,9329621.6456352882
128,s1,bg_mean,local_contrast_profiles.csv,median,5,0,21001781.464991052,20384083.821920607,21849074.009248875,5,0,0,20622756.357821081,21849074.009248875,21001781.464991052,21406431.262515388,20384083.821920607
128,s1,bg_median,local_contrast_profiles.csv,median,5,0,14544245.764786502,14134671.464232488,14991205.005537847,5,0,0,14136212.770716509,14991205.005537847,14544245.764786502,14789081.897684775,14134671.464232488
128,s1,left_mad,local_contrast_profiles.csv,median,5,0,9105221.2223429717,8896590.4181875587,9592752.7240388226,5,0,0,8896590.4181875587,9445657.7572047245,9105221.2223429717,9592752.7240388226,8940827.6404019371
128,s1,left_mean,local_contrast_profiles.csv,median,5,0,20637391.640586462,20106829.645047583,21123226.830147535,5,0,0,20106829.645047583,20934564.148542114,20637391.640586462,21123226.830147535,20228238.609815352
128,s1,left_median,local_contrast_profiles.csv,median,5,0,14769675.781723509,14190333.532880709,14978558.907915452,5,0,0,14211334.68843965,14921027.762608731,14769675.781723509,14978558.907915452,14190333.532880709
128,s1,real_mad,local_contrast_profiles.csv,median,5,0,37344671.480354972,35333139.766578406,42540821.713408381,5,0,0,37344671.480354972,42540821.713408381,41251889.857944518,35333139.766578406,36499069.41116561
128,s1,real_mean,local_contrast_profiles.csv,median,5,0,116016224.02286118,93868609.601658985,121964598.91473845,5,0,0,116016224.02286118,121964598.91473845,120578341.76295346,93868609.601658985,110372840.20485023
128,s1,real_median,local_contrast_profiles.csv,median,5,0,52999784.924715802,49844391.942552842,59047380.670642659,5,0,0,52999784.924715802,59047380.670642659,57155062.323356628,49844391.942552842,51456718.616056666
128,s1,real_minus_bg_mean,local_contrast_profiles.csv,median,5,0,95305675.070005864,72098365.296707556,99584635.394889638,5,0,0,95305675.070005864,99584635.394889638,99156161.278999835,72098365.296707556,88999957.718893439
128,s1,right_mad,local_contrast_profiles.csv,median,5,0,9446670.5486201011,8750363.3116044849,9712062.6413374972,5,0,0,8750363.3116044849,9712062.6413374972,9446670.5486201011,9502813.0841118582,9073981.8760833144
128,s1,right_mean,local_contrast_profiles.csv,median,5,0,21235414.525690075,20128366.91337971,21646207.462707695,5,0,0,20573564.513154272,21646207.462707695,21235414.525690075,21445161.838652119,20128366.91337971
128,s1,right_median,local_contrast_profiles.csv,median,5,0,14523971.80730018,14006056.12836244,15125046.988936897,5,0,0,14006056.12836244,15125046.988936897,14523971.80730018,14676650.942391716,14436270.338082394
128,s1,signed_asymmetry,local_contrast_profiles.csv,median,5,0,-0.017478107957593716,-0.062243000942496858,0.0048736170833894917,1,4,0,-0.017446485945370679,-0.062243000942496858,-0.018758153036380783,0.0048736170833894917,-0.017478107957593716
128,s1,z_local,local_contrast_profiles.csv,median,5,0,2.8283792055481847,2.3100602125453089,3.0642400917661119,5,0,0,2.8283792055481847,3.0642400917661119,3.0114803746914576,2.3100602125453089,2.567551823515088
128,s2,bg_mad,local_contrast_profiles.csv,median,5,0,9846719.0623375662,9747417.7248811033,10187032.338401407,5,0,0,9825391.8052009605,10074726.510247406,9846719.0623375662,10187032.338401407,9747417.7248811033
128,s2,bg_mean,local_contrast_profiles.csv,median,5,0,21215270.173502371,20721104.083382644,21892212.582118191,5,0,0,20721104.083382644,21613908.795642607,21215270.173502371,21892212.582118191,20847624.027943991
128,s2,bg_median,local_contrast_profiles.csv,median,5,0,14659750.659965562,14389616.766540842,15021934.241558066,5,0,0,14582821.725869188,14870557.801005034,14659750.659965562,15021934.241558066,14389616.766540842
128,s2,left_mad,local_contrast_profiles.csv,median,5,0,9649944.4870864302,9301496.8594962396,10112278.981717363,5,0,0,9649944.4870864302,10112278.981717363,9634200.6917644087,10091232.92507901,9301496.8594962396
128,s2,left_mean,local_contrast_profiles.csv,median,5,0,21006685.083657574,20456260.987990476,21873709.307678062,5,0,0,20739755.036389846,21873709.307678062,21006685.083657574,21651783.383979294,20456260.987990476
