scan_id,diameter_um,flow_mm_s,region,metric,n_geometry_valid,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D128_F01_V01,128,1,source,z_local,486,486,14,5.4710826836562036,1.3370915529594218,11.753797623647591,486,0,0
D128_F01_V01,128,1,source,real_minus_bg_mean,486,486,14,162857579.69030035,57745195.225251667,406695731.81853902,486,0,0
D128_F01_V01,128,1,source,signed_asymmetry,486,486,14,-0.01407964897564851,-0.37834646108227371,0.36423968915484717,227,259,0
D128_F01_V01,128,1,source,real_mean,486,486,14,184920154.60033482,78701322.74503012,429152853.16946644,486,0,0
D128_F01_V01,128,1,source,real_median,486,486,14,98476133.460087985,34357249.081850387,186727758.47475728,486,0,0
D128_F01_V01,128,1,source,real_mad,486,486,14,75762754.099932015,25231028.675481759,146141758.46519351,486,0,0
D128_F01_V01,128,1,source,left_mean,486,486,14,21659425.71659486,16483618.925877223,38112445.981894664,486,0,0
D128_F01_V01,128,1,source,left_median,486,486,14,15054382.538078053,10483896.649180239,25648026.482463673,486,0,0
D128_F01_V01,128,1,source,left_mad,486,486,14,10269197.215621604,6447848.2889953367,17033506.015917305,486,0,0
D128_F01_V01,128,1,source,right_mean,486,486,14,21847051.528603531,15768387.727006106,41718105.165254906,486,0,0
D128_F01_V01,128,1,source,right_median,486,486,14,15063059.94369881,8822508.0941438302,22036988.370708287,486,0,0
D128_F01_V01,128,1,source,right_mad,486,486,14,10407432.824197119,6663226.5805031322,15614003.663765008,486,0,0
D128_F01_V01,128,1,source,bg_mean,486,486,14,21750157.890114941,16728705.177042928,39915275.573574781,486,0,0
D128_F01_V01,128,1,source,bg_median,486,486,14,15058422.837233678,11320419.527902393,22490040.981136903,486,0,0
D128_F01_V01,128,1,source,bg_mad,486,486,14,10373866.195460428,7713980.7265244927,15757777.473817132,486,0,0
D128_F01_V01,128,1,s1,z_local,486,486,14,2.8283792055481847,-0.45362657023128755,19.701960684266421,478,8,0
D128_F01_V01,128,1,s1,real_minus_bg_mean,486,486,14,95305675.070005864,-5751999.1220242158,473707390.83447635,481,5,0
D128_F01_V01,128,1,s1,signed_asymmetry,486,486,14,-0.017446485945370679,-0.92193740791076739,1.0902109889971445,239,247,0
D128_F01_V01,128,1,s1,real_mean,486,486,14,116016224.02286118,16672117.396046916,493950325.38664156,486,0,0
D128_F01_V01,128,1,s1,real_median,486,486,14,52999784.924715802,7977890.7352210628,300273999.37115067,486,0,0
