scan_id,channel,linear_display_lower,linear_display_upper,rule,figure
D128_F01_V01,sv_raw,0,377232244.18840271,99.5th percentile of pooled displayed crops in the same fixed three frames; common range within volume; display only,localization_review_display/D128_F01_V01.png
D128_F01_V01,stru_amp,0,165356.92459615896,99.5th percentile of pooled displayed crops in the same fixed three frames; common range within volume; display only,localization_review_display/D128_F01_V01.png
D128_F03_V01,sv_raw,0,494713537.01492476,99.5th percentile of pooled displayed crops in the same fixed three frames; common range within volume; display only,localization_review_display/D128_F03_V01.png
D128_F03_V01,stru_amp,0,179144.36792766576,99.5th percentile of pooled displayed crops in the same fixed three frames; common range within volume; display only,localization_review_display/D128_F03_V01.png
D128_F05_V01,sv_raw,0,449372341.10439688,99.5th percentile of pooled displayed crops in the same fixed three frames; common range within volume; display only,localization_review_display/D128_F05_V01.png
D128_F05_V01,stru_amp,0,168682.36503091414,99.5th percentile of pooled displayed crops in the same fixed three frames; common range within volume; display only,localization_review_display/D128_F05_V01.png
D128_F07_V01,sv_raw,0,342357837.18238783,99.5th percentile of pooled displayed crops in the same fixed three frames; common range within volume; display only,localization_review_display/D128_F07_V01.png
D128_F07_V01,stru_amp,0,164162.43163159257,99.5th percentile of pooled displayed crops in the same fixed three frames; common range within volume; display only,localization_review_display/D128_F07_V01.png
D128_F10_V01,sv_raw,0,466357990.66610223,99.5th percentile of pooled displayed crops in the same fixed three frames; common range within volume; display only,localization_review_display/D128_F10_V01.png
D128_F10_V01,stru_amp,0,181025.11730516006,99.5th percentile of pooled displayed crops in the same fixed three frames; common range within volume; display only,localization_review_display/D128_F10_V01.png
D235_F01_V01,sv_raw,0,875113856.02261817,99.5th percentile of pooled displayed crops in the same fixed three frames; common range within volume; display only,localization_review_display/D235_F01_V01.png
D235_F01_V01,stru_amp,0,275290.92043407873,99.5th percentile of pooled displayed crops in the same fixed three frames; common range within volume; display only,localization_review_display/D235_F01_V01.png
D235_F03_V01,sv_raw,0,589794940.75865662,99.5th percentile of pooled displayed crops in the same fixed three frames; common range within volume; display only,localization_review_display/D235_F03_V01.png
D235_F03_V01,stru_amp,0,202608.84671280286,99.5th percentile of pooled displayed crops in the same fixed three frames; common range within volume; display only,localization_review_display/D235_F03_V01.png
D235_F05_V01,sv_raw,0,430878633.51157844,99.5th percentile of pooled displayed crops in the same fixed three frames; common range within volume; display only,localization_review_display/D235_F05_V01.png
D235_F05_V01,stru_amp,0,184102.24975552227,99.5th percentile of pooled displayed crops in the same fixed three frames; common range within volume; display only,localization_review_display/D235_F05_V01.png
D235_F07_V01,sv_raw,0,588864564.64163375,99.5th percentile of pooled displayed crops in the same fixed three frames; common range within volume; display only,localization_review_display/D235_F07_V01.png
D235_F07_V01,stru_amp,0,191887.69216883063,99.5th percentile of pooled displayed crops in the same fixed three frames; common range within volume; display only,localization_review_display/D235_F07_V01.png
D235_F10_V01,sv_raw,0,586965117.87034309,99.5th percentile of pooled displayed crops in the same fixed three frames; common range within volume; display only,localization_review_display/D235_F10_V01.png
D235_F10_V01,stru_amp,0,190386.12494924618,99.5th percentile of pooled displayed crops in the same fixed three frames; common range within volume; display only,localization_review_display/D235_F10_V01.png
D285_F01_V01,sv_raw,0,1245551558.5836306,99.5th percentile of pooled displayed crops in the same fixed three frames; common range within volume; display only,localization_review_display/D285_F01_V01.png
D285_F01_V01,stru_amp,0,303139.93471032137,99.5th percentile of pooled displayed crops in the same fixed three frames; common range within volume; display only,localization_review_display/D285_F01_V01.png
D285_F03_V01,sv_raw,0,1478421014.6648917,99.5th percentile of pooled displayed crops in the same fixed three frames; common range within volume; display only,localization_review_display/D285_F03_V01.png
D285_F03_V01,stru_amp,0,351339.13692179444,99.5th percentile of pooled displayed crops in the same fixed three frames; common range within volume; display only,localization_review_display/D285_F03_V01.png
D285_F05_V01,sv_raw,0,697075409.5789957,99.5th percentile of pooled displayed crops in the same fixed three frames; common range within volume; display only,localization_review_display/D285_F05_V01.png
D285_F05_V01,stru_amp,0,238823.3379609957,99.5th percentile of pooled displayed crops in the same fixed three frames; common range within volume; display only,localization_review_display/D285_F05_V01.png
D285_F07_V01,sv_raw,0,673571091.75767064,99.5th percentile of pooled displayed crops in the same fixed three frames; common range within volume; display only,localization_review_display/D285_F07_V01.png
D285_F07_V01,stru_amp,0,218988.35058372404,99.5th percentile of pooled displayed crops in the same fixed three frames; common range within volume; display only,localization_review_display/D285_F07_V01.png
D285_F10_V01,sv_raw,0,786879430.42903423,99.5th percentile of pooled displayed crops in the same fixed three frames; common range within volume; display only,localization_review_display/D285_F10_V01.png
D285_F10_V01,stru_amp,0,255899.95121187627,99.5th percentile of pooled displayed crops in the same fixed three frames; common range within volume; display only,localization_review_display/D285_F10_V01.png
