scan_id,frame_index,selection
D128_F01_V01,0,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D128_F01_V01,249,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D128_F01_V01,495,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D128_F03_V01,0,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D128_F03_V01,249,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D128_F03_V01,499,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D128_F05_V01,0,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D128_F05_V01,249,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D128_F05_V01,499,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D128_F07_V01,0,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D128_F07_V01,249,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D128_F07_V01,498,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D128_F10_V01,0,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D128_F10_V01,249,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D128_F10_V01,499,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D235_F01_V01,0,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D235_F01_V01,249,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D235_F01_V01,497,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D235_F03_V01,0,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D235_F03_V01,249,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D235_F03_V01,497,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D235_F05_V01,2,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D235_F05_V01,249,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D235_F05_V01,499,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D235_F07_V01,0,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D235_F07_V01,249,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D235_F07_V01,499,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D235_F10_V01,0,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D235_F10_V01,249,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D235_F10_V01,498,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D285_F01_V01,0,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D285_F01_V01,249,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D285_F01_V01,499,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D285_F03_V01,0,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D285_F03_V01,249,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D285_F03_V01,499,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D285_F05_V01,0,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D285_F05_V01,249,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D285_F05_V01,499,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D285_F07_V01,0,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D285_F07_V01,249,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D285_F07_V01,499,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D285_F10_V01,0,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D285_F10_V01,249,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
D285_F10_V01,499,recovered existing geometry-v2 fixed first/nearest-original-249/last IDs; no result selection
