scan_id,diameter_um,flow_mm_s,mode,scope,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero
D128_F01_V01,128,1,detrended_51,all_120,120,0,0.079692758698427679,-0.062672881635222263,0.33769526793961674,104,16,0
D128_F01_V01,128,1,detrended_51,C16,16,0,0.16380209619412242,0.049942600749761978,0.33769526793961674,16,0,0
D128_F01_V01,128,1,detrended_51,outside_C16,104,0,0.070492057876327729,-0.062672881635222263,0.27104375969247962,88,16,0
D128_F01_V01,128,1,detrended_51,tail_100_to_500,96,0,0.070492057876327729,-0.062672881635222263,0.23288058739975773,82,14,0
D128_F01_V01,128,1,raw,all_120,120,0,0.092510399573066726,-0.14416781070464116,0.33854768985346123,102,18,0
D128_F01_V01,128,1,raw,C16,16,0,0.1899934114911852,0.094509114278090472,0.33854768985346123,16,0,0
D128_F01_V01,128,1,raw,outside_C16,104,0,0.08216353980376645,-0.14416781070464116,0.25224256270778567,86,18,0
D128_F01_V01,128,1,raw,tail_100_to_500,96,0,0.08216353980376645,-0.099338875416551342,0.25224256270778567,81,15,0
D128_F03_V01,128,3,detrended_51,all_120,120,0,0.06728019184581871,-0.0467337513352728,0.24312964495196257,105,15,0
D128_F03_V01,128,3,detrended_51,C16,16,0,0.1506984096427027,0.012577106953993325,0.24178735181058447,16,0,0
D128_F03_V01,128,3,detrended_51,outside_C16,104,0,0.059754242938007941,-0.0467337513352728,0.24312964495196257,89,15,0
D128_F03_V01,128,3,detrended_51,tail_100_to_500,96,0,0.054603448441349157,-0.0467337513352728,0.17667604610188972,81,15,0
D128_F03_V01,128,3,raw,all_120,120,0,0.081894630665764301,-0.063977591862791131,0.2546105390875118,112,8,0
D128_F03_V01,128,3,raw,C16,16,0,0.17705821084005111,0.026331036302591801,0.2546105390875118,16,0,0
D128_F03_V01,128,3,raw,outside_C16,104,0,0.079969180148156793,-0.063977591862791131,0.2311725369669056,96,8,0
D128_F03_V01,128,3,raw,tail_100_to_500,96,0,0.0770287911455734,-0.063977591862791131,0.18471985789573439,88,8,0
D128_F05_V01,128,5,detrended_51,all_120,120,0,0.079727483553033746,-0.058088953897564861,0.33000386855509467,109,11,0
D128_F05_V01,128,5,detrended_51,C16,16,0,0.15203803659141071,0.060178798893584844,0.33000386855509467,16,0,0
D128_F05_V01,128,5,detrended_51,outside_C16,104,0,0.071531831695426942,-0.058088953897564861,0.26577347452726552,93,11,0
D128_F05_V01,128,5,detrended_51,tail_100_to_500,96,0,0.065558659248926426,-0.039222150548704093,0.2291900514967769,87,9,0
D128_F05_V01,128,5,raw,all_120,120,0,0.11437528068701029,-0.090928702711525228,0.30038462357274143,114,6,0
D128_F05_V01,128,5,raw,C16,16,0,0.1859175968832717,0.078692219026600257,0.30038462357274143,16,0,0
D128_F05_V01,128,5,raw,outside_C16,104,0,0.10030605655406069,-0.090928702711525228,0.24478786398072219,98,6,0
D128_F05_V01,128,5,raw,tail_100_to_500,96,0,0.10030605655406069,-0.090928702711525228,0.2277269598416089,92,4,0
D128_F07_V01,128,7,detrended_51,all_120,120,0,0.08018629472113778,-0.0090450894201660609,0.28246060890084884,118,2,0
D128_F07_V01,128,7,detrended_51,C16,16,0,0.1424681488875999,0.028913767180947108,0.28246060890084884,16,0,0
D128_F07_V01,128,7,detrended_51,outside_C16,104,0,0.075540657095720054,-0.0090450894201660609,0.27921690400077021,102,2,0
D128_F07_V01,128,7,detrended_51,tail_100_to_500,96,0,0.073511281308065141,-0.0090450894201660609,0.2004697570254744,94,2,0
D128_F07_V01,128,7,raw,all_120,120,0,0.11294521043197638,-0.043971080462707791,0.30219358167499932,113,7,0
D128_F07_V01,128,7,raw,C16,16,0,0.16546577532277201,0.014788354229880918,0.29403923117583164,16,0,0
D128_F07_V01,128,7,raw,outside_C16,104,0,0.10928114567708158,-0.043971080462707791,0.30219358167499932,97,7,0
