scan_id,diameter_um,flow_mm_s,offset,metric,baseline_common_median,offset_common_median,difference,percent_change,n_common
D128_F01_V01,128,1,xp,source,184920154.60033482,183511256.57973406,-1408898.0206007659,-0.76189532917371627,486
D128_F01_V01,128,1,xp,tail100,82092144.726601571,81334033.323473185,-758111.40312838554,-0.92348836256281064,486
D128_F01_V01,128,1,xp,tail500,43311305.943663433,43165106.046470895,-146199.89719253778,-0.33755596606277638,486
D128_F01_V01,128,1,xp,RI100,0.45046060387848441,0.44781690323303713,-0.0026437006454472778,-0.5868883144685475,486
D128_F01_V01,128,1,xp,RI500,0.23532468600060119,0.23646303439734906,0.001138348396747868,0.48373522391312568,486
D128_F01_V01,128,1,xm,source,184920154.60033482,177428778.52991587,-7491376.0704189539,-4.0511409297758556,486
D128_F01_V01,128,1,xm,tail100,82092144.726601571,80546587.889219791,-1545556.8373817801,-1.8827097800027994,486
D128_F01_V01,128,1,xm,tail500,43311305.943663433,42612463.529284954,-698842.41437847912,-1.6135334623423465,486
D128_F01_V01,128,1,xm,RI100,0.45046060387848441,0.45773198198335663,0.007271378104872217,1.6142095540132368,486
D128_F01_V01,128,1,xm,RI500,0.23532468600060119,0.24082271566365132,0.0054980296630501302,2.3363590775325984,486
D128_F01_V01,128,1,zp,source,184920154.60033482,188844232.99192104,3924078.3915862143,2.1220393201959333,486
D128_F01_V01,128,1,zp,tail100,82092144.726601571,78494666.182565123,-3597478.544036448,-4.3822445570370174,486
D128_F01_V01,128,1,zp,tail500,43311305.943663433,42150936.948542677,-1160368.9951207563,-2.6791364745041162,486
D128_F01_V01,128,1,zp,RI100,0.45046060387848441,0.42122922765859161,-0.029231376219892802,-6.4892192498543588,486
D128_F01_V01,128,1,zp,RI500,0.23532468600060119,0.2255313783815206,-0.0097933076190805934,-4.1616150797947196,486
D128_F01_V01,128,1,zm,source,184920154.60033482,179518413.26466602,-5401741.3356688023,-2.9211209277558225,486
D128_F01_V01,128,1,zm,tail100,82092144.726601571,86314385.591000408,4222240.8643988371,5.1432946215018793,486
D128_F01_V01,128,1,zm,tail500,43311305.943663433,44470063.608329982,1158757.6646665484,2.6754161284672091,486
D128_F01_V01,128,1,zm,RI100,0.45046060387848441,0.4848629135477478,0.034402309669263387,7.6371406007668767,486
D128_F01_V01,128,1,zm,RI500,0.23532468600060119,0.24870518740789099,0.013380501407289802,5.6859744018762308,486
D128_F03_V01,128,3,xp,source,188715323.1745643,188260582.97206172,-454740.2025025785,-0.24096623149246735,468
D128_F03_V01,128,3,xp,tail100,80983728.733307019,80229439.730609566,-754289.0026974529,-0.93140809208903297,468
D128_F03_V01,128,3,xp,tail500,42341295.337262824,41962130.24011147,-379165.09715135396,-0.89549715976135102,468
D128_F03_V01,128,3,xp,RI100,0.43393715374042613,0.43453434631536414,0.00059719257493801026,0.13762190441412187,468
D128_F03_V01,128,3,xp,RI500,0.22420183031850904,0.22568159558139883,0.0014797652628897873,0.66001480040889071,468
D128_F03_V01,128,3,xm,source,188715323.1745643,183116525.76844895,-5598797.4061153531,-2.9667953359231922,468
D128_F03_V01,128,3,xm,tail100,80983728.733307019,79091630.17177771,-1892098.5615293086,-2.3363934843754923,468
D128_F03_V01,128,3,xm,tail500,42341295.337262824,41850330.580703989,-490964.75655883551,-1.159541182309455,468
