scan_id,diameter_um,flow_mm_s,offset,support,mode,n_common,pair,rho0,n_pairs0,rho0_status,specificity,specificity_status,n_far_defined,peak_lag,peak_rho,zero_lag_rank,peak_rank_status,n_lags_defined,boundary_peak,baseline_common_rho0,rho0_change,baseline_common_specificity,specificity_change
D128_F01_V01,128,1,baseline,five_position_common,detrended_51,486,W100,0.37412003944839023,486,ok,0.38169388199780657,ok,42,0,0.37412003944839023,1,ok,101,False,0.37412003944839023,0,0.38169388199780657,0
D128_F01_V01,128,1,baseline,five_position_common,detrended_51,486,W500,0.44109803093463545,486,ok,0.44472397026650834,ok,42,0,0.44109803093463545,1,ok,101,False,0.44109803093463545,0,0.44472397026650834,0
D128_F01_V01,128,1,baseline,five_position_common,detrended_51,486,C100,0.34577739330885066,486,ok,0.3447143925227199,ok,42,0,0.34577739330885066,1,ok,101,False,0.34577739330885066,0,0.3447143925227199,0
D128_F01_V01,128,1,xp,five_position_common,detrended_51,486,W100,0.40192168395182609,486,ok,0.40847749577507469,ok,42,0,0.40192168395182609,1,ok,101,False,0.37412003944839023,0.027801644503435863,0.38169388199780657,0.026783613777268123
D128_F01_V01,128,1,xp,five_position_common,detrended_51,486,W500,0.46778625555209458,486,ok,0.47986417687948202,ok,42,0,0.46778625555209458,1,ok,101,False,0.44109803093463545,0.026688224617459122,0.44472397026650834,0.035140206612973679
D128_F01_V01,128,1,xp,five_position_common,detrended_51,486,C100,0.36053639686680206,486,ok,0.34555289467488359,ok,42,0,0.36053639686680206,1,ok,101,False,0.34577739330885066,0.0147590035579514,0.3447143925227199,0.00083850215216368928
D128_F01_V01,128,1,xm,five_position_common,detrended_51,486,W100,0.37513016951951772,486,ok,0.36999898072762832,ok,42,0,0.37513016951951772,1,ok,101,False,0.37412003944839023,0.0010101300711274908,0.38169388199780657,-0.011694901270178248
D128_F01_V01,128,1,xm,five_position_common,detrended_51,486,W500,0.44593569768174485,486,ok,0.46227705676876352,ok,42,0,0.44593569768174485,1,ok,101,False,0.44109803093463545,0.0048376667471093926,0.44472397026650834,0.017553086502255177
D128_F01_V01,128,1,xm,five_position_common,detrended_51,486,C100,0.36012132692306908,486,ok,0.36545032324347537,ok,42,0,0.36012132692306908,1,ok,101,False,0.34577739330885066,0.014343933614218429,0.3447143925227199,0.020735930720755469
D128_F01_V01,128,1,zp,five_position_common,detrended_51,486,W100,0.36544734846398585,486,ok,0.37730529644130723,ok,42,0,0.36544734846398585,1,ok,101,False,0.37412003944839023,-0.0086726909844043742,0.38169388199780657,-0.004388585556499347
D128_F01_V01,128,1,zp,five_position_common,detrended_51,486,W500,0.4340220728235068,486,ok,0.45520396708733057,ok,42,0,0.4340220728235068,1,ok,101,False,0.44109803093463545,-0.0070759581111286551,0.44472397026650834,0.010479996820822235
D128_F01_V01,128,1,zp,five_position_common,detrended_51,486,C100,0.33386391889117323,486,ok,0.33189950717284589,ok,42,0,0.33386391889117323,1,ok,101,False,0.34577739330885066,-0.011913474417677428,0.3447143925227199,-0.012814885349874017
D128_F01_V01,128,1,zm,five_position_common,detrended_51,486,W100,0.401774378893275,486,ok,0.40132473263710161,ok,42,0,0.401774378893275,1,ok,101,False,0.37412003944839023,0.027654339444884768,0.38169388199780657,0.019630850639295039
D128_F01_V01,128,1,zm,five_position_common,detrended_51,486,W500,0.46772835647982625,486,ok,0.47292686558723379,ok,42,0,0.46772835647982625,1,ok,101,False,0.44109803093463545,0.026630325545190792,0.44472397026650834,0.028202895320725452
D128_F01_V01,128,1,zm,five_position_common,detrended_51,486,C100,0.38913822282698823,486,ok,0.38947744782182064,ok,42,0,0.38913822282698823,1,ok,101,False,0.34577739330885066,0.043360829518137578,0.3447143925227199,0.04476305529910074
D128_F03_V01,128,3,baseline,five_position_common,detrended_51,468,W100,0.34702342857560198,468,ok,0.31567828031339346,ok,42,0,0.34702342857560198,1,ok,101,False,0.34702342857560198,0,0.31567828031339346,0
D128_F03_V01,128,3,baseline,five_position_common,detrended_51,468,W500,0.35028304675591732,468,ok,0.34030929900670481,ok,42,0,0.35028304675591732,1,ok,101,False,0.35028304675591732,0,0.34030929900670481,0
D128_F03_V01,128,3,baseline,five_position_common,detrended_51,468,C100,0.32550798538842424,468,ok,0.29371324641070962,ok,42,0,0.32550798538842424,1,ok,101,False,0.32550798538842424,0,0.29371324641070962,0
D128_F03_V01,128,3,xp,five_position_common,detrended_51,468,W100,0.36773357455562605,468,ok,0.33947866008526106,ok,42,0,0.36773357455562605,1,ok,101,False,0.34702342857560198,0.020710145980024075,0.31567828031339346,0.023800379771867608
D128_F03_V01,128,3,xp,five_position_common,detrended_51,468,W500,0.37599507340465194,468,ok,0.35669540425240104,ok,42,0,0.37599507340465194,1,ok,101,False,0.35028304675591732,0.025712026648734621,0.34030929900670481,0.016386105245696225
