scan_id,diameter_um,flow_mm_s,region,measure,max_relative_error,status
D128_F01_V01,128,1,source,q,0,passed
D128_F01_V01,128,1,source,area,0,passed
D128_F01_V01,128,1,tail100,q,4.8121147204298223e-16,passed
D128_F01_V01,128,1,tail100,area,2.8421709430404043e-16,passed
D128_F01_V01,128,1,tail500,q,6.1622968094191325e-16,passed
D128_F01_V01,128,1,tail500,area,2.2737367544323251e-16,passed
D128_F03_V01,128,3,source,q,0,passed
D128_F03_V01,128,3,source,area,0,passed
D128_F03_V01,128,3,tail100,q,4.2563064808493204e-16,passed
D128_F03_V01,128,3,tail100,area,2.8421709430404043e-16,passed
D128_F03_V01,128,3,tail500,q,5.8788268130561539e-16,passed
D128_F03_V01,128,3,tail500,area,2.2737367544323251e-16,passed
D128_F05_V01,128,5,source,q,0,passed
D128_F05_V01,128,5,source,area,0,passed
D128_F05_V01,128,5,tail100,q,4.0843508886553734e-16,passed
D128_F05_V01,128,5,tail100,area,2.8421709430404043e-16,passed
D128_F05_V01,128,5,tail500,q,7.2778350492616905e-16,passed
D128_F05_V01,128,5,tail500,area,2.2737367544323251e-16,passed
D128_F07_V01,128,7,source,q,0,passed
D128_F07_V01,128,7,source,area,0,passed
D128_F07_V01,128,7,tail100,q,4.4327975282023155e-16,passed
D128_F07_V01,128,7,tail100,area,2.8421709430404043e-16,passed
D128_F07_V01,128,7,tail500,q,5.2984442243972614e-16,passed
D128_F07_V01,128,7,tail500,area,2.2737367544323251e-16,passed
D128_F10_V01,128,10,source,q,0,passed
D128_F10_V01,128,10,source,area,0,passed
D128_F10_V01,128,10,tail100,q,4.625887978995972e-16,passed
D128_F10_V01,128,10,tail100,area,2.8421709430404043e-16,passed
D128_F10_V01,128,10,tail500,q,6.6609804419245214e-16,passed
D128_F10_V01,128,10,tail500,area,2.2737367544323251e-16,passed
D235_F01_V01,235,1,source,q,0,passed
D235_F01_V01,235,1,source,area,0,passed
D235_F01_V01,235,1,tail100,q,4.407074990980915e-16,passed
D235_F01_V01,235,1,tail100,area,3.096152176248265e-16,passed
D235_F01_V01,235,1,tail500,q,7.1158214953758436e-16,passed
D235_F01_V01,235,1,tail500,area,6.192304352496535e-16,passed
D235_F03_V01,235,3,source,q,0,passed
D235_F03_V01,235,3,source,area,0,passed
D235_F03_V01,235,3,tail100,q,4.3912831957242393e-16,passed
D235_F03_V01,235,3,tail100,area,3.096152176248265e-16,passed
D235_F03_V01,235,3,tail500,q,5.2112502733963814e-16,passed
D235_F03_V01,235,3,tail500,area,7.4307652229958424e-16,passed
D235_F05_V01,235,5,source,q,0,passed
D235_F05_V01,235,5,source,area,0,passed
D235_F05_V01,235,5,tail100,q,4.3344252487816146e-16,passed
D235_F05_V01,235,5,tail100,area,3.096152176248265e-16,passed
D235_F05_V01,235,5,tail500,q,4.4933279468604128e-16,passed
D235_F05_V01,235,5,tail500,area,6.192304352496535e-16,passed
D235_F07_V01,235,7,source,q,0,passed
D235_F07_V01,235,7,source,area,0,passed
D235_F07_V01,235,7,tail100,q,4.3461512703954918e-16,passed
D235_F07_V01,235,7,tail100,area,3.096152176248265e-16,passed
D235_F07_V01,235,7,tail500,q,6.4935861612251891e-16,passed
D235_F07_V01,235,7,tail500,area,7.4307652229958424e-16,passed
D235_F10_V01,235,10,source,q,0,passed
D235_F10_V01,235,10,source,area,0,passed
D235_F10_V01,235,10,tail100,q,4.4403503570963429e-16,passed
D235_F10_V01,235,10,tail100,area,3.096152176248265e-16,passed
D235_F10_V01,235,10,tail500,q,5.8878431442494169e-16,passed
D235_F10_V01,235,10,tail500,area,6.192304352496535e-16,passed
D285_F01_V01,285,1,source,q,0,passed
D285_F01_V01,285,1,source,area,0,passed
D285_F01_V01,285,1,tail100,q,4.1419481101094019e-16,passed
D285_F01_V01,285,1,tail100,area,2.5529675839240059e-16,passed
D285_F01_V01,285,1,tail500,q,5.1201003521876149e-16,passed
D285_F01_V01,285,1,tail500,area,4.0847481342784122e-16,passed
D285_F03_V01,285,3,source,q,0,passed
D285_F03_V01,285,3,source,area,0,passed
D285_F03_V01,285,3,tail100,q,3.9798021028363535e-16,passed
D285_F03_V01,285,3,tail100,area,2.5529675839240059e-16,passed
D285_F03_V01,285,3,tail500,q,5.0491861055498404e-16,passed
D285_F03_V01,285,3,tail500,area,4.0847481342784122e-16,passed
D285_F05_V01,285,5,source,q,0,passed
D285_F05_V01,285,5,source,area,0,passed
D285_F05_V01,285,5,tail100,q,4.143688659025633e-16,passed
D285_F05_V01,285,5,tail100,area,2.5529675839240059e-16,passed
D285_F05_V01,285,5,tail500,q,5.9567625567253314e-16,passed
D285_F05_V01,285,5,tail500,area,4.0847481342784122e-16,passed
D285_F07_V01,285,7,source,q,0,passed
D285_F07_V01,285,7,source,area,0,passed
D285_F07_V01,285,7,tail100,q,4.1814063058318816e-16,passed
D285_F07_V01,285,7,tail100,area,2.5529675839240059e-16,passed
D285_F07_V01,285,7,tail500,q,4.9720041530097006e-16,passed
D285_F07_V01,285,7,tail500,area,4.0847481342784122e-16,passed
D285_F10_V01,285,10,source,q,0,passed
D285_F10_V01,285,10,source,area,0,passed
D285_F10_V01,285,10,tail100,q,6.3429254332740508e-16,passed
D285_F10_V01,285,10,tail100,area,2.5529675839240059e-16,passed
D285_F10_V01,285,10,tail500,q,5.9440552181320906e-16,passed
D285_F10_V01,285,10,tail500,area,4.0847481342784122e-16,passed
