diameter_um,metric,input_table,value_column,n_defined,n_missing,median,min,max,n_positive,n_negative,n_zero,flow01,flow03,flow05,flow07,flow10
128,RI100,volume_metrics.csv,median,5,0,0.43393715374042613,0.42123103493531716,0.55277147395786985,5,0,0,0.45046060387848441,0.43393715374042613,0.42123103493531716,0.55277147395786985,0.42980361070057205
128,RI500,volume_metrics.csv,median,5,0,0.22420183031850904,0.2231842946030006,0.29730363891501299,5,0,0,0.23532468600060119,0.22420183031850904,0.22330065318823616,0.29730363891501299,0.2231842946030006
128,source,volume_metrics.csv,median,5,0,188715323.1745643,145284801.08129755,193802290.22788948,5,0,0,184920154.60033482,188715323.1745643,192075186.15168616,145284801.08129755,193802290.22788948
128,tail100,volume_metrics.csv,median,5,0,80983728.733307019,79408151.457878381,82092144.726601571,5,0,0,82092144.726601571,80983728.733307019,79408151.457878381,80103132.622097135,81778417.836471111
128,tail500,volume_metrics.csv,median,5,0,43084990.92621392,42088839.342979915,43311305.943663433,5,0,0,43311305.943663433,42341295.337262824,42088839.342979915,43169586.410262212,43084990.92621392
235,RI100,volume_metrics.csv,median,5,0,0.23415256009957408,0.22835832261995426,0.23841905035208191,5,0,0,0.23841905035208191,0.23664415643178022,0.22835832261995426,0.23415256009957408,0.22888567244423688
235,RI500,volume_metrics.csv,median,5,0,0.14296228599655492,0.14007813403814831,0.14950431368691941,5,0,0,0.14950431368691941,0.1473377404585276,0.14241669196205986,0.14296228599655492,0.14007813403814831
235,source,volume_metrics.csv,median,5,0,214936408.46238989,206708139.81254771,220026699.75491247,5,0,0,206708139.81254771,215254629.63309839,214846735.94179559,214936408.46238989,220026699.75491247
235,tail100,volume_metrics.csv,median,5,0,49565733.209910661,48628569.071338393,49979061.166687183,5,0,0,49020707.733170494,49959401.33967419,48628569.071338393,49565733.209910661,49979061.166687183
235,tail500,volume_metrics.csv,median,5,0,30592375.634217784,30367929.608438835,31107807.749594979,5,0,0,30367929.608438835,31107807.749594979,30592375.634217784,30432370.323021192,30712304.123685014
285,RI100,volume_metrics.csv,median,5,0,0.20424396703283285,0.20164976196524345,0.20826992156020055,5,0,0,0.2049835580654048,0.20164976196524345,0.20424396703283285,0.20826992156020055,0.20190292792899753
285,RI500,volume_metrics.csv,median,5,0,0.13143221939853203,0.13094398005305494,0.13697427484533969,5,0,0,0.13272170147554466,0.13095530836444219,0.13094398005305494,0.13697427484533969,0.13143221939853203
285,source,volume_metrics.csv,median,5,0,217567134.03221822,211383598.84193882,223769889.03170121,5,0,0,217567134.03221822,223769889.03170121,220536135.55605829,216359764.34816194,211383598.84193882
285,tail100,volume_metrics.csv,median,5,0,45336020.369953133,43471339.917659484,45552696.296688199,5,0,0,45215322.193180032,45336020.369953133,45552696.296688199,45486178.327436194,43471339.917659484
285,tail500,volume_metrics.csv,median,5,0,29090608.716573328,28085588.355252143,29523738.549766574,5,0,0,28861628.697207291,29272722.233779415,29090608.716573328,29523738.549766574,28085588.355252143
