scan_id,diameter_um,flow_mm_s,mode,support,pair,rho0,n_pairs0,rho0_status,specificity,specificity_status,n_far_defined,peak_lag,peak_rho,zero_lag_rank,peak_rank_status,n_lags_defined,boundary_peak,matched_specificity,matched_status,n_matched_far_defined
D128_F01_V01,128,1,raw,real_all,W100,0.37058117129103674,486,ok,0.37462827451174907,ok,42,0,0.37058117129103674,1,ok,101,False,,,
D128_F01_V01,128,1,raw,real_all,W500,0.42115248464663141,486,ok,0.45582265805164002,ok,42,0,0.42115248464663141,1,ok,101,False,,,
D128_F01_V01,128,1,raw,real_all,C100,0.3773556532463368,486,ok,0.37457070795280795,ok,42,0,0.3773556532463368,1,ok,101,False,,,
D128_F01_V01,128,1,detrended_51,real_all,W100,0.37412003944839023,486,ok,0.38169388199780657,ok,42,0,0.37412003944839023,1,ok,101,False,0.38074514036414053,ok,42
D128_F01_V01,128,1,detrended_51,real_all,W500,0.44109803093463545,486,ok,0.44472397026650834,ok,42,0,0.44109803093463545,1,ok,101,False,0.44788441777138327,ok,42
D128_F01_V01,128,1,detrended_51,real_all,C100,0.34577739330885066,486,ok,0.3447143925227199,ok,42,0,0.34577739330885066,1,ok,101,False,0.35317302778374371,ok,42
D128_F03_V01,128,3,raw,real_all,W100,0.32654736998116463,468,ok,0.30594321768216881,ok,42,0,0.32654736998116463,1,ok,101,False,,,
D128_F03_V01,128,3,raw,real_all,W500,0.32805406105927054,468,ok,0.30303160619982106,ok,42,0,0.32805406105927054,1,ok,101,False,,,
D128_F03_V01,128,3,raw,real_all,C100,0.32945796466522598,468,ok,0.31629356783739376,ok,42,0,0.32945796466522598,1,ok,101,False,,,
D128_F03_V01,128,3,detrended_51,real_all,W100,0.34702342857560198,468,ok,0.31567828031339346,ok,42,0,0.34702342857560198,1,ok,101,False,0.31402828841254871,ok,42
D128_F03_V01,128,3,detrended_51,real_all,W500,0.35028304675591732,468,ok,0.34030929900670481,ok,42,0,0.35028304675591732,1,ok,101,False,0.33294708118702693,ok,42
D128_F03_V01,128,3,detrended_51,real_all,C100,0.32550798538842424,468,ok,0.29371324641070962,ok,42,0,0.32550798538842424,1,ok,101,False,0.2820699931632622,ok,42
D128_F05_V01,128,5,raw,real_all,W100,0.35429133056033996,491,ok,0.36737408186020043,ok,42,0,0.35429133056033996,1,ok,101,False,,,
D128_F05_V01,128,5,raw,real_all,W500,0.43083902479575109,491,ok,0.44391488170162685,ok,42,0,0.43083902479575109,1,ok,101,False,,,
D128_F05_V01,128,5,raw,real_all,C100,0.35828060895015201,491,ok,0.37361727816076651,ok,42,0,0.35828060895015201,1,ok,101,False,,,
D128_F05_V01,128,5,detrended_51,real_all,W100,0.39968497813807558,491,ok,0.40350737704235934,ok,42,0,0.39968497813807558,1,ok,101,False,0.38567559340662327,ok,42
D128_F05_V01,128,5,detrended_51,real_all,W500,0.43616941495554823,491,ok,0.44641038040161679,ok,42,0,0.43616941495554823,1,ok,101,False,0.42581229441023821,ok,42
D128_F05_V01,128,5,detrended_51,real_all,C100,0.36283115078167394,491,ok,0.35053214202822397,ok,42,0,0.36283115078167394,1,ok,101,False,0.3313763564445264,ok,42
D128_F07_V01,128,7,raw,real_all,W100,0.33229166061605842,493,ok,0.30703403640730614,ok,42,0,0.33229166061605842,1,ok,101,False,,,
D128_F07_V01,128,7,raw,real_all,W500,0.40341716989366888,493,ok,0.37229194000705851,ok,42,0,0.40341716989366888,1,ok,101,False,,,
D128_F07_V01,128,7,raw,real_all,C100,0.30621672707927777,493,ok,0.26972623446439054,ok,42,0,0.30621672707927777,1,ok,101,False,,,
D128_F07_V01,128,7,detrended_51,real_all,W100,0.37031581189108004,493,ok,0.36566146340965749,ok,42,0,0.37031581189108004,1,ok,101,False,0.36755305102208358,ok,42
D128_F07_V01,128,7,detrended_51,real_all,W500,0.43367138160144919,493,ok,0.43907919496903425,ok,42,0,0.43367138160144919,1,ok,101,False,0.45363736315469716,ok,42
D128_F07_V01,128,7,detrended_51,real_all,C100,0.33710371179678894,493,ok,0.32424658146510449,ok,42,0,0.33710371179678894,1,ok,101,False,0.32244448954296634,ok,42
D128_F10_V01,128,10,raw,real_all,W100,0.3301647865194583,484,ok,0.35173129926093771,ok,42,0,0.3301647865194583,1,ok,101,False,,,
D128_F10_V01,128,10,raw,real_all,W500,0.37827319984526292,484,ok,0.39716832281664793,ok,42,0,0.37827319984526292,1,ok,101,False,,,
D128_F10_V01,128,10,raw,real_all,C100,0.34497625759595524,484,ok,0.37609283854536157,ok,42,0,0.34497625759595524,1,ok,101,False,,,
D128_F10_V01,128,10,detrended_51,real_all,W100,0.32092406318079902,484,ok,0.3365668316651132,ok,42,0,0.32092406318079902,1,ok,101,False,0.32237642833351121,ok,42
