flow_mm_s,method,metric,unit,direction,D128,D235,D285
1,current_SV_v2,tail100,raw_SV_instrument_units,D128>D235>D285,82092144.726601571,49020707.733170494,45215322.193180032
1,current_SV_v2,tail500,raw_SV_instrument_units,D128>D235>D285,43311305.943663433,30367929.608438835,28861628.697207291
1,current_SV_v2,RI100,dimensionless,D128>D235>D285,0.45046060387848441,0.23841905035208191,0.2049835580654048
1,current_SV_v2,RI500,dimensionless,D128>D235>D285,0.23532468600060119,0.14950431368691941,0.13272170147554466
1,current_SV_v2,source,raw_SV_instrument_units,D128<D235<D285,184920154.60033482,206708139.81254771,217567134.03221822
1,stageA,raw_AUC_200,SV instrument units * um,D128>D235>D285,5744849825.2933817,1806192843.8554683,1426343366.4770589
1,stageA,vessel_core_P95,SV instrument units,D128<D235<D285,379745966.9624958,451615200.87422657,516794617.34093189
1,stageA,normalized_AUC_um,um,D128>D235>D285,15.154867796742845,3.8991966545949657,2.6602227025217444
1,stageB,raw_AUC_200,SV instrument units * um,D128>D235>D285,5640480142.5621424,1656171786.9803572,1320713566.8110375
1,stageB,vessel_core_P95,SV instrument units,D128<D235<D285,409191010.795506,447089226.51388007,514161498.64341491
1,stageB,normalized_AUC_um,um,D128>D235>D285,13.66006860733971,3.6814654082227642,2.5694674334550065
3,current_SV_v2,tail100,raw_SV_instrument_units,D128>D235>D285,80983728.733307019,49959401.33967419,45336020.369953133
3,current_SV_v2,tail500,raw_SV_instrument_units,D128>D235>D285,42341295.337262824,31107807.749594979,29272722.233779415
3,current_SV_v2,RI100,dimensionless,D128>D235>D285,0.43393715374042613,0.23664415643178022,0.20164976196524345
3,current_SV_v2,RI500,dimensionless,D128>D235>D285,0.22420183031850904,0.1473377404585276,0.13095530836444219
3,current_SV_v2,source,raw_SV_instrument_units,D128<D235<D285,188715323.1745643,215254629.63309839,223769889.03170121
3,stageA,raw_AUC_200,SV instrument units * um,D128>D235>D285,5803264037.9779758,1785966481.8980055,1473904395.7877994
3,stageA,vessel_core_P95,SV instrument units,D128<D235<D285,407135180.16290605,509696212.98671401,526308325.95849597
3,stageA,normalized_AUC_um,um,D128>D235>D285,14.177169157922178,3.6287753389923303,2.7419631131958253
3,stageB,raw_AUC_200,SV instrument units * um,D128>D235>D285,5525370473.3907318,1651697304.1294405,1395195471.7167821
3,stageB,vessel_core_P95,SV instrument units,D128<D235<D285,444968364.58302289,457030939.58606589,499015929.0610413
3,stageB,normalized_AUC_um,um,D128>D235>D285,12.082938662230141,3.6084042957891924,2.7335822091978601
5,current_SV_v2,tail100,raw_SV_instrument_units,D128>D235>D285,79408151.457878381,48628569.071338393,45552696.296688199
5,current_SV_v2,tail500,raw_SV_instrument_units,D128>D235>D285,42088839.342979915,30592375.634217784,29090608.716573328
5,current_SV_v2,RI100,dimensionless,D128>D235>D285,0.42123103493531716,0.22835832261995426,0.20424396703283285
5,current_SV_v2,RI500,dimensionless,D128>D235>D285,0.22330065318823616,0.14241669196205986,0.13094398005305494
5,current_SV_v2,source,raw_SV_instrument_units,D128<D235<D285,192075186.15168616,214846735.94179559,220536135.55605829
5,stageA,raw_AUC_200,SV instrument units * um,D128>D235>D285,5585216784.1950607,1735095180.6195903,1407198433.0311007
5,stageA,vessel_core_P95,SV instrument units,D128<D235<D285,408177337.8226369,504158181.5645566,538294587.99032879
5,stageA,normalized_AUC_um,um,D128>D235>D285,13.754867982743363,3.3463398052315778,2.551641519372279
5,stageB,raw_AUC_200,SV instrument units * um,D128>D235>D285,5378304327.3782969,1675636514.3535805,1373135549.8529155
5,stageB,vessel_core_P95,SV instrument units,D128<D235<D285,451868207.56995749,481266174.91239548,516226380.18895674
5,stageB,normalized_AUC_um,um,D128>D235>D285,12.234184249319426,3.358982033218644,2.581298185012725
7,current_SV_v2,tail100,raw_SV_instrument_units,D128>D235>D285,80103132.622097135,49565733.209910661,45486178.327436194
7,current_SV_v2,tail500,raw_SV_instrument_units,D128>D235>D285,43169586.410262212,30432370.323021192,29523738.549766574
7,current_SV_v2,RI100,dimensionless,D128>D235>D285,0.55277147395786985,0.23415256009957408,0.20826992156020055
7,current_SV_v2,RI500,dimensionless,D128>D235>D285,0.29730363891501299,0.14296228599655492,0.13697427484533969
7,current_SV_v2,source,raw_SV_instrument_units,D128<D235<D285,145284801.08129755,214936408.46238989,216359764.34816194
7,stageA,raw_AUC_200,SV instrument units * um,D128>D235>D285,6455300899.0893517,1753477140.2770705,1332075925.3672738
7,stageA,vessel_core_P95,SV instrument units,D128<D235>D285,233227946.57303619,530381224.39623249,515049505.85678273
7,stageA,normalized_AUC_um,um,D128>D235>D285,27.402543592428241,3.3630659374924017,2.5968059149642189
7,stageB,raw_AUC_200,SV instrument units * um,D128>D235>D285,6080152885.590909,1631062292.0144114,1364722434.361315
7,stageB,vessel_core_P95,SV instrument units,D128<D235<D285,259468653.51495877,498846391.71777582,533019755.58024192
7,stageB,normalized_AUC_um,um,D128>D235>D285,23.807715115622432,3.3304806039140082,2.5295604911263094
10,current_SV_v2,tail100,raw_SV_instrument_units,D128>D235>D285,81778417.836471111,49979061.166687183,43471339.917659484
10,current_SV_v2,tail500,raw_SV_instrument_units,D128>D235>D285,43084990.92621392,30712304.123685014,28085588.355252143
10,current_SV_v2,RI100,dimensionless,D128>D235>D285,0.42980361070057205,0.22888567244423688,0.20190292792899753
10,current_SV_v2,RI500,dimensionless,D128>D235>D285,0.2231842946030006,0.14007813403814831,0.13143221939853203
10,current_SV_v2,source,raw_SV_instrument_units,D128<D235>D285,193802290.22788948,220026699.75491247,211383598.84193882
10,stageA,raw_AUC_200,SV instrument units * um,D128>D235>D285,6076404098.6701698,1824697168.0039144,1378725592.8093803
10,stageA,vessel_core_P95,SV instrument units,D128<D235>D285,398969003.74968451,527716817.77361298,525249563.64859617
10,stageA,normalized_AUC_um,um,D128>D235>D285,14.644725487495869,3.4261100548485768,2.5262288159495849
10,stageB,raw_AUC_200,SV instrument units * um,D128>D235>D285,5723795197.017642,1642792358.8667769,1316206287.9160631
10,stageB,vessel_core_P95,SV instrument units,D128<D235<D285,450901830.93028146,493660986.70574594,519257505.14742053
10,stageB,normalized_AUC_um,um,D128>D235>D285,12.749459080251354,3.3069223012717988,2.5040456431805111
