scan_id,diameter_um,flow_mm_s,metric,n_A,n_B,n_common,n_A_only,n_B_only,A_native_median,B_native_median,A_common_median,B_common_median,common_difference_B_minus_A,common_percent_difference,common_difference_reason,delta_native_B_minus_A,delta_A_native_to_common,delta_B_common_to_native
D128_F01_V01,128,1,raw_AUC_200,486,500,486,0,14,5744849825.2933817,5640480142.5621424,5744849825.2933817,5640480142.5621424,-104369682.73123932,-1.8167521502776498,ok,-104369682.73123932,0,0
D128_F01_V01,128,1,vessel_core_P95,486,500,486,0,14,379745966.9624958,409191010.795506,379745966.9624958,411475456.6144253,31729489.651929498,8.3554513839150637,ok,29445043.833010197,0,-2284445.818919301
D128_F01_V01,128,1,normalized_AUC_um,486,500,486,0,14,15.154867796742845,13.66006860733971,15.154867796742845,13.604060475752796,-1.5508073209900495,-10.233064001543822,ok,-1.4947991894031354,0,0.056008131586914089
D128_F03_V01,128,3,raw_AUC_200,468,492,461,7,31,5803264037.9779758,5525370473.3907318,5805839688.7749205,5450856259.1466961,-354983429.62822437,-6.1142478720959783,ok,-277893564.58724403,2575650.7969446182,74514214.244035721
D128_F03_V01,128,3,vessel_core_P95,468,492,461,7,31,407135180.16290605,444968364.58302289,412057515.4784537,444112212.8413713,32054697.362917602,7.779180371385249,ok,37833184.420116842,4922335.3155476451,856151.74165159464
D128_F03_V01,128,3,normalized_AUC_um,468,492,461,7,31,14.177169157922178,12.082938662230141,14.138250582296987,12.035810637789664,-2.1024399445073225,-14.87058057338341,ok,-2.0942304956920363,-0.038918575625190854,0.047128024440477034
D128_F05_V01,128,5,raw_AUC_200,491,500,491,0,9,5585216784.1950607,5378304327.3782969,5585216784.1950607,5378823407.4387188,-206393376.75634193,-3.6953512232576173,ok,-206912456.81676388,0,-519080.06042194366
D128_F05_V01,128,5,vessel_core_P95,491,500,491,0,9,408177337.8226369,451868207.56995749,408177337.8226369,452414660.87442291,44237323.051786005,10.837770486662395,ok,43690869.747320592,0,-546453.30446541309
D128_F05_V01,128,5,normalized_AUC_um,491,500,491,0,9,13.754867982743363,12.234184249319426,13.754867982743363,12.238189250245838,-1.5166787324975246,-11.026487018271098,ok,-1.5206837334239367,0,-0.0040050009264120945
D128_F07_V01,128,7,raw_AUC_200,493,495,489,4,6,6455300899.0893517,6080152885.590909,6454813444.920188,6080152885.590909,-374660559.32927895,-5.8043592200814027,ok,-375148013.49844265,-487454.16916370392,0
D128_F07_V01,128,7,vessel_core_P95,493,494,488,5,6,233227946.57303619,259468653.51495877,233788575.20228773,259468653.51495877,25680078.312671036,10.984317043915047,ok,26240706.941922575,560628.62925153971,0
D128_F07_V01,128,7,normalized_AUC_um,493,494,488,5,6,27.402543592428241,23.807715115622432,27.344261948715136,23.807715115622432,-3.5365468330927037,-12.933414841203568,ok,-3.5948284768058087,-0.058281643713105069,0
D128_F10_V01,128,10,raw_AUC_200,484,500,484,0,16,6076404098.6701698,5723795197.017642,6076404098.6701698,5695602789.4282551,-380801309.24191475,-6.2668858597678465,ok,-352608901.65252781,0,28192407.58938694
D128_F10_V01,128,10,vessel_core_P95,484,500,484,0,16,398969003.74968451,450901830.93028146,398969003.74968451,454630287.78212988,55661284.032445371,13.951280302308295,ok,51932827.180596948,0,-3728456.8518484235
D128_F10_V01,128,10,normalized_AUC_um,484,500,484,0,16,14.644725487495869,12.749459080251354,14.644725487495869,12.657039570461871,-1.987685917033998,-13.572708609192759,ok,-1.8952664072445149,0,0.092419509789483101
D235_F01_V01,235,1,raw_AUC_200,448,500,448,0,52,1806192843.8554683,1656171786.9803572,1806192843.8554683,1677631559.6231804,-128561284.23228788,-7.1178049824327267,ok,-150021056.8751111,0,-21459772.642823219
D235_F01_V01,235,1,vessel_core_P95,448,500,448,0,52,451615200.87422657,447089226.51388007,451615200.87422657,446356854.70041525,-5258346.1738113165,-1.1643421575784711,ok,-4525974.3603464961,0,732371.81346482038
D235_F01_V01,235,1,normalized_AUC_um,448,500,448,0,52,3.8991966545949657,3.6814654082227642,3.8991966545949657,3.7028548476178895,-0.19634180697707615,-5.0354425377776026,ok,-0.21773124637220143,0,-0.021389439395125276
D235_F03_V01,235,3,raw_AUC_200,448,500,448,0,52,1785966481.8980055,1651697304.1294405,1785966481.8980055,1653098294.9779763,-132868186.92002916,-7.439567778384383,ok,-134269177.76856494,0,-1400990.8485357761
D235_F03_V01,235,3,vessel_core_P95,448,500,448,0,52,509696212.98671401,457030939.58606589,509696212.98671401,459368001.88000572,-50328211.106708288,-9.8741583367463956,ok,-52665273.400648117,0,-2337062.2939398289
D235_F03_V01,235,3,normalized_AUC_um,448,500,448,0,52,3.6287753389923303,3.6084042957891924,3.6287753389923303,3.5910930631806828,-0.037682275811647514,-1.0384295607043961,ok,-0.020371043203137873,0,0.017311232608509641
D235_F05_V01,235,5,raw_AUC_200,424,500,424,0,76,1735095180.6195903,1675636514.3535805,1735095180.6195903,1668517517.6673875,-66577662.952202797,-3.8371187757220548,ok,-59458666.266009808,0,7118996.6861929893
D235_F05_V01,235,5,vessel_core_P95,424,500,424,0,76,504158181.5645566,481266174.91239548,504158181.5645566,484585793.4169566,-19572388.147599995,-3.8821919118441963,ok,-22892006.652161121,0,-3319618.5045611262
D235_F05_V01,235,5,normalized_AUC_um,424,500,424,0,76,3.3463398052315778,3.358982033218644,3.3463398052315778,3.3150343819021213,-0.031305423329456517,-0.93551238521905211,ok,0.012642227987066157,0,0.043947651316522673
D235_F07_V01,235,7,raw_AUC_200,444,500,444,0,56,1753477140.2770705,1631062292.0144114,1753477140.2770705,1617745815.6542501,-135731324.62282038,-7.7406954162729029,ok,-122414848.26265907,0,13316476.360161304
D235_F07_V01,235,7,vessel_core_P95,444,500,444,0,56,530381224.39623249,498846391.71777582,530381224.39623249,497996841.29377693,-32384383.102455556,-6.1058690641473614,ok,-31534832.678456664,0,849550.42399889231
D235_F07_V01,235,7,normalized_AUC_um,444,500,444,0,56,3.3630659374924017,3.3304806039140082,3.3630659374924017,3.3722833814838458,0.0092174439914440853,0.27407859859913647,ok,-0.032585333578393438,0,-0.041802777569837524
D235_F10_V01,235,10,raw_AUC_200,461,500,461,0,39,1824697168.0039144,1642792358.8667769,1824697168.0039144,1666374744.9838932,-158322423.0200212,-8.6766410227519781,ok,-181904809.13713741,0,-23582386.117116213
D235_F10_V01,235,10,vessel_core_P95,461,500,461,0,39,527716817.77361298,493660986.70574594,527716817.77361298,498521844.59727836,-29194973.17633462,-5.5323181284055778,ok,-34055831.067867041,0,-4860857.8915324211
D235_F10_V01,235,10,normalized_AUC_um,461,500,461,0,39,3.4261100548485768,3.3069223012717988,3.4261100548485768,3.2890521872210337,-0.13705786762754313,-4.0003930239655032,ok,-0.11918775357677802,0,0.017870114050765107
