metric,flow_mm_s,support,direction,D128,D235,D285
normalized_AUC_um,1,A_native,D128>D235>D285,15.154867796742845,3.8991966545949657,2.6602227025217444
normalized_AUC_um,1,B_native,D128>D235>D285,13.66006860733971,3.6814654082227642,2.5694674334550065
normalized_AUC_um,1,A_common,D128>D235>D285,15.154867796742845,3.8991966545949657,2.6602227025217444
normalized_AUC_um,1,B_common,D128>D235>D285,13.604060475752796,3.7028548476178895,2.6416246276824897
normalized_AUC_um,3,A_native,D128>D235>D285,14.177169157922178,3.6287753389923303,2.7419631131958253
normalized_AUC_um,3,B_native,D128>D235>D285,12.082938662230141,3.6084042957891924,2.7335822091978601
normalized_AUC_um,3,A_common,D128>D235>D285,14.138250582296987,3.6287753389923303,2.7419631131958253
normalized_AUC_um,3,B_common,D128>D235>D285,12.035810637789664,3.5910930631806828,2.7502590073147504
normalized_AUC_um,5,A_native,D128>D235>D285,13.754867982743363,3.3463398052315778,2.551641519372279
normalized_AUC_um,5,B_native,D128>D235>D285,12.234184249319426,3.358982033218644,2.581298185012725
normalized_AUC_um,5,A_common,D128>D235>D285,13.754867982743363,3.3463398052315778,2.551641519372279
normalized_AUC_um,5,B_common,D128>D235>D285,12.238189250245838,3.3150343819021213,2.581298185012725
normalized_AUC_um,7,A_native,D128>D235>D285,27.402543592428241,3.3630659374924017,2.5968059149642189
normalized_AUC_um,7,B_native,D128>D235>D285,23.807715115622432,3.3304806039140082,2.5295604911263094
normalized_AUC_um,7,A_common,D128>D235>D285,27.344261948715136,3.3630659374924017,2.5968059149642189
normalized_AUC_um,7,B_common,D128>D235>D285,23.807715115622432,3.3722833814838458,2.5295604911263094
normalized_AUC_um,10,A_native,D128>D235>D285,14.644725487495869,3.4261100548485768,2.5262288159495849
normalized_AUC_um,10,B_native,D128>D235>D285,12.749459080251354,3.3069223012717988,2.5040456431805111
normalized_AUC_um,10,A_common,D128>D235>D285,14.644725487495869,3.4261100548485768,2.5262288159495849
normalized_AUC_um,10,B_common,D128>D235>D285,12.657039570461871,3.2890521872210337,2.5040456431805111
raw_AUC_200,1,A_native,D128>D235>D285,5744849825.2933817,1806192843.8554683,1426343366.4770589
raw_AUC_200,1,B_native,D128>D235>D285,5640480142.5621424,1656171786.9803572,1320713566.8110375
raw_AUC_200,1,A_common,D128>D235>D285,5744849825.2933817,1806192843.8554683,1426343366.4770589
raw_AUC_200,1,B_common,D128>D235>D285,5640480142.5621424,1677631559.6231804,1308604768.3652828
raw_AUC_200,3,A_native,D128>D235>D285,5803264037.9779758,1785966481.8980055,1473904395.7877994
raw_AUC_200,3,B_native,D128>D235>D285,5525370473.3907318,1651697304.1294405,1395195471.7167821
raw_AUC_200,3,A_common,D128>D235>D285,5805839688.7749205,1785966481.8980055,1473904395.7877994
raw_AUC_200,3,B_common,D128>D235>D285,5450856259.1466961,1653098294.9779763,1385443587.3509378
raw_AUC_200,5,A_native,D128>D235>D285,5585216784.1950607,1735095180.6195903,1407198433.0311007
raw_AUC_200,5,B_native,D128>D235>D285,5378304327.3782969,1675636514.3535805,1373135549.8529155
raw_AUC_200,5,A_common,D128>D235>D285,5585216784.1950607,1735095180.6195903,1407198433.0311007
raw_AUC_200,5,B_common,D128>D235>D285,5378823407.4387188,1668517517.6673875,1369464325.2641599
raw_AUC_200,7,A_native,D128>D235>D285,6455300899.0893517,1753477140.2770705,1332075925.3672738
raw_AUC_200,7,B_native,D128>D235>D285,6080152885.590909,1631062292.0144114,1364722434.361315
raw_AUC_200,7,A_common,D128>D235>D285,6454813444.920188,1753477140.2770705,1332075925.3672738
raw_AUC_200,7,B_common,D128>D235>D285,6080152885.590909,1617745815.6542501,1352700254.3478885
