flow_mm_s,metric,from_diameter_um,to_diameter_um,from_value,to_value,absolute_difference,percent_difference,reason
1,raw_AUC_200,128,235,5744849825.2933817,1806192843.8554683,-3938656981.4379134,-68.559790094021665,ok
1,raw_AUC_200,235,285,1806192843.8554683,1426343366.4770589,-379849477.37840939,-21.030394327528683,ok
1,raw_AUC_200,128,285,5744849825.2933817,1426343366.4770589,-4318506458.8163223,-75.171790214651637,ok
1,vessel_core_P95,128,235,379745966.9624958,451615200.87422657,71869233.911730766,18.925608212931635,ok
1,vessel_core_P95,235,285,451615200.87422657,516794617.34093189,65179416.466705322,14.432511647201528,ok
1,vessel_core_P95,128,285,379745966.9624958,516794617.34093189,137048650.37843609,36.089560469768251,ok
1,normalized_AUC_um,128,235,15.154867796742845,3.8991966545949657,-11.255671142147879,-74.270995254521452,ok
1,normalized_AUC_um,235,285,3.8991966545949657,2.6602227025217444,-1.2389739520732213,-31.775108101130677,ok
1,normalized_AUC_um,128,285,15.154867796742845,2.6602227025217444,-12.4946450942211,-82.44641432574231,ok
3,raw_AUC_200,128,235,5803264037.9779758,1785966481.8980055,-4017297556.0799704,-69.224793664217145,ok
3,raw_AUC_200,235,285,1785966481.8980055,1473904395.7877994,-312062086.11020613,-17.473009111490573,ok
3,raw_AUC_200,128,285,5803264037.9779758,1473904395.7877994,-4329359642.190176,-74.602148271348497,ok
3,vessel_core_P95,128,235,407135180.16290605,509696212.98671401,102561032.82380795,25.190904107763529,ok
3,vessel_core_P95,235,285,509696212.98671401,526308325.95849597,16612112.971781969,3.2592184419888928,ok
3,vessel_core_P95,128,285,407135180.16290605,526308325.95849597,119173145.79558992,29.271149142136391,ok
3,normalized_AUC_um,128,235,14.177169157922178,3.6287753389923303,-10.548393818929847,-74.404090840909674,ok
3,normalized_AUC_um,235,285,3.6287753389923303,2.7419631131958253,-0.88681222579650498,-24.438333678787693,ok
3,normalized_AUC_um,128,285,14.177169157922178,2.7419631131958253,-11.435206044726353,-80.659304529327557,ok
5,raw_AUC_200,128,235,5585216784.1950607,1735095180.6195903,-3850121603.5754704,-68.934147989930679,ok
5,raw_AUC_200,235,285,1735095180.6195903,1407198433.0311007,-327896747.58848953,-18.897911264522094,ok
5,raw_AUC_200,128,285,5585216784.1950607,1407198433.0311007,-4178018351.16396,-74.80494513636134,ok
5,vessel_core_P95,128,235,408177337.8226369,504158181.5645566,95980843.741919696,23.514495991844047,ok
5,vessel_core_P95,235,285,504158181.5645566,538294587.99032879,34136406.42577219,6.7709714280221558,ok
5,vessel_core_P95,128,285,408177337.8226369,538294587.99032879,130117250.16769189,31.877627224917379,ok
5,normalized_AUC_um,128,235,13.754867982743363,3.3463398052315778,-10.408528177511785,-75.671596343710149,ok
5,normalized_AUC_um,235,285,3.3463398052315778,2.551641519372279,-0.7946982858592988,-23.748284158616791,ok
5,normalized_AUC_um,128,285,13.754867982743363,2.551641519372279,-11.203226463371085,-81.449174775261184,ok
7,raw_AUC_200,128,235,6455300899.0893517,1753477140.2770705,-4701823758.8122807,-72.836631975986847,ok
7,raw_AUC_200,235,285,1753477140.2770705,1332075925.3672738,-421401214.90979671,-24.032318712932309,ok
7,raw_AUC_200,128,285,6455300899.0893517,1332075925.3672738,-5123224973.7220783,-79.36461915268444,ok
7,vessel_core_P95,128,235,233227946.57303619,530381224.39623249,297153277.82319629,127.40894999482477,ok
7,vessel_core_P95,235,285,530381224.39623249,515049505.85678273,-15331718.539449751,-2.8906978290762169,ok
7,vessel_core_P95,128,285,233227946.57303619,515049505.85678273,281821559.28374654,120.83524441419934,ok
7,normalized_AUC_um,128,235,27.402543592428241,3.3630659374924017,-24.03947765493584,-87.727176033316596,ok
7,normalized_AUC_um,235,285,3.3630659374924017,2.5968059149642189,-0.76626002252818282,-22.784567319531305,ok
7,normalized_AUC_um,128,285,27.402543592428241,2.5968059149642189,-24.805737677464023,-90.52348587201314,ok
10,raw_AUC_200,128,235,6076404098.6701698,1824697168.0039144,-4251706930.6662555,-69.970773201156064,ok
10,raw_AUC_200,235,285,1824697168.0039144,1378725592.8093803,-445971575.19453406,-24.440854242262812,ok
10,raw_AUC_200,128,285,6076404098.6701698,1378725592.8093803,-4697678505.8607893,-77.310172753140023,ok
10,vessel_core_P95,128,235,398969003.74968451,527716817.77361298,128747814.02392846,32.270129462163837,ok
10,vessel_core_P95,235,285,527716817.77361298,525249563.64859617,-2467254.1250168085,-0.46753373057654651,ok
10,vessel_core_P95,128,285,398969003.74968451,525249563.64859617,126280559.89891165,31.651721991450948,ok
10,normalized_AUC_um,128,235,14.644725487495869,3.4261100548485768,-11.218615432647292,-76.605160282629413,ok
10,normalized_AUC_um,235,285,3.4261100548485768,2.5262288159495849,-0.89988123889899185,-26.265392077101964,ok
10,normalized_AUC_um,128,285,14.644725487495869,2.5262288159495849,-12.118496671546284,-82.749906660206364,ok
