flow_mm_s,metric,D128,D235,D285,evaluable,target_shape_met,direction,reason
1,raw_AUC_200,5744849825.2933817,1806192843.8554683,1426343366.4770589,True,False,D128>D235>D285,ok
1,vessel_core_P95,379745966.9624958,451615200.87422657,516794617.34093189,True,True,D128<D235<D285,ok
1,normalized_AUC_um,15.154867796742845,3.8991966545949657,2.6602227025217444,True,True,D128>D235>D285,ok
3,raw_AUC_200,5803264037.9779758,1785966481.8980055,1473904395.7877994,True,False,D128>D235>D285,ok
3,vessel_core_P95,407135180.16290605,509696212.98671401,526308325.95849597,True,True,D128<D235<D285,ok
3,normalized_AUC_um,14.177169157922178,3.6287753389923303,2.7419631131958253,True,True,D128>D235>D285,ok
5,raw_AUC_200,5585216784.1950607,1735095180.6195903,1407198433.0311007,True,False,D128>D235>D285,ok
5,vessel_core_P95,408177337.8226369,504158181.5645566,538294587.99032879,True,True,D128<D235<D285,ok
5,normalized_AUC_um,13.754867982743363,3.3463398052315778,2.551641519372279,True,True,D128>D235>D285,ok
7,raw_AUC_200,6455300899.0893517,1753477140.2770705,1332075925.3672738,True,False,D128>D235>D285,ok
7,vessel_core_P95,233227946.57303619,530381224.39623249,515049505.85678273,True,False,D128<D235>D285,ok
7,normalized_AUC_um,27.402543592428241,3.3630659374924017,2.5968059149642189,True,True,D128>D235>D285,ok
10,raw_AUC_200,6076404098.6701698,1824697168.0039144,1378725592.8093803,True,False,D128>D235>D285,ok
10,vessel_core_P95,398969003.74968451,527716817.77361298,525249563.64859617,True,False,D128<D235>D285,ok
10,normalized_AUC_um,14.644725487495869,3.4261100548485768,2.5262288159495849,True,True,D128>D235>D285,ok
