flow_mm_s,metric,D128,D235,D285,evaluable,target_shape_met,direction,reason
1,raw_AUC_200,5640480142.5621424,1656171786.9803572,1320713566.8110375,True,False,D128>D235>D285,ok
1,vessel_core_P95,409191010.795506,447089226.51388007,514161498.64341491,True,True,D128<D235<D285,ok
1,normalized_AUC_um,13.66006860733971,3.6814654082227642,2.5694674334550065,True,True,D128>D235>D285,ok
3,raw_AUC_200,5525370473.3907318,1651697304.1294405,1395195471.7167821,True,False,D128>D235>D285,ok
3,vessel_core_P95,444968364.58302289,457030939.58606589,499015929.0610413,True,True,D128<D235<D285,ok
3,normalized_AUC_um,12.082938662230141,3.6084042957891924,2.7335822091978601,True,True,D128>D235>D285,ok
5,raw_AUC_200,5378304327.3782969,1675636514.3535805,1373135549.8529155,True,False,D128>D235>D285,ok
5,vessel_core_P95,451868207.56995749,481266174.91239548,516226380.18895674,True,True,D128<D235<D285,ok
5,normalized_AUC_um,12.234184249319426,3.358982033218644,2.581298185012725,True,True,D128>D235>D285,ok
7,raw_AUC_200,6080152885.590909,1631062292.0144114,1364722434.361315,True,False,D128>D235>D285,ok
7,vessel_core_P95,259468653.51495877,498846391.71777582,533019755.58024192,True,True,D128<D235<D285,ok
7,normalized_AUC_um,23.807715115622432,3.3304806039140082,2.5295604911263094,True,True,D128>D235>D285,ok
10,raw_AUC_200,5723795197.017642,1642792358.8667769,1316206287.9160631,True,False,D128>D235>D285,ok
10,vessel_core_P95,450901830.93028146,493660986.70574594,519257505.14742053,True,True,D128<D235<D285,ok
10,normalized_AUC_um,12.749459080251354,3.3069223012717988,2.5040456431805111,True,True,D128>D235>D285,ok
