scan_id,diameter_um,flow_mm_s,n_nominal,n_geometry_valid,n_metric_assessable,n_primary_eligible,n_auc_defined,n_denominator_defined,n_normalized_defined,n_denominator_pooled,n_auc_defined_all_positions,n_denominator_defined_all_positions,n_normalized_defined_all_positions,n_full_assessable,median_raw_AUC_200,min_raw_AUC_200,max_raw_AUC_200,n_pooled_raw_AUC_200,median_vessel_core_P95,min_vessel_core_P95,max_vessel_core_P95,n_pooled_vessel_core_P95,median_normalized_AUC_um,min_normalized_AUC_um,max_normalized_AUC_um,n_pooled_normalized_AUC_um
D128_F01_V01,128,1,500,486,500,500,500,500,500,500,500,500,500,500,5640480142.5621424,1788564927.3277395,13703570712.447203,500,409191010.795506,81322732.827873647,1322909689.4726181,500,13.66006860733971,4.245803876572988,48.880511406184453,500
D128_F03_V01,128,3,500,468,500,492,492,492,492,492,500,500,500,492,5525370473.3907318,1407543520.0679312,12080414610.759277,492,444968364.58302289,14727037.368359935,1654130222.2689791,492,12.082938662230141,3.4956587228267106,95.5754701276134,492
D128_F05_V01,128,5,500,491,500,500,500,500,500,500,500,500,500,500,5378304327.3782969,1722804672.0595381,11373745620.539133,500,451868207.56995749,65025529.076390393,1675722473.9291551,500,12.234184249319426,3.1609183976038411,71.778267060658635,500
D128_F07_V01,128,7,500,493,500,495,495,494,494,494,500,499,499,495,6080152885.590909,460373218.71253121,14752366205.41151,495,259468653.51495877,13455415.949292298,1007516613.6428257,494,23.807715115622432,5.5905052687750771,182.29626866168985,494
D128_F10_V01,128,10,500,484,500,500,500,500,500,500,500,500,500,500,5723795197.017642,2022309960.1448214,11630567294.447124,500,450901830.93028146,104756323.03657208,1580716340.2158918,500,12.749459080251354,3.8052999618610741,57.793375169760111,500
D235_F01_V01,235,1,500,448,500,500,500,500,500,500,500,500,500,500,1656171786.9803572,265187886.62176827,7133744421.6584663,500,447089226.51388007,146847437.10140842,1009106915.4596363,500,3.6814654082227642,0.86765355804638455,15.241580510680386,500
D235_F03_V01,235,3,500,448,500,500,500,500,500,500,500,500,500,500,1651697304.1294405,254244613.9913635,6415303917.1626577,500,457030939.58606589,96441181.341624573,1203339332.5456903,500,3.6084042957891924,0.99161573531087022,16.001201550217207,500
D235_F05_V01,235,5,500,424,500,500,500,500,500,500,500,500,500,500,1675636514.3535805,510894238.15735781,6516923201.60184,500,481266174.91239548,128018820.20456637,1171759568.9887118,500,3.358982033218644,0.92699445582562678,16.236840067231295,500
D235_F07_V01,235,7,500,444,500,500,500,500,500,500,500,500,500,500,1631062292.0144114,516000391.14150542,6695620355.3135929,500,498846391.71777582,149761141.21940318,1294210747.8273969,500,3.3304806039140082,0.72802718777399433,18.770839163310459,500
D235_F10_V01,235,10,500,461,500,500,500,500,500,500,500,500,500,500,1642792358.8667769,449391528.56026191,6987053112.553792,500,493660986.70574594,151954740.84208676,2280204832.3742242,500,3.3069223012717988,0.64203124654498445,20.919828539710412,500
D285_F01_V01,285,1,500,453,500,500,500,500,500,500,500,500,500,500,1320713566.8110375,566335829.0065366,2569197788.5419855,500,514161498.64341491,192143116.08587229,1316923939.9827802,500,2.5694674334550065,0.74481569069700082,7.1816325010722117,500
D285_F03_V01,285,3,500,474,500,500,500,500,500,500,500,500,500,500,1395195471.7167821,500617564.87081695,2747322841.0012598,500,499015929.0610413,174772367.74806532,1170694374.0486763,500,2.7335822091978601,0.80398358263572578,8.8068078902891376,500
D285_F05_V01,285,5,500,492,500,500,500,500,500,500,500,500,500,500,1373135549.8529155,499375953.74972552,3415150561.8962612,500,516226380.18895674,194598792.76186657,1435543233.0909088,500,2.581298185012725,0.52652421739789479,9.0797160924146247,500
D285_F07_V01,285,7,500,458,500,500,500,500,500,500,500,500,500,500,1364722434.361315,463152138.9666757,2678239248.4728799,500,533019755.58024192,236246994.10673106,1359804436.0413251,500,2.5295604911263094,0.69941190778075468,7.035884171238763,500
D285_F10_V01,285,10,500,494,500,500,500,500,500,500,500,500,500,500,1316206287.9160631,484888077.48502201,2799636360.4231434,500,519257505.14742053,238319372.55875102,1584843647.9564548,500,2.5040456431805111,0.69289975595850473,6.3470382191129922,500
