diameter_um,source_bin,tail_bin,number_positive,positive_5_of_5,positive_at_least_4_of_5,number_positive_specificity,number_peak_within_pm2,number_peak_within_pm5
128,1,1,5,True,True,5,2,2
128,1,2,5,True,True,5,0,0
128,1,3,3,False,False,4,0,0
128,1,4,3,False,False,3,1,1
128,1,5,5,True,True,5,2,2
128,1,6,4,False,True,3,0,0
128,1,7,4,False,True,4,1,1
128,1,8,5,True,True,5,0,0
128,1,9,5,True,True,5,0,0
128,1,10,5,True,True,5,0,0
128,1,11,2,False,False,4,0,0
128,1,12,4,False,True,4,0,0
128,1,13,4,False,True,4,1,1
128,1,14,3,False,False,4,0,1
128,1,15,5,True,True,4,1,1
128,1,16,3,False,False,3,0,0
128,1,17,3,False,False,3,0,0
128,1,18,3,False,False,2,1,1
128,1,19,0,False,False,1,0,0
128,1,20,3,False,False,4,1,2
128,2,1,5,True,True,5,5,5
128,2,2,5,True,True,5,5,5
128,2,3,5,True,True,5,5,5
128,2,4,5,True,True,5,5,5
128,2,5,5,True,True,5,4,4
128,2,6,5,True,True,5,5,5
128,2,7,5,True,True,5,4,4
128,2,8,5,True,True,5,4,4
128,2,9,5,True,True,5,4,4
128,2,10,5,True,True,5,3,4
128,2,11,5,True,True,5,2,2
128,2,12,5,True,True,5,3,3
128,2,13,5,True,True,5,3,3
128,2,14,5,True,True,5,0,0
128,2,15,4,False,True,4,1,1
128,2,16,4,False,True,4,1,1
128,2,17,4,False,True,4,2,2
128,2,18,5,True,True,5,2,2
128,2,19,3,False,False,4,1,1
128,2,20,2,False,False,2,0,1
128,3,1,5,True,True,5,5,5
128,3,2,5,True,True,5,5,5
128,3,3,5,True,True,5,5,5
128,3,4,5,True,True,5,4,4
128,3,5,5,True,True,5,4,4
128,3,6,5,True,True,5,5,5
128,3,7,5,True,True,5,4,5
128,3,8,5,True,True,5,4,4
128,3,9,5,True,True,5,5,5
128,3,10,5,True,True,5,4,4
128,3,11,4,False,True,4,2,2
128,3,12,5,True,True,5,1,1
128,3,13,5,True,True,5,1,1
128,3,14,5,True,True,5,1,3
128,3,15,5,True,True,5,0,1
128,3,16,5,True,True,5,0,3
128,3,17,4,False,True,5,0,1
128,3,18,5,True,True,5,1,1
128,3,19,5,True,True,5,3,3
128,3,20,3,False,False,3,0,2
128,4,1,5,True,True,5,5,5
128,4,2,5,True,True,5,5,5
128,4,3,5,True,True,5,4,4
128,4,4,5,True,True,5,4,4
128,4,5,5,True,True,5,3,3
128,4,6,5,True,True,5,5,5
128,4,7,5,True,True,5,4,4
128,4,8,4,False,True,4,4,4
128,4,9,5,True,True,5,3,3
128,4,10,5,True,True,5,3,4
128,4,11,5,True,True,5,1,1
128,4,12,5,True,True,5,1,1
128,4,13,5,True,True,5,3,3
128,4,14,5,True,True,5,1,2
128,4,15,3,False,False,3,1,1
128,4,16,5,True,True,5,0,0
128,4,17,5,True,True,5,1,1
128,4,18,5,True,True,5,0,1
128,4,19,4,False,True,4,0,0
128,4,20,2,False,False,3,1,1
128,5,1,5,True,True,5,5,5
128,5,2,5,True,True,5,4,4
128,5,3,5,True,True,5,3,3
128,5,4,5,True,True,5,3,3
128,5,5,5,True,True,5,2,3
128,5,6,5,True,True,5,4,4
128,5,7,5,True,True,5,4,4
128,5,8,5,True,True,5,3,4
128,5,9,5,True,True,5,3,3
128,5,10,5,True,True,5,3,4
128,5,11,5,True,True,5,2,2
128,5,12,5,True,True,5,1,3
128,5,13,4,False,True,4,2,2
128,5,14,5,True,True,5,1,2
128,5,15,3,False,False,4,2,3
128,5,16,5,True,True,5,1,1
