diameter_um,coordinate,source_bins,mode,metric,source_bin,tail_bin,u_lo,u_hi,u_mid,tail_lo_um,tail_hi_um,tail_mid_um,eta_lo,eta_hi,eta_mid,rho,rho_min,rho_max,number_positive,n_volumes,positive_5_of_5,positive_at_least_4_of_5,flow_rho_values_json,zero_lag_specificity,specificity_min,specificity_max,number_positive_specificity,number_peak_within_pm2,number_peak_within_pm5,high_region_target_count
128,absolute,6,detrended_51,mean,3,1,0.33333333333333331,0.5,0.41666666666666669,0,25,12.5,0,0.1953125,0.09765625,0.34153048607935721,0.26291050047972703,0.36937402906164096,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.3415304860793572}, {""flow_mm_s"": 3.0, ""rho"": 0.2722681915654425}, {""flow_mm_s"": 5.0, ""rho"": 0.36937402906164096}, {""flow_mm_s"": 7.0, ""rho"": 0.34621805280270024}, {""flow_mm_s"": 10.0, ""rho"": 0.262910500479727}]",0.32495917552128561,0.24584464802372025,0.34590661954890389,5,5,5,12
128,absolute,6,detrended_51,mean,2,1,0.16666666666666666,0.33333333333333331,0.25,0,25,12.5,0,0.1953125,0.09765625,0.28850314554606765,0.21691785272037506,0.3324659325669983,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.29004835675146146}, {""flow_mm_s"": 3.0, ""rho"": 0.21691785272037506}, {""flow_mm_s"": 5.0, ""rho"": 0.2875619261808432}, {""flow_mm_s"": 7.0, ""rho"": 0.3324659325669983}, {""flow_mm_s"": 10.0, ""rho"": 0.28850314554606765}]",0.28102101064747159,0.20301437962650645,0.34625643710812043,5,5,5,12
128,absolute,6,detrended_51,mean,3,2,0.33333333333333331,0.5,0.41666666666666669,25,50,37.5,0.1953125,0.390625,0.29296875,0.26296055294354659,0.24601733963069944,0.3974469161630943,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.3974469161630943}, {""flow_mm_s"": 3.0, ""rho"": 0.2629605529435466}, {""flow_mm_s"": 5.0, ""rho"": 0.24601733963069944}, {""flow_mm_s"": 7.0, ""rho"": 0.24804227417413527}, {""flow_mm_s"": 10.0, ""rho"": 0.2929678824046062}]",0.25178269775446738,0.23546430977949995,0.41439495063219567,5,5,5,12
128,absolute,6,detrended_51,mean,4,1,0.5,0.66666666666666663,0.58333333333333337,0,25,12.5,0,0.1953125,0.09765625,0.25950417499733092,0.2024306358357002,0.31585483110007201,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.245277284539798}, {""flow_mm_s"": 3.0, ""rho"": 0.2595041749973309}, {""flow_mm_s"": 5.0, ""rho"": 0.31388000066110855}, {""flow_mm_s"": 7.0, ""rho"": 0.315854831100072}, {""flow_mm_s"": 10.0, ""rho"": 0.2024306358357002}]",0.27324662539969091,0.22339809865501695,0.32591754807768092,5,5,5,12
128,absolute,6,detrended_51,mean,2,2,0.16666666666666666,0.33333333333333331,0.25,25,50,37.5,0.1953125,0.390625,0.29296875,0.2399713141683335,0.21241472876829651,0.30425802324068763,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.3042580232406876}, {""flow_mm_s"": 3.0, ""rho"": 0.2399713141683335}, {""flow_mm_s"": 5.0, ""rho"": 0.28461755993321264}, {""flow_mm_s"": 7.0, ""rho"": 0.2124147287682965}, {""flow_mm_s"": 10.0, ""rho"": 0.23041219126647913}]",0.23876511108093415,0.21289270575137992,0.31244429321167105,5,5,5,12
128,absolute,6,detrended_51,mean,6,1,0.83333333333333337,1,0.91666666666666663,0,25,12.5,0,0.1953125,0.09765625,0.2358217035382402,0.17447959874593,0.28620312867135134,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.28620312867135134}, {""flow_mm_s"": 3.0, ""rho"": 0.17447959874593}, {""flow_mm_s"": 5.0, ""rho"": 0.26708717805230653}, {""flow_mm_s"": 7.0, ""rho"": 0.22046722927756204}, {""flow_mm_s"": 10.0, ""rho"": 0.2358217035382402}]",0.2495673763347665,0.16774545356744672,0.27814864795192606,5,5,5,12
128,absolute,6,detrended_51,mean,4,2,0.5,0.66666666666666663,0.58333333333333337,25,50,37.5,0.1953125,0.390625,0.29296875,0.22921463295395461,0.1433607412295041,0.26495873632286865,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.2292146329539546}, {""flow_mm_s"": 3.0, ""rho"": 0.2521933169148951}, {""flow_mm_s"": 5.0, ""rho"": 0.16887684507993816}, {""flow_mm_s"": 7.0, ""rho"": 0.1433607412295041}, {""flow_mm_s"": 10.0, ""rho"": 0.26495873632286865}]",0.23041683730169896,0.14707554694517497,0.28885460496690724,5,5,5,12
128,absolute,6,detrended_51,mean,3,6,0.33333333333333331,0.5,0.41666666666666669,125,150,137.5,0.9765625,1.171875,1.07421875,0.2262944099101081,0.20366076606246167,0.26738071798884594,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.22757893392167156}, {""flow_mm_s"": 3.0, ""rho"": 0.22219458058715824}, {""flow_mm_s"": 5.0, ""rho"": 0.26738071798884594}, {""flow_mm_s"": 7.0, ""rho"": 0.2262944099101081}, {""flow_mm_s"": 10.0, ""rho"": 0.20366076606246167}]",0.22529749272967167,0.20204102087434822,0.26767191862505846,5,5,5,12
128,absolute,6,detrended_51,mean,2,3,0.16666666666666666,0.33333333333333331,0.25,50,75,62.5,0.390625,0.5859375,0.48828125,0.22572858878061891,0.14160409114704373,0.28488679466215883,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.14160409114704373}, {""flow_mm_s"": 3.0, ""rho"": 0.23731518684436062}, {""flow_mm_s"": 5.0, ""rho"": 0.2848867946621588}, {""flow_mm_s"": 7.0, ""rho"": 0.17333020403127408}, {""flow_mm_s"": 10.0, ""rho"": 0.2257285887806189}]",0.22239518634742095,0.15405368570801983,0.28816882506176911,5,5,5,12
128,absolute,6,detrended_51,mean,3,4,0.33333333333333331,0.5,0.41666666666666669,75,100,87.5,0.5859375,0.78125,0.68359375,0.2253871926139302,0.13156107162949943,0.24264161324838435,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.2253871926139302}, {""flow_mm_s"": 3.0, ""rho"": 0.1986136154752862}, {""flow_mm_s"": 5.0, ""rho"": 0.23088143767755154}, {""flow_mm_s"": 7.0, ""rho"": 0.24264161324838435}, {""flow_mm_s"": 10.0, ""rho"": 0.13156107162949943}]",0.22022010991374361,0.13447055834743132,0.24354052900560491,5,4,4,12
