diameter_um,coordinate,source_bins,mode,metric,source_bin,tail_bin,u_lo,u_hi,u_mid,tail_lo_um,tail_hi_um,tail_mid_um,eta_lo,eta_hi,eta_mid,rho,rho_min,rho_max,number_positive,n_volumes,positive_5_of_5,positive_at_least_4_of_5,flow_rho_values_json,control
128,absolute,6,detrended_51,mean,1,1,0,0.16666666666666666,0.083333333333333329,0,25,12.5,0,0.1953125,0.09765625,0.15169622253506904,0.085445484267246047,0.20552510028265411,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.15169622253506904}, {""flow_mm_s"": 3.0, ""rho"": 0.09702468787985868}, {""flow_mm_s"": 5.0, ""rho"": 0.08544548426724605}, {""flow_mm_s"": 7.0, ""rho"": 0.2055251002826541}, {""flow_mm_s"": 10.0, ""rho"": 0.1947743981461999}]",area_ztop
128,absolute,6,detrended_51,mean,1,2,0,0.16666666666666666,0.083333333333333329,25,50,37.5,0.1953125,0.390625,0.29296875,0.10822374828387582,0.07342453337026858,0.15704485495335999,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.1396424070997608}, {""flow_mm_s"": 3.0, ""rho"": 0.09734980641749082}, {""flow_mm_s"": 5.0, ""rho"": 0.10822374828387582}, {""flow_mm_s"": 7.0, ""rho"": 0.15704485495335999}, {""flow_mm_s"": 10.0, ""rho"": 0.07342453337026858}]",area_ztop
128,absolute,6,detrended_51,mean,1,3,0,0.16666666666666666,0.083333333333333329,50,75,62.5,0.390625,0.5859375,0.48828125,0.04745846126178653,0.0088160782278434609,0.069260124821457492,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.026215672423695824}, {""flow_mm_s"": 3.0, ""rho"": 0.05459438699071771}, {""flow_mm_s"": 5.0, ""rho"": 0.008816078227843461}, {""flow_mm_s"": 7.0, ""rho"": 0.06926012482145749}, {""flow_mm_s"": 10.0, ""rho"": 0.04745846126178653}]",area_ztop
128,absolute,6,detrended_51,mean,1,4,0,0.16666666666666666,0.083333333333333329,75,100,87.5,0.5859375,0.78125,0.68359375,0.034375620064939313,0.00070743857253860107,0.15642450016781465,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.0007074385725386011}, {""flow_mm_s"": 3.0, ""rho"": 0.13949816981458407}, {""flow_mm_s"": 5.0, ""rho"": 0.03437562006493931}, {""flow_mm_s"": 7.0, ""rho"": 0.15642450016781465}, {""flow_mm_s"": 10.0, ""rho"": 0.012371691859905016}]",area_ztop
128,absolute,6,detrended_51,mean,1,5,0,0.16666666666666666,0.083333333333333329,100,125,112.5,0.78125,0.9765625,0.87890625,0.08948264376822182,0.0062677885097426663,0.14898874431330997,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.060992766867761755}, {""flow_mm_s"": 3.0, ""rho"": 0.006267788509742666}, {""flow_mm_s"": 5.0, ""rho"": 0.09690763097137564}, {""flow_mm_s"": 7.0, ""rho"": 0.08948264376822182}, {""flow_mm_s"": 10.0, ""rho"": 0.14898874431330997}]",area_ztop
128,absolute,6,detrended_51,mean,1,6,0,0.16666666666666666,0.083333333333333329,125,150,137.5,0.9765625,1.171875,1.07421875,0.058273253051392089,0.012173528702250346,0.073101955068366573,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.07310195506836657}, {""flow_mm_s"": 3.0, ""rho"": 0.04410115196499734}, {""flow_mm_s"": 5.0, ""rho"": 0.062098051892398407}, {""flow_mm_s"": 7.0, ""rho"": 0.05827325305139209}, {""flow_mm_s"": 10.0, ""rho"": 0.012173528702250346}]",area_ztop
128,absolute,6,detrended_51,mean,1,7,0,0.16666666666666666,0.083333333333333329,150,175,162.5,1.171875,1.3671875,1.26953125,0.038681860190316844,0.014757491723453923,0.10606698184100252,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.09316326930873}, {""flow_mm_s"": 3.0, ""rho"": 0.024529411790405235}, {""flow_mm_s"": 5.0, ""rho"": 0.10606698184100252}, {""flow_mm_s"": 7.0, ""rho"": 0.014757491723453923}, {""flow_mm_s"": 10.0, ""rho"": 0.038681860190316844}]",area_ztop
128,absolute,6,detrended_51,mean,1,8,0,0.16666666666666666,0.083333333333333329,175,200,187.5,1.3671875,1.5625,1.46484375,0.096164432509577916,0.050621928262065186,0.14222335230004504,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.14222335230004504}, {""flow_mm_s"": 3.0, ""rho"": 0.06093057035868546}, {""flow_mm_s"": 5.0, ""rho"": 0.09616443250957792}, {""flow_mm_s"": 7.0, ""rho"": 0.050621928262065186}, {""flow_mm_s"": 10.0, ""rho"": 0.10788600249856888}]",area_ztop
128,absolute,6,detrended_51,mean,1,9,0,0.16666666666666666,0.083333333333333329,200,225,212.5,1.5625,1.7578125,1.66015625,0.05542315683877317,0.02342818737349342,0.12038962149825988,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.05542315683877317}, {""flow_mm_s"": 3.0, ""rho"": 0.02342818737349342}, {""flow_mm_s"": 5.0, ""rho"": 0.12038962149825988}, {""flow_mm_s"": 7.0, ""rho"": 0.059766998824397795}, {""flow_mm_s"": 10.0, ""rho"": 0.02824116264254482}]",area_ztop
128,absolute,6,detrended_51,mean,1,10,0,0.16666666666666666,0.083333333333333329,225,250,237.5,1.7578125,1.953125,1.85546875,0.11945431122083958,0.088355222735389718,0.14315312676417041,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.08835522273538972}, {""flow_mm_s"": 3.0, ""rho"": 0.11945431122083958}, {""flow_mm_s"": 5.0, ""rho"": 0.1431531267641704}, {""flow_mm_s"": 7.0, ""rho"": 0.09016175500620778}, {""flow_mm_s"": 10.0, ""rho"": 0.12235335234062476}]",area_ztop
