diameter_um,coordinate,source_bins,mode,metric,source_bin,tail_bin,u_lo,u_hi,u_mid,tail_lo_um,tail_hi_um,tail_mid_um,eta_lo,eta_hi,eta_mid,rho,rho_min,rho_max,number_positive,n_volumes,positive_5_of_5,positive_at_least_4_of_5,flow_rho_values_json,zero_lag_specificity,specificity_min,specificity_max,number_positive_specificity,number_peak_within_pm2,number_peak_within_pm5
128,normalized,6,detrended_51,mean,1,1,0,0.16666666666666666,0.083333333333333329,0,25.600000000000001,12.800000000000001,0,0.20000000000000001,0.10000000000000001,0.13009616496544402,0.11134146796438547,0.20047438346331903,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.1240500345292254}, {""flow_mm_s"": 3.0, ""rho"": 0.13009616496544402}, {""flow_mm_s"": 5.0, ""rho"": 0.11134146796438547}, {""flow_mm_s"": 7.0, ""rho"": 0.20047438346331903}, {""flow_mm_s"": 10.0, ""rho"": 0.14624281323161598}]",0.12807987232169016,0.101681581544365,0.21782600217447975,5,2,2
128,normalized,6,detrended_51,mean,1,2,0,0.16666666666666666,0.083333333333333329,25.600000000000001,51.200000000000003,38.400000000000006,0.20000000000000001,0.40000000000000002,0.30000000000000004,0.10009296027006058,0.020738357541925639,0.12703363286342881,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.08397463849711513}, {""flow_mm_s"": 3.0, ""rho"": 0.1270336328634288}, {""flow_mm_s"": 5.0, ""rho"": 0.10009296027006058}, {""flow_mm_s"": 7.0, ""rho"": 0.10388237435148193}, {""flow_mm_s"": 10.0, ""rho"": 0.02073835754192564}]",0.10316042005990816,0.030260922094180819,0.12612130431416277,5,0,0
128,normalized,6,detrended_51,mean,1,3,0,0.16666666666666666,0.083333333333333329,51.200000000000003,76.800000000000011,64,0.40000000000000002,0.60000000000000009,0.5,0.039941901887028147,-0.026442324263585691,0.11492294431402415,3,5,False,False,"[{""flow_mm_s"": 1.0, ""rho"": -0.007739563050204547}, {""flow_mm_s"": 3.0, ""rho"": 0.11492294431402415}, {""flow_mm_s"": 5.0, ""rho"": -0.02644232426358569}, {""flow_mm_s"": 7.0, ""rho"": 0.03994190188702815}, {""flow_mm_s"": 10.0, ""rho"": 0.04375357274892078}]",0.059670550706448736,-0.020892877853461715,0.10666859627471306,4,0,0
128,normalized,6,detrended_51,mean,1,4,0,0.16666666666666666,0.083333333333333329,76.800000000000011,102.40000000000001,89.600000000000009,0.60000000000000009,0.80000000000000004,0.70000000000000007,0.0071039080111125951,-0.04006833041825162,0.16759713128708958,3,5,False,False,"[{""flow_mm_s"": 1.0, ""rho"": -0.04006833041825162}, {""flow_mm_s"": 3.0, ""rho"": 0.16759713128708958}, {""flow_mm_s"": 5.0, ""rho"": 0.007103908011112595}, {""flow_mm_s"": 7.0, ""rho"": 0.08875776889553119}, {""flow_mm_s"": 10.0, ""rho"": -0.02542780185225421}]",0.01815284756841154,-0.052550126326411525,0.1734129743844342,3,1,1
128,normalized,6,detrended_51,mean,1,5,0,0.16666666666666666,0.083333333333333329,102.40000000000001,128,115.2,0.80000000000000004,1,0.90000000000000002,0.065845179189006814,0.037102719975895149,0.1317753577145836,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.03710271997589515}, {""flow_mm_s"": 3.0, ""rho"": 0.05264362486031322}, {""flow_mm_s"": 5.0, ""rho"": 0.06584517918900681}, {""flow_mm_s"": 7.0, ""rho"": 0.1317753577145836}, {""flow_mm_s"": 10.0, ""rho"": 0.12052978313553649}]",0.089563823386563254,0.016725768973618799,0.11132515810166005,5,3,3
128,normalized,6,detrended_51,mean,2,1,0.16666666666666666,0.33333333333333331,0.25,0,25.600000000000001,12.800000000000001,0,0.20000000000000001,0.10000000000000001,0.28691448155198185,0.21878086192540525,0.33068247142264828,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.2858645743138532}, {""flow_mm_s"": 3.0, ""rho"": 0.21878086192540525}, {""flow_mm_s"": 5.0, ""rho"": 0.28691448155198185}, {""flow_mm_s"": 7.0, ""rho"": 0.3306824714226483}, {""flow_mm_s"": 10.0, ""rho"": 0.2893694115144369}]",0.28010228424278832,0.20470863777572054,0.34378836635328336,5,5,5
128,normalized,6,detrended_51,mean,2,2,0.16666666666666666,0.33333333333333331,0.25,25.600000000000001,51.200000000000003,38.400000000000006,0.20000000000000001,0.40000000000000002,0.30000000000000004,0.23825627748377276,0.21671303571549771,0.30422391993996023,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.30422391993996023}, {""flow_mm_s"": 3.0, ""rho"": 0.23825627748377276}, {""flow_mm_s"": 5.0, ""rho"": 0.2870090740873946}, {""flow_mm_s"": 7.0, ""rho"": 0.21671303571549771}, {""flow_mm_s"": 10.0, ""rho"": 0.22641589013513996}]",0.23753426912873232,0.21713244949415855,0.31859901006565511,5,5,5
128,normalized,6,detrended_51,mean,2,3,0.16666666666666666,0.33333333333333331,0.25,51.200000000000003,76.800000000000011,64,0.40000000000000002,0.60000000000000009,0.5,0.22702704733693679,0.14660160149255094,0.28251730407937919,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.14660160149255094}, {""flow_mm_s"": 3.0, ""rho"": 0.24323628938483113}, {""flow_mm_s"": 5.0, ""rho"": 0.2825173040793792}, {""flow_mm_s"": 7.0, ""rho"": 0.16188124468779572}, {""flow_mm_s"": 10.0, ""rho"": 0.2270270473369368}]",0.22570064741473209,0.1607303380688504,0.28690705516054682,5,4,4
128,normalized,6,detrended_51,mean,2,4,0.16666666666666666,0.33333333333333331,0.25,76.800000000000011,102.40000000000001,89.600000000000009,0.60000000000000009,0.80000000000000004,0.70000000000000007,0.22183802870898012,0.15255206304372837,0.28813203127122589,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.15255206304372837}, {""flow_mm_s"": 3.0, ""rho"": 0.22183802870898012}, {""flow_mm_s"": 5.0, ""rho"": 0.2881320312712259}, {""flow_mm_s"": 7.0, ""rho"": 0.2450088030461144}, {""flow_mm_s"": 10.0, ""rho"": 0.16457043246955833}]",0.23752292474424125,0.14207696401840014,0.29579456212006672,5,5,5
128,normalized,6,detrended_51,mean,2,5,0.16666666666666666,0.33333333333333331,0.25,102.40000000000001,128,115.2,0.80000000000000004,1,0.90000000000000002,0.20257446499159901,0.17741891560988413,0.25424535278761218,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.17741891560988413}, {""flow_mm_s"": 3.0, ""rho"": 0.19204780886521072}, {""flow_mm_s"": 5.0, ""rho"": 0.2542453527876122}, {""flow_mm_s"": 7.0, ""rho"": 0.25035688011116636}, {""flow_mm_s"": 10.0, ""rho"": 0.202574464991599}]",0.19984064744324292,0.16890290732330585,0.24986233775908309,5,4,4
128,normalized,6,detrended_51,mean,3,1,0.33333333333333331,0.5,0.41666666666666669,0,25.600000000000001,12.800000000000001,0,0.20000000000000001,0.10000000000000001,0.33978271316592262,0.26229797086588413,0.36894302446763749,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.3397827131659226}, {""flow_mm_s"": 3.0, ""rho"": 0.27152789651627235}, {""flow_mm_s"": 5.0, ""rho"": 0.3689430244676375}, {""flow_mm_s"": 7.0, ""rho"": 0.34504311443453484}, {""flow_mm_s"": 10.0, ""rho"": 0.26229797086588413}]",0.32313276892045278,0.24443999187329457,0.34577404899086828,5,5,5
128,normalized,6,detrended_51,mean,3,2,0.33333333333333331,0.5,0.41666666666666669,25.600000000000001,51.200000000000003,38.400000000000006,0.20000000000000001,0.40000000000000002,0.30000000000000004,0.26541268106175625,0.24331594775154342,0.38537544350688246,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.38537544350688246}, {""flow_mm_s"": 3.0, ""rho"": 0.26541268106175625}, {""flow_mm_s"": 5.0, ""rho"": 0.24331594775154342}, {""flow_mm_s"": 7.0, ""rho"": 0.2511658119479011}, {""flow_mm_s"": 10.0, ""rho"": 0.297174680451528}]",0.25336170203055269,0.23086967405411785,0.40548286941488093,5,5,5
128,normalized,6,detrended_51,mean,3,3,0.33333333333333331,0.5,0.41666666666666669,51.200000000000003,76.800000000000011,64,0.40000000000000002,0.60000000000000009,0.5,0.20718403624835136,0.17841813107757654,0.25073919207213846,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.20718403624835136}, {""flow_mm_s"": 3.0, ""rho"": 0.17841813107757654}, {""flow_mm_s"": 5.0, ""rho"": 0.25073919207213846}, {""flow_mm_s"": 7.0, ""rho"": 0.22397297274048308}, {""flow_mm_s"": 10.0, ""rho"": 0.17991688837422604}]",0.21369201885124628,0.17215812347031278,0.26920869956133114,5,5,5
128,normalized,6,detrended_51,mean,3,4,0.33333333333333331,0.5,0.41666666666666669,76.800000000000011,102.40000000000001,89.600000000000009,0.60000000000000009,0.80000000000000004,0.70000000000000007,0.23034635125101527,0.13529100284400372,0.24546700023432655,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.24546700023432655}, {""flow_mm_s"": 3.0, ""rho"": 0.21903363083502966}, {""flow_mm_s"": 5.0, ""rho"": 0.23034635125101527}, {""flow_mm_s"": 7.0, ""rho"": 0.2399639425304757}, {""flow_mm_s"": 10.0, ""rho"": 0.13529100284400372}]",0.23171859336458608,0.14136383027202554,0.24956842600486667,5,4,4
128,normalized,6,detrended_51,mean,3,5,0.33333333333333331,0.5,0.41666666666666669,102.40000000000001,128,115.2,0.80000000000000004,1,0.90000000000000002,0.20269394261102866,0.13650377877690673,0.2673357633237039,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.2673357633237039}, {""flow_mm_s"": 3.0, ""rho"": 0.20269394261102866}, {""flow_mm_s"": 5.0, ""rho"": 0.23291769306991272}, {""flow_mm_s"": 7.0, ""rho"": 0.19686750417206705}, {""flow_mm_s"": 10.0, ""rho"": 0.13650377877690673}]",0.21489110845982373,0.15231793913115721,0.26392295509810804,5,5,5
128,normalized,6,detrended_51,mean,4,1,0.5,0.66666666666666663,0.58333333333333337,0,25.600000000000001,12.800000000000001,0,0.20000000000000001,0.10000000000000001,0.2586287806381673,0.20213687887289228,0.31599371097695861,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.24377055733463762}, {""flow_mm_s"": 3.0, ""rho"": 0.2586287806381673}, {""flow_mm_s"": 5.0, ""rho"": 0.3159937109769586}, {""flow_mm_s"": 7.0, ""rho"": 0.3153070986176736}, {""flow_mm_s"": 10.0, ""rho"": 0.20213687887289228}]",0.27296565119310473,0.22277136797693961,0.32720383582548196,5,5,5
128,normalized,6,detrended_51,mean,4,2,0.5,0.66666666666666663,0.58333333333333337,25.600000000000001,51.200000000000003,38.400000000000006,0.20000000000000001,0.40000000000000002,0.30000000000000004,0.22691570937508762,0.13946339340788452,0.26475848785012868,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.22691570937508762}, {""flow_mm_s"": 3.0, ""rho"": 0.24529279777202437}, {""flow_mm_s"": 5.0, ""rho"": 0.16620647830157503}, {""flow_mm_s"": 7.0, ""rho"": 0.13946339340788452}, {""flow_mm_s"": 10.0, ""rho"": 0.2647584878501287}]",0.22691282568575957,0.14044224375815528,0.28909143610872085,5,5,5
128,normalized,6,detrended_51,mean,4,3,0.5,0.66666666666666663,0.58333333333333337,51.200000000000003,76.800000000000011,64,0.40000000000000002,0.60000000000000009,0.5,0.16709230072806025,0.12534132191679831,0.21926233241280577,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.21926233241280577}, {""flow_mm_s"": 3.0, ""rho"": 0.16118781795322737}, {""flow_mm_s"": 5.0, ""rho"": 0.16800131384801004}, {""flow_mm_s"": 7.0, ""rho"": 0.1253413219167983}, {""flow_mm_s"": 10.0, ""rho"": 0.16709230072806025}]",0.17262815045737112,0.11221766649868696,0.21451804781029196,5,4,4
