diameter_um,source_bin,tail_bin,number_positive,positive_5_of_5,positive_at_least_4_of_5,number_positive_specificity,number_peak_within_pm2,number_peak_within_pm5
128,1,1,5,True,True,5,2,2
128,1,2,5,True,True,5,0,0
128,1,3,3,False,False,4,0,0
128,1,4,3,False,False,3,1,1
128,1,5,5,True,True,5,3,3
128,2,1,5,True,True,5,5,5
128,2,2,5,True,True,5,5,5
128,2,3,5,True,True,5,4,4
128,2,4,5,True,True,5,5,5
128,2,5,5,True,True,5,4,4
128,3,1,5,True,True,5,5,5
128,3,2,5,True,True,5,5,5
128,3,3,5,True,True,5,5,5
128,3,4,5,True,True,5,4,4
128,3,5,5,True,True,5,5,5
128,4,1,5,True,True,5,5,5
128,4,2,5,True,True,5,5,5
128,4,3,5,True,True,5,4,4
128,4,4,5,True,True,5,4,4
128,4,5,5,True,True,5,5,5
128,5,1,5,True,True,5,5,5
128,5,2,5,True,True,5,4,4
128,5,3,5,True,True,5,4,4
128,5,4,5,True,True,5,3,3
128,5,5,5,True,True,5,3,3
128,6,1,5,True,True,5,5,5
128,6,2,5,True,True,5,4,4
128,6,3,5,True,True,5,1,2
128,6,4,5,True,True,5,2,4
128,6,5,5,True,True,5,1,1
235,1,1,2,False,False,2,0,0
235,1,2,1,False,False,1,0,0
235,1,3,2,False,False,1,0,0
235,1,4,0,False,False,0,0,0
235,1,5,0,False,False,0,0,0
235,2,1,5,True,True,5,3,3
235,2,2,5,True,True,5,3,3
235,2,3,5,True,True,5,3,3
235,2,4,5,True,True,5,2,2
235,2,5,2,False,False,2,1,2
235,3,1,5,True,True,5,5,5
235,3,2,5,True,True,5,4,4
235,3,3,5,True,True,5,2,2
235,3,4,5,True,True,5,2,2
235,3,5,5,True,True,4,2,4
235,4,1,5,True,True,5,2,3
235,4,2,5,True,True,5,4,5
235,4,3,5,True,True,5,1,1
235,4,4,5,True,True,5,4,4
235,4,5,4,False,True,5,4,4
235,5,1,5,True,True,5,4,4
235,5,2,5,True,True,5,3,4
235,5,3,5,True,True,5,4,5
235,5,4,5,True,True,5,4,4
235,5,5,5,True,True,4,3,3
235,6,1,5,True,True,5,2,2
235,6,2,5,True,True,5,1,2
235,6,3,5,True,True,5,2,3
235,6,4,4,False,True,4,4,4
235,6,5,3,False,False,4,2,3
285,1,1,1,False,False,2,0,0
285,1,2,0,False,False,0,1,1
285,1,3,2,False,False,2,0,0
285,1,4,1,False,False,2,0,0
285,1,5,2,False,False,1,0,0
285,2,1,5,True,True,5,5,5
285,2,2,5,True,True,5,3,3
285,2,3,4,False,True,3,2,3
285,2,4,5,True,True,5,2,3
285,2,5,3,False,False,3,1,3
285,3,1,5,True,True,5,5,5
285,3,2,5,True,True,5,5,5
285,3,3,5,True,True,5,3,4
285,3,4,5,True,True,5,2,3
285,3,5,4,False,True,4,4,4
285,4,1,5,True,True,5,4,5
285,4,2,5,True,True,5,4,5
285,4,3,5,True,True,4,1,2
285,4,4,5,True,True,4,1,2
285,4,5,3,False,False,3,0,0
285,5,1,5,True,True,5,3,3
285,5,2,5,True,True,5,2,2
285,5,3,5,True,True,5,1,1
285,5,4,5,True,True,5,4,4
285,5,5,5,True,True,5,3,3
285,6,1,5,True,True,5,3,3
285,6,2,5,True,True,5,3,3
285,6,3,5,True,True,5,1,2
285,6,4,4,False,True,3,2,3
285,6,5,4,False,True,4,1,2
500,1,1,2,False,False,3,0,0
500,1,2,2,False,False,2,1,1
500,1,3,1,False,False,1,0,0
500,1,4,2,False,False,3,0,0
500,1,5,1,False,False,2,0,0
500,2,1,5,True,True,5,5,5
500,2,2,5,True,True,5,4,4
500,2,3,2,False,False,2,1,1
500,2,4,1,False,False,2,0,2
500,2,5,1,False,False,1,1,2
500,3,1,5,True,True,4,0,0
500,3,2,3,False,False,3,1,2
500,3,3,3,False,False,3,0,0
500,3,4,3,False,False,3,1,1
500,3,5,2,False,False,1,1,1
500,4,1,4,False,True,4,0,0
500,4,2,2,False,False,2,0,0
500,4,3,4,False,True,4,1,1
500,4,4,1,False,False,1,0,1
500,4,5,3,False,False,3,0,1
500,5,1,5,True,True,5,1,1
500,5,2,5,True,True,5,1,2
500,5,3,5,True,True,5,0,0
500,5,4,5,True,True,5,1,1
500,5,5,4,False,True,4,1,1
500,6,1,4,False,True,4,1,3
500,6,2,4,False,True,4,2,4
500,6,3,5,True,True,5,2,3
500,6,4,5,True,True,5,0,0
500,6,5,2,False,False,2,0,1
