diameter_um,coordinate,flow_a,flow_b,map_spearman,n_cells
128,absolute,1,3,0.57399124939231894,120
128,absolute,1,5,0.76508785332314755,120
128,absolute,1,7,0.68660323633585674,120
128,absolute,1,10,0.74821862629349278,120
128,absolute,3,5,0.63881519549968768,120
128,absolute,3,7,0.5627474130147927,120
128,absolute,3,10,0.53226612959233277,120
128,absolute,5,7,0.66219181887631118,120
128,absolute,5,10,0.65270504896173354,120
128,absolute,7,10,0.64010000694492675,120
128,normalized,1,3,0.67341490545050064,30
128,normalized,1,5,0.72413793103448298,30
128,normalized,1,7,0.6707452725250278,30
128,normalized,1,10,0.73392658509454978,30
128,normalized,3,5,0.80734149054505011,30
128,normalized,3,7,0.63337041156840956,30
128,normalized,3,10,0.68943270300333703,30
128,normalized,5,7,0.73125695216907682,30
128,normalized,5,10,0.73793103448275887,30
128,normalized,7,10,0.61468298109010011,30
235,absolute,1,3,0.56283075213556522,120
235,absolute,1,5,0.60295853878741579,120
235,absolute,1,7,0.63708590874366289,120
235,absolute,1,10,0.70549343704423906,120
235,absolute,3,5,0.53314119036044172,120
235,absolute,3,7,0.59826376831724437,120
235,absolute,3,10,0.56462948815889991,120
235,absolute,5,7,0.60234044030835476,120
235,absolute,5,10,0.58978401277866521,120
235,absolute,7,10,0.69373567608861741,120
235,normalized,1,3,0.63248053392658521,30
235,normalized,1,5,0.66095661846496112,30
235,normalized,1,7,0.66095661846496123,30
235,normalized,1,10,0.73971078976640725,30
235,normalized,3,5,0.76195773081201346,30
235,normalized,3,7,0.68587319243604017,30
235,normalized,3,10,0.8411568409343716,30
235,normalized,5,7,0.72903225806451633,30
235,normalized,5,10,0.85939933259176893,30
235,normalized,7,10,0.8269187986651837,30
285,absolute,1,3,0.45608028335301076,120
285,absolute,1,5,0.49959719424960064,120
285,absolute,1,7,0.37949163136328917,120
285,absolute,1,10,0.43484269740954234,120
285,absolute,3,5,0.31894576012223075,120
285,absolute,3,7,0.4254878811028544,120
285,absolute,3,10,0.35867768595041322,120
285,absolute,5,7,0.52821723730814629,120
285,absolute,5,10,0.49452739773595406,120
285,absolute,7,10,0.46936592818945766,120
285,normalized,1,3,0.71879866518353741,30
285,normalized,1,5,0.74104560622914362,30
285,normalized,1,7,0.71968854282536165,30
285,normalized,1,10,0.66362625139043385,30
285,normalized,3,5,0.5216907675194663,30
285,normalized,3,7,0.58086763070077885,30
285,normalized,3,10,0.55995550611790867,30
285,normalized,5,7,0.76907675194660752,30
285,normalized,5,10,0.79354838709677433,30
285,normalized,7,10,0.66985539488320367,30
500,absolute,1,3,0.24110007639419404,120
500,absolute,1,5,0.2547815820543094,120
500,absolute,1,7,0.061927911660532013,120
500,absolute,1,10,0.14962844641989029,120
500,absolute,3,5,0.29938190152093891,120
500,absolute,3,7,0.047135217723453027,120
500,absolute,3,10,0.039586082366831025,120
500,absolute,5,7,0.23270365997638726,120
500,absolute,5,10,0.2025835127439406,120
500,absolute,7,10,0.18779776373359261,120
500,normalized,1,3,0.25116796440489442,30
500,normalized,1,5,0.62046718576195781,30
500,normalized,1,7,0.4874304783092327,30
500,normalized,1,10,0.5599555061179089,30
500,normalized,3,5,0.47319243604004457,30
500,normalized,3,7,0.017575083426028933,30
500,normalized,3,10,0.046051167964404893,30
500,normalized,5,7,0.32502780867630715,30
500,normalized,5,10,0.46874304783092346,30
500,normalized,7,10,0.38642936596218036,30
