diameter_um,coordinate,source_bins,mode,metric,control,rho_map_median,rho_map_min,rho_map_max,n_cells,n_positive_cells,n_negative_cells,u_peak,source_bin_peak,tail_bin_peak,tail_depth_peak_um,eta_peak,rho_peak_cell,specificity_at_peak,lag_at_peak_cell,peak_cell_lag_within_pm2,peak_cell_lag_within_pm5,high_positive_cells_available,high_target_count,high_actual_count,u_high_region_median,u_high_region_min,u_high_region_max,u_high_region_lo,u_high_region_hi,tail_high_region_median_um,tail_high_region_min_um,tail_high_region_max_um,tail_high_region_lo_um,tail_high_region_hi_um,eta_high_region_median,eta_high_region_lo,eta_high_region_hi,high_region_median_rho,high_region_median_specificity,high_region_peak_pm2_count,high_region_peak_pm5_count,high_region_positive_specificity_count
128,absolute,6,detrended_51,mean,area_ztop,0.067990039116620465,-0.031515689182168335,0.27892304814065588,120,117,3,0.41666666666666669,3,1,12.5,0.09765625,0.27892304814065588,,,,,117,12,12,0.33333333333333337,0.25,0.91666666666666663,0.16666666666666666,1,50,12.5,137.5,0,150,0.390625,0,1.171875,0.19111042475780682,,,,
128,absolute,6,detrended_51,mean,x1_ztop,0.068471163348550634,-0.029649555834607062,0.28226540775904452,120,117,3,0.41666666666666669,3,1,12.5,0.09765625,0.28226540775904452,,,,,117,12,12,0.33333333333333337,0.25,0.91666666666666663,0.16666666666666666,1,50,12.5,137.5,0,150,0.390625,0,1.171875,0.19258234567685764,,,,
128,normalized,6,detrended_51,mean,area_ztop,0.12852877019756495,0.030193996932413751,0.27835052078507366,30,30,0,0.41666666666666669,3,1,12.800000000000001,0.10000000000000001,0.27835052078507366,,,,,30,3,3,0.41666666666666669,0.25,0.41666666666666669,0.16666666666666666,0.5,12.800000000000001,12.800000000000001,38.400000000000006,0,51.200000000000003,0.10000000000000001,0,0.40000000000000002,0.23890250364818391,,,,
128,normalized,6,detrended_51,mean,x1_ztop,0.12822662326585166,0.028633239189884373,0.28168407885726787,30,30,0,0.41666666666666669,3,1,12.800000000000001,0.10000000000000001,0.28168407885726787,,,,,30,3,3,0.41666666666666669,0.25,0.41666666666666669,0.16666666666666666,0.5,12.800000000000001,12.800000000000001,38.400000000000006,0,51.200000000000003,0.10000000000000001,0,0.40000000000000002,0.24118241601335697,,,,
235,absolute,6,detrended_51,mean,area_ztop,0.033363376184032539,-0.042996041943251712,0.18368576771431813,120,98,22,0.75,5,1,12.5,0.053191489361702128,0.18368576771431813,,,,,98,10,10,0.5,0.25,0.75,0.16666666666666666,0.83333333333333337,50,12.5,137.5,0,150,0.21276595744680851,0,0.63829787234042556,0.14013118392860913,,,,
235,absolute,6,detrended_51,mean,x1_ztop,0.03352880417717622,-0.042751342427349043,0.1845055170506853,120,97,23,0.58333333333333337,4,1,12.5,0.053191489361702128,0.1845055170506853,,,,,97,10,10,0.5,0.25,0.75,0.16666666666666666,0.83333333333333337,50,12.5,137.5,0,150,0.21276595744680851,0,0.63829787234042556,0.14083381368318826,,,,
235,normalized,6,detrended_51,mean,area_ztop,0.10685664996140748,-0.0019870022828857026,0.17397969100067784,30,29,1,0.58333333333333337,4,1,23.5,0.10000000000000001,0.17397969100067784,,,,,29,3,3,0.41666666666666669,0.41666666666666669,0.58333333333333337,0.33333333333333331,0.66666666666666663,23.5,23.5,70.5,0,94,0.10000000000000001,0,0.40000000000000002,0.16892340625454541,,,,
235,normalized,6,detrended_51,mean,x1_ztop,0.10422191103365469,-0.0018060235522335231,0.1760993151197397,30,29,1,0.58333333333333337,4,1,23.5,0.10000000000000001,0.1760993151197397,,,,,29,3,3,0.41666666666666669,0.41666666666666669,0.58333333333333337,0.33333333333333331,0.66666666666666663,23.5,23.5,70.5,0,94,0.10000000000000001,0,0.40000000000000002,0.17127791646948085,,,,
285,absolute,6,detrended_51,mean,area_ztop,0.044171043113651089,-0.063046137628100116,0.19805210477053542,120,101,19,0.58333333333333337,4,1,12.5,0.043859649122807015,0.19805210477053542,,,,,101,11,11,0.58333333333333337,0.25,0.91666666666666663,0.16666666666666666,1,37.5,12.5,112.5,0,125,0.13157894736842105,0,0.43859649122807015,0.13042269017758223,,,,
285,absolute,6,detrended_51,mean,x1_ztop,0.045441178652413705,-0.062787971234959244,0.19707078307520315,120,101,19,0.58333333333333337,4,1,12.5,0.043859649122807015,0.19707078307520315,,,,,101,11,11,0.58333333333333337,0.25,0.91666666666666663,0.16666666666666666,1,37.5,12.5,112.5,0,125,0.13157894736842105,0,0.43859649122807015,0.1296242534724239,,,,
285,normalized,6,detrended_51,mean,area_ztop,0.092962930745933287,-0.070200030374858932,0.25928498951838391,30,28,2,0.41666666666666669,3,1,28.5,0.10000000000000001,0.25928498951838391,,,,,28,3,3,0.58333333333333337,0.41666666666666669,0.58333333333333337,0.33333333333333331,0.66666666666666663,28.5,28.5,85.5,0,114,0.10000000000000001,0,0.40000000000000002,0.22409731872917935,,,,
285,normalized,6,detrended_51,mean,x1_ztop,0.093171510253314771,-0.072632053413280023,0.2605737672144019,30,28,2,0.41666666666666669,3,1,28.5,0.10000000000000001,0.2605737672144019,,,,,28,3,3,0.58333333333333337,0.41666666666666669,0.58333333333333337,0.33333333333333331,0.66666666666666663,28.5,28.5,85.5,0,114,0.10000000000000001,0,0.40000000000000002,0.22430344573391625,,,,
500,absolute,6,detrended_51,mean,area_ztop,0.021140708776800174,-0.053595592611901957,0.12902810762303416,120,90,30,0.25,2,1,12.5,0.025000000000000001,0.12902810762303416,,,,,90,9,9,0.25,0.083333333333333329,0.75,0,0.83333333333333337,87.5,12.5,362.5,0,375,0.17499999999999999,0,0.75,0.089384623681538655,,,,
500,absolute,6,detrended_51,mean,x1_ztop,0.021357332910036671,-0.055282782771240116,0.12857354651790279,120,90,30,0.25,2,1,12.5,0.025000000000000001,0.12857354651790279,,,,,90,9,9,0.25,0.083333333333333329,0.75,0,0.83333333333333337,62.5,12.5,362.5,0,375,0.125,0,0.75,0.087707535035063663,,,,
500,normalized,6,detrended_51,mean,area_ztop,0.036895775741221833,-0.046432374565908437,0.16302085422413096,30,25,5,0.25,2,1,50,0.10000000000000001,0.16302085422413096,,,,,25,3,3,0.25,0.25,0.75,0.16666666666666666,0.83333333333333337,50,50,150,0,200,0.10000000000000001,0,0.40000000000000002,0.09497528707739572,,,,
500,normalized,6,detrended_51,mean,x1_ztop,0.036815951266691085,-0.04633106303767117,0.1612779304593952,30,25,5,0.25,2,1,50,0.10000000000000001,0.1612779304593952,,,,,25,3,3,0.25,0.25,0.75,0.16666666666666666,0.83333333333333337,50,50,150,0,200,0.10000000000000001,0,0.40000000000000002,0.096111140963160036,,,,
