scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,source_bins,mode,metric,control,map_similarity_to_uncontrolled,high_region_jaccard,rho_map_median,rho_map_min,rho_map_max,n_cells,n_positive_cells,n_negative_cells,u_peak,source_bin_peak,tail_bin_peak,tail_depth_peak_um,eta_peak,rho_peak_cell,specificity_at_peak,lag_at_peak_cell,peak_cell_lag_within_pm2,peak_cell_lag_within_pm5,high_positive_cells_available,high_target_count,high_actual_count,u_high_region_median,u_high_region_min,u_high_region_max,u_high_region_lo,u_high_region_hi,tail_high_region_median_um,tail_high_region_min_um,tail_high_region_max_um,tail_high_region_lo_um,tail_high_region_hi_um,eta_high_region_median,eta_high_region_lo,eta_high_region_hi,high_region_median_rho,high_region_median_specificity,high_region_peak_pm2_count,high_region_peak_pm5_count,high_region_positive_specificity_count
D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,area_ztop,0.91802902979373591,0.69230769230769229,0.077555812786636605,-0.062218326052577391,0.33862992059317293,120,109,11,0.41666666666666669,3,2,37.5,0.29296875,0.33862992059317293,,,,,109,11,11,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,37.5,12.5,262.5,0,275,0.29296875,0,2.1484375,0.22610910469487683,,,,
D128_F01_V01,128,1,common_grid,normalized,6,detrended_51,mean,area_ztop,0.92391546162402682,1,0.14150140519559723,-0.0016916189066953878,0.32562612587275752,30,29,1,0.41666666666666669,3,2,38.400000000000006,0.30000000000000004,0.32562612587275752,,,,,29,3,3,0.41666666666666669,0.25,0.41666666666666669,0.16666666666666666,0.5,38.400000000000006,12.800000000000001,38.400000000000006,0,51.200000000000003,0.30000000000000004,0,0.40000000000000002,0.27835052078507366,,,,
D128_F03_V01,128,3,common_grid,absolute,6,detrended_51,mean,area_ztop,0.95070491006319902,0.83333333333333337,0.059655086853179828,-0.073213990072635043,0.23269326132754148,120,103,17,0.41666666666666669,3,1,12.5,0.09765625,0.23269326132754148,,,,,103,11,11,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,37.5,12.5,137.5,0,150,0.29296875,0,1.171875,0.18975362922565711,,,,
D128_F03_V01,128,3,common_grid,normalized,6,detrended_51,mean,area_ztop,0.88431590656284775,1,0.12780594852178762,-0.0021790667773877205,0.23208542249509581,30,29,1,0.41666666666666669,3,1,12.800000000000001,0.10000000000000001,0.23208542249509581,,,,,29,3,3,0.41666666666666669,0.41666666666666669,0.58333333333333337,0.33333333333333331,0.66666666666666663,12.800000000000001,12.800000000000001,38.400000000000006,0,51.200000000000003,0.10000000000000001,0,0.40000000000000002,0.2262782483066664,,,,
D128_F05_V01,128,5,common_grid,absolute,6,detrended_51,mean,area_ztop,0.93095353844016959,0.76923076923076927,0.069305053132814431,-0.028125866602289593,0.31187990441320163,120,116,4,0.41666666666666669,3,1,12.5,0.09765625,0.31187990441320163,,,,,116,12,12,0.33333333333333337,0.25,0.91666666666666663,0.16666666666666666,1,50,12.5,212.5,0,225,0.390625,0,1.7578125,0.22346555347087488,,,,
D128_F05_V01,128,5,common_grid,normalized,6,detrended_51,mean,area_ztop,0.94438264738598443,0.5,0.1315819767073767,0.0071290499148380058,0.31054579346029298,30,30,0,0.41666666666666669,3,1,12.800000000000001,0.10000000000000001,0.31054579346029298,,,,,30,3,3,0.58333333333333337,0.41666666666666669,0.91666666666666663,0.33333333333333331,1,12.800000000000001,12.800000000000001,12.800000000000001,0,25.600000000000001,0.10000000000000001,0,0.20000000000000001,0.25615110033066046,,,,
D128_F07_V01,128,7,common_grid,absolute,6,detrended_51,mean,area_ztop,0.90896590040975078,0.59999999999999998,0.088712970689181478,-0.0078332137675555056,0.29691783207323758,120,119,1,0.41666666666666669,3,1,12.5,0.09765625,0.29691783207323758,,,,,119,12,12,0.41666666666666669,0.083333333333333329,0.91666666666666663,0,1,87.5,12.5,237.5,0,250,0.68359375,0,1.953125,0.19501448404150618,,,,
D128_F07_V01,128,7,common_grid,normalized,6,detrended_51,mean,area_ztop,0.83893214682981121,1,0.14214593377561707,0.02381395963255805,0.29540065420831718,30,30,0,0.41666666666666669,3,1,12.800000000000001,0.10000000000000001,0.29540065420831718,,,,,30,3,3,0.41666666666666669,0.25,0.58333333333333337,0.16666666666666666,0.66666666666666663,12.800000000000001,12.800000000000001,12.800000000000001,0,25.600000000000001,0.10000000000000001,0,0.20000000000000001,0.28715694812428172,,,,
D128_F10_V01,128,10,common_grid,absolute,6,detrended_51,mean,area_ztop,0.95067713035627477,0.83333333333333337,0.077236296761445264,-0.081946600881689327,0.25748443772030899,120,105,15,0.25,2,1,12.5,0.09765625,0.25748443772030899,,,,,105,11,11,0.41666666666666669,0.083333333333333329,0.91666666666666663,0,1,37.5,12.5,187.5,0,200,0.29296875,0,1.5625,0.20609883278450611,,,,
D128_F10_V01,128,10,common_grid,normalized,6,detrended_51,mean,area_ztop,0.91546162402669662,1,0.12919322005489192,0.029883023833304382,0.25795294045929074,30,30,0,0.25,2,1,12.800000000000001,0.10000000000000001,0.25795294045929074,,,,,30,3,3,0.41666666666666669,0.25,0.58333333333333337,0.16666666666666666,0.66666666666666663,38.400000000000006,12.800000000000001,38.400000000000006,0,51.200000000000003,0.30000000000000004,0,0.40000000000000002,0.25015458422712616,,,,
