source_bin,tail_bin,u_lo,u_hi,u_mid,tail_lo_um,tail_hi_um,tail_mid_um,eta_lo,eta_hi,eta_mid,scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,source_bins,mode,metric,control,rho,n_pairs,control_design_rank
1,1,0,0.16666666666666666,0.083333333333333329,0,25,12.5,0,0.1953125,0.09765625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.153221180245244,486,3
1,2,0,0.16666666666666666,0.083333333333333329,25,50,37.5,0.1953125,0.390625,0.29296875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.14032787753627363,486,3
1,3,0,0.16666666666666666,0.083333333333333329,50,75,62.5,0.390625,0.5859375,0.48828125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.028523868066371104,486,3
1,4,0,0.16666666666666666,0.083333333333333329,75,100,87.5,0.5859375,0.78125,0.68359375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.00013147349111473222,486,3
1,5,0,0.16666666666666666,0.083333333333333329,100,125,112.5,0.78125,0.9765625,0.87890625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.062050069859268697,486,3
1,6,0,0.16666666666666666,0.083333333333333329,125,150,137.5,0.9765625,1.171875,1.07421875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.075488081172910212,486,3
1,7,0,0.16666666666666666,0.083333333333333329,150,175,162.5,1.171875,1.3671875,1.26953125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.094917712186719225,486,3
1,8,0,0.16666666666666666,0.083333333333333329,175,200,187.5,1.3671875,1.5625,1.46484375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.14185548268217543,486,3
1,9,0,0.16666666666666666,0.083333333333333329,200,225,212.5,1.5625,1.7578125,1.66015625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.058724964541530256,486,3
1,10,0,0.16666666666666666,0.083333333333333329,225,250,237.5,1.7578125,1.953125,1.85546875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.089110027514451462,486,3
1,11,0,0.16666666666666666,0.083333333333333329,250,275,262.5,1.953125,2.1484375,2.05078125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.018221430052316245,486,3
1,12,0,0.16666666666666666,0.083333333333333329,275,300,287.5,2.1484375,2.34375,2.24609375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.075740532555099715,486,3
1,13,0,0.16666666666666666,0.083333333333333329,300,325,312.5,2.34375,2.5390625,2.44140625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.023969737506953383,486,3
1,14,0,0.16666666666666666,0.083333333333333329,325,350,337.5,2.5390625,2.734375,2.63671875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.038203798485197185,486,3
1,15,0,0.16666666666666666,0.083333333333333329,350,375,362.5,2.734375,2.9296875,2.83203125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.048741506337275614,486,3
1,16,0,0.16666666666666666,0.083333333333333329,375,400,387.5,2.9296875,3.125,3.02734375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.027995578557591425,486,3
1,17,0,0.16666666666666666,0.083333333333333329,400,425,412.5,3.125,3.3203125,3.22265625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.029519787872683226,486,3
1,18,0,0.16666666666666666,0.083333333333333329,425,450,437.5,3.3203125,3.515625,3.41796875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.010645175338882894,486,3
1,19,0,0.16666666666666666,0.083333333333333329,450,475,462.5,3.515625,3.7109375,3.61328125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,-0.029649555834607062,486,3
1,20,0,0.16666666666666666,0.083333333333333329,475,500,487.5,3.7109375,3.90625,3.80859375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.067567476486362674,486,3
2,1,0.16666666666666666,0.33333333333333331,0.25,0,25,12.5,0,0.1953125,0.09765625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.24429777167970135,486,3
2,2,0.16666666666666666,0.33333333333333331,0.25,25,50,37.5,0.1953125,0.390625,0.29296875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.2697798243362371,486,3
2,3,0.16666666666666666,0.33333333333333331,0.25,50,75,62.5,0.390625,0.5859375,0.48828125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.090615300158775475,486,3
2,4,0.16666666666666666,0.33333333333333331,0.25,75,100,87.5,0.5859375,0.78125,0.68359375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.12671157024496571,486,3
2,5,0.16666666666666666,0.33333333333333331,0.25,100,125,112.5,0.78125,0.9765625,0.87890625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.13346398684141408,486,3
2,6,0.16666666666666666,0.33333333333333331,0.25,125,150,137.5,0.9765625,1.171875,1.07421875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.094987415885029722,486,3
2,7,0.16666666666666666,0.33333333333333331,0.25,150,175,162.5,1.171875,1.3671875,1.26953125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.10837975258686894,486,3
2,8,0.16666666666666666,0.33333333333333331,0.25,175,200,187.5,1.3671875,1.5625,1.46484375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.12209161013821102,486,3
2,9,0.16666666666666666,0.33333333333333331,0.25,200,225,212.5,1.5625,1.7578125,1.66015625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.1097188958282771,486,3
2,10,0.16666666666666666,0.33333333333333331,0.25,225,250,237.5,1.7578125,1.953125,1.85546875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.073416587100279623,486,3
2,11,0.16666666666666666,0.33333333333333331,0.25,250,275,262.5,1.953125,2.1484375,2.05078125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.17414817850930092,486,3
2,12,0.16666666666666666,0.33333333333333331,0.25,275,300,287.5,2.1484375,2.34375,2.24609375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.13330201203813546,486,3
2,13,0.16666666666666666,0.33333333333333331,0.25,300,325,312.5,2.34375,2.5390625,2.44140625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.020569482947001616,486,3
2,14,0.16666666666666666,0.33333333333333331,0.25,325,350,337.5,2.5390625,2.734375,2.63671875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.014394528577784827,486,3
2,15,0.16666666666666666,0.33333333333333331,0.25,350,375,362.5,2.734375,2.9296875,2.83203125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,-0.0049784172655381875,486,3
2,16,0.16666666666666666,0.33333333333333331,0.25,375,400,387.5,2.9296875,3.125,3.02734375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.065498931935099425,486,3
2,17,0.16666666666666666,0.33333333333333331,0.25,400,425,412.5,3.125,3.3203125,3.22265625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.055663107284127905,486,3
2,18,0.16666666666666666,0.33333333333333331,0.25,425,450,437.5,3.3203125,3.515625,3.41796875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.12468126760424555,486,3
2,19,0.16666666666666666,0.33333333333333331,0.25,450,475,462.5,3.515625,3.7109375,3.61328125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.005647489207709494,486,3
2,20,0.16666666666666666,0.33333333333333331,0.25,475,500,487.5,3.7109375,3.90625,3.80859375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,-0.024130565603861509,486,3
3,1,0.33333333333333331,0.5,0.41666666666666669,0,25,12.5,0,0.1953125,0.09765625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.28226540775904452,486,3
3,2,0.33333333333333331,0.5,0.41666666666666669,25,50,37.5,0.1953125,0.390625,0.29296875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.3397590687145508,486,3
3,3,0.33333333333333331,0.5,0.41666666666666669,50,75,62.5,0.390625,0.5859375,0.48828125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.11138444320942052,486,3
3,4,0.33333333333333331,0.5,0.41666666666666669,75,100,87.5,0.5859375,0.78125,0.68359375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.16855511867590933,486,3
3,5,0.33333333333333331,0.5,0.41666666666666669,100,125,112.5,0.78125,0.9765625,0.87890625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.22844328008153919,486,3
3,6,0.33333333333333331,0.5,0.41666666666666669,125,150,137.5,0.9765625,1.171875,1.07421875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.17138768471331961,486,3
3,7,0.33333333333333331,0.5,0.41666666666666669,150,175,162.5,1.171875,1.3671875,1.26953125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.17393771309998998,486,3
3,8,0.33333333333333331,0.5,0.41666666666666669,175,200,187.5,1.3671875,1.5625,1.46484375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.097783689251886824,486,3
3,9,0.33333333333333331,0.5,0.41666666666666669,200,225,212.5,1.5625,1.7578125,1.66015625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.11724572253520379,486,3
3,10,0.33333333333333331,0.5,0.41666666666666669,225,250,237.5,1.7578125,1.953125,1.85546875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.10717895739129021,486,3
3,11,0.33333333333333331,0.5,0.41666666666666669,250,275,262.5,1.953125,2.1484375,2.05078125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.1826106497720667,486,3
3,12,0.33333333333333331,0.5,0.41666666666666669,275,300,287.5,2.1484375,2.34375,2.24609375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.16463416711022635,486,3
3,13,0.33333333333333331,0.5,0.41666666666666669,300,325,312.5,2.34375,2.5390625,2.44140625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.0068290750019720627,486,3
3,14,0.33333333333333331,0.5,0.41666666666666669,325,350,337.5,2.5390625,2.734375,2.63671875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.098217311335127344,486,3
3,15,0.33333333333333331,0.5,0.41666666666666669,350,375,362.5,2.734375,2.9296875,2.83203125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.060628991366023378,486,3
3,16,0.33333333333333331,0.5,0.41666666666666669,375,400,387.5,2.9296875,3.125,3.02734375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.069326734768440784,486,3
3,17,0.33333333333333331,0.5,0.41666666666666669,400,425,412.5,3.125,3.3203125,3.22265625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.059004240256652643,486,3
3,18,0.33333333333333331,0.5,0.41666666666666669,425,450,437.5,3.3203125,3.515625,3.41796875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.053874946463437302,486,3
3,19,0.33333333333333331,0.5,0.41666666666666669,450,475,462.5,3.515625,3.7109375,3.61328125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.035702422575643974,486,3
3,20,0.33333333333333331,0.5,0.41666666666666669,475,500,487.5,3.7109375,3.90625,3.80859375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,-0.062546728893210821,486,3
4,1,0.5,0.66666666666666663,0.58333333333333337,0,25,12.5,0,0.1953125,0.09765625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.18013193248614578,486,3
4,2,0.5,0.66666666666666663,0.58333333333333337,25,50,37.5,0.1953125,0.390625,0.29296875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.16591696589681984,486,3
4,3,0.5,0.66666666666666663,0.58333333333333337,50,75,62.5,0.390625,0.5859375,0.48828125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,x1_ztop,0.14600520112940985,486,3
