diameter_um,coordinate,source_bins,mode,metric,rho_map_median,rho_map_min,rho_map_max,n_cells,n_positive_cells,n_negative_cells,u_peak,source_bin_peak,tail_bin_peak,tail_depth_peak_um,eta_peak,rho_peak_cell,specificity_at_peak,lag_at_peak_cell,peak_cell_lag_within_pm2,peak_cell_lag_within_pm5,high_positive_cells_available,high_target_count,high_actual_count,u_high_region_median,u_high_region_min,u_high_region_max,u_high_region_lo,u_high_region_hi,tail_high_region_median_um,tail_high_region_min_um,tail_high_region_max_um,tail_high_region_lo_um,tail_high_region_hi_um,eta_high_region_median,eta_high_region_lo,eta_high_region_hi,high_region_median_rho,high_region_median_specificity,high_region_peak_pm2_count,high_region_peak_pm5_count,high_region_positive_specificity_count
128,absolute,4,detrended_51,mean,0.096776044953982787,-0.025692818406770956,0.37246195905951524,80,78,2,0.375,2,1,12.5,0.09765625,0.37246195905951524,,,,,78,8,8,0.375,0.375,0.875,0.25,1,37.5,12.5,137.5,0,150,0.29296875,0,1.171875,0.25666541752189248,,,,
128,absolute,6,detrended_51,mean,0.079594426432959067,-0.029738070334327682,0.34153048607935721,120,115,5,0.41666666666666669,3,1,12.5,0.09765625,0.34153048607935721,,,,,115,12,12,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,37.5,12.5,137.5,0,150,0.29296875,0,1.171875,0.23251816824609739,,,,
128,absolute,8,detrended_51,mean,0.081752068950578308,-0.026743537788122669,0.30876890148214997,160,150,10,0.4375,4,1,12.5,0.09765625,0.30876890148214997,,,,,150,15,15,0.4375,0.1875,0.9375,0.125,1,37.5,12.5,137.5,0,150,0.29296875,0,1.171875,0.22444562580873736,,,,
128,normalized,4,detrended_51,mean,0.17986182157894953,0.095902692052842409,0.37157188287697634,20,20,0,0.375,2,1,12.800000000000001,0.10000000000000001,0.37157188287697634,,,,,20,2,2,0.5,0.375,0.625,0.25,0.75,12.800000000000001,12.800000000000001,12.800000000000001,0,25.600000000000001,0.10000000000000001,0,0.20000000000000001,0.32487007521439615,,,,
128,normalized,6,detrended_51,mean,0.1773304488459175,0.0071039080111125951,0.33978271316592262,30,30,0,0.41666666666666669,3,1,12.800000000000001,0.10000000000000001,0.33978271316592262,,,,,30,3,3,0.41666666666666669,0.25,0.41666666666666669,0.16666666666666666,0.5,12.800000000000001,12.800000000000001,38.400000000000006,0,51.200000000000003,0.10000000000000001,0,0.40000000000000002,0.28691448155198185,,,,
128,normalized,8,detrended_51,mean,0.164041298202245,-0.022462507659049693,0.30780904800914954,40,38,2,0.4375,4,1,12.800000000000001,0.10000000000000001,0.30780904800914954,,,,,38,4,4,0.375,0.3125,0.4375,0.25,0.5,25.600000000000001,12.800000000000001,38.400000000000006,0,51.200000000000003,0.20000000000000001,0,0.40000000000000002,0.28424132361559562,,,,
235,absolute,4,detrended_51,mean,0.027178789975028012,-0.054238380804288805,0.27085303815889217,80,54,26,0.625,3,1,12.5,0.053191489361702128,0.27085303815889217,,,,,54,6,6,0.625,0.375,0.875,0.25,1,37.5,12.5,112.5,0,125,0.15957446808510639,0,0.53191489361702127,0.19993775644567385,,,,
235,absolute,6,detrended_51,mean,0.027794469802991384,-0.07989553315003875,0.2282285357749643,120,79,41,0.58333333333333337,4,1,12.5,0.053191489361702128,0.2282285357749643,,,,,79,8,8,0.58333333333333337,0.25,0.75,0.16666666666666666,0.83333333333333337,37.5,12.5,112.5,0,125,0.15957446808510639,0,0.53191489361702127,0.17477793985420045,,,,
235,absolute,8,detrended_51,mean,0.030960736640864014,-0.097424367034031428,0.22525742534052168,160,104,56,0.5625,5,1,12.5,0.053191489361702128,0.22525742534052168,,,,,104,11,11,0.6875,0.1875,0.9375,0.125,1,12.5,12.5,112.5,0,125,0.053191489361702128,0,0.53191489361702127,0.16854141845968279,,,,
235,normalized,4,detrended_51,mean,0.12932313670637433,-0.09593710951567902,0.26164399800790883,20,18,2,0.625,3,1,23.5,0.10000000000000001,0.26164399800790883,,,,,18,2,2,0.625,0.625,0.625,0.5,0.75,47,23.5,70.5,0,94,0.20000000000000001,0,0.40000000000000002,0.24577151442401124,,,,
235,normalized,6,detrended_51,mean,0.10473437227551935,-0.077996028440681431,0.23298141832119529,30,24,6,0.41666666666666669,3,1,23.5,0.10000000000000001,0.23298141832119529,,,,,24,3,3,0.58333333333333337,0.41666666666666669,0.75,0.33333333333333331,0.83333333333333337,23.5,23.5,117.5,0,141,0.10000000000000001,0,0.59999999999999998,0.22286647703367513,,,,
235,normalized,8,detrended_51,mean,0.10408873608332019,-0.075955880472916487,0.22662327787246497,40,34,6,0.4375,4,1,23.5,0.10000000000000001,0.22662327787246497,,,,,34,4,4,0.625,0.4375,0.6875,0.375,0.75,47,23.5,117.5,0,141,0.20000000000000001,0,0.59999999999999998,0.2063045476390977,,,,
285,absolute,4,detrended_51,mean,0.033128202323899847,-0.059109664179085558,0.2550902394786696,80,62,18,0.375,2,1,12.5,0.043859649122807015,0.2550902394786696,,,,,62,7,7,0.625,0.375,0.875,0.25,1,37.5,12.5,87.5,0,100,0.13157894736842105,0,0.35087719298245612,0.17021249444331249,,,,
285,absolute,6,detrended_51,mean,0.035329696410153724,-0.09643067823096807,0.25936704730940241,120,95,25,0.41666666666666669,3,1,12.5,0.043859649122807015,0.25936704730940241,,,,,95,10,10,0.58333333333333337,0.25,0.91666666666666663,0.16666666666666666,1,37.5,12.5,87.5,0,100,0.13157894736842105,0,0.35087719298245612,0.15080869504418759,,,,
285,absolute,8,detrended_51,mean,0.033063297373138449,-0.094764378254168946,0.21586473554645555,160,123,37,0.4375,4,1,12.5,0.043859649122807015,0.21586473554645555,,,,,123,13,13,0.4375,0.3125,0.9375,0.25,1,37.5,12.5,112.5,0,125,0.13157894736842105,0,0.43859649122807015,0.1509055374950444,,,,
285,normalized,4,detrended_51,mean,0.095083400536985468,-0.030285412464788178,0.29406181245850715,20,16,4,0.375,2,1,28.5,0.10000000000000001,0.29406181245850715,,,,,16,2,2,0.5,0.375,0.625,0.25,0.75,28.5,28.5,28.5,0,57,0.10000000000000001,0,0.20000000000000001,0.25982792334799454,,,,
285,normalized,6,detrended_51,mean,0.090860187639507969,-0.12398546251954728,0.2841228989512864,30,25,5,0.41666666666666669,3,1,28.5,0.10000000000000001,0.2841228989512864,,,,,25,3,3,0.58333333333333337,0.41666666666666669,0.58333333333333337,0.33333333333333331,0.66666666666666663,28.5,28.5,85.5,0,114,0.10000000000000001,0,0.40000000000000002,0.23384479504282979,,,,
285,normalized,8,detrended_51,mean,0.084941634908076727,-0.14597911283103987,0.27508880301519195,40,35,5,0.4375,4,1,28.5,0.10000000000000001,0.27508880301519195,,,,,35,4,4,0.5,0.3125,0.5625,0.25,0.625,28.5,28.5,85.5,0,114,0.10000000000000001,0,0.40000000000000002,0.23787104931083719,,,,
500,absolute,4,detrended_51,mean,0.011652638347704745,-0.059859604174407603,0.10504956925901418,80,54,26,0.375,2,1,12.5,0.025000000000000001,0.10504956925901418,,,,,54,6,6,0.625,0.125,0.875,0,1,50,12.5,162.5,0,175,0.099999999999999992,0,0.34999999999999998,0.094636783564884877,,,,
500,absolute,6,detrended_51,mean,0.015286657862440952,-0.063113671237673294,0.12816249886746539,120,77,43,0.25,2,1,12.5,0.025000000000000001,0.12816249886746539,,,,,77,8,8,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,62.5,12.5,237.5,0,250,0.125,0,0.5,0.098938066787781165,,,,
500,absolute,8,detrended_51,mean,0.013869388619394286,-0.062665795229801258,0.12600876739570779,160,103,57,0.1875,2,1,12.5,0.025000000000000001,0.12600876739570779,,,,,103,11,11,0.3125,0.1875,0.9375,0.125,1,62.5,12.5,312.5,0,325,0.125,0,0.65000000000000002,0.089490351092870513,,,,
500,normalized,4,detrended_51,mean,0.033210743457989661,-0.062277013631475205,0.099417264955871526,20,14,6,0.375,2,1,50,0.10000000000000001,0.099417264955871526,,,,,14,2,2,0.625,0.375,0.875,0.25,1,200,50,350,0,400,0.39999999999999997,0,0.80000000000000004,0.095928034126250755,,,,
500,normalized,6,detrended_51,mean,0.018269897035680528,-0.049152246835227315,0.16042475266121617,30,18,12,0.25,2,1,50,0.10000000000000001,0.16042475266121617,,,,,18,2,2,0.5,0.25,0.75,0.16666666666666666,0.83333333333333337,50,50,50,0,100,0.10000000000000001,0,0.20000000000000001,0.12662426947894653,,,,
500,normalized,8,detrended_51,mean,0.035714198293520627,-0.057489140460804694,0.1519504044656487,40,27,13,0.1875,2,1,50,0.10000000000000001,0.1519504044656487,,,,,27,3,3,0.3125,0.1875,0.8125,0.125,0.875,50,50,150,0,200,0.10000000000000001,0,0.40000000000000002,0.13104691514197311,,,,
