source_bins,source_bin,u_lo,u_hi,u_mid
4,1,0,0.25,0.125
4,2,0.25,0.5,0.375
4,3,0.5,0.75,0.625
4,4,0.75,1,0.875
6,1,0,0.16666666666666666,0.083333333333333329
6,2,0.16666666666666666,0.33333333333333331,0.25
6,3,0.33333333333333331,0.5,0.41666666666666669
6,4,0.5,0.66666666666666663,0.58333333333333337
6,5,0.66666666666666663,0.83333333333333337,0.75
6,6,0.83333333333333337,1,0.91666666666666663
8,1,0,0.125,0.0625
8,2,0.125,0.25,0.1875
8,3,0.25,0.375,0.3125
8,4,0.375,0.5,0.4375
8,5,0.5,0.625,0.5625
8,6,0.625,0.75,0.6875
8,7,0.75,0.875,0.8125
8,8,0.875,1,0.9375
