scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,source_bins,mode,metric,rho_map_median,rho_map_min,rho_map_max,n_cells,n_positive_cells,n_negative_cells,u_peak,source_bin_peak,tail_bin_peak,tail_depth_peak_um,eta_peak,rho_peak_cell,specificity_at_peak,lag_at_peak_cell,peak_cell_lag_within_pm2,peak_cell_lag_within_pm5,high_positive_cells_available,high_target_count,high_actual_count,u_high_region_median,u_high_region_min,u_high_region_max,u_high_region_lo,u_high_region_hi,tail_high_region_median_um,tail_high_region_min_um,tail_high_region_max_um,tail_high_region_lo_um,tail_high_region_hi_um,eta_high_region_median,eta_high_region_lo,eta_high_region_hi,high_region_median_rho,high_region_median_specificity,high_region_peak_pm2_count,high_region_peak_pm5_count,high_region_positive_specificity_count,comparison,map_similarity_to_6bin_51
D128_F01_V01,128,1,common_grid,absolute,4,detrended_51,mean,0.10828567231772068,-0.064090977112062547,0.42185399029461645,80,76,4,0.375,2,2,37.5,0.29296875,0.42185399029461645,,,,,76,8,8,0.5,0.375,0.875,0.25,1,37.5,12.5,137.5,0,150,0.29296875,0,1.171875,0.27590058324227007,,,,,source_bins,0.87575507735279357
D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.091929112213986697,-0.066267734469929812,0.3974469161630943,120,106,14,0.41666666666666669,3,2,37.5,0.29296875,0.3974469161630943,,,,,106,11,11,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,37.5,12.5,162.5,0,175,0.29296875,0,1.3671875,0.28620312867135134,,,,,source_bins,1
D128_F01_V01,128,1,common_grid,absolute,8,detrended_51,mean,0.09166663948908213,-0.09555777903263582,0.37079322285144067,160,139,21,0.4375,4,2,37.5,0.29296875,0.37079322285144067,,,,,139,14,14,0.4375,0.1875,0.9375,0.125,1,37.5,12.5,162.5,0,175,0.29296875,0,1.3671875,0.25185149928675654,,,,,source_bins,0.91177993608264452
D128_F01_V01,128,1,common_grid,normalized,4,detrended_51,mean,0.21614067645850824,0.055231623829989612,0.41377352959421915,20,20,0,0.375,2,2,38.400000000000006,0.30000000000000004,0.41377352959421915,,,,,20,2,2,0.375,0.375,0.375,0.25,0.5,25.600000000000001,12.800000000000001,38.400000000000006,0,51.200000000000003,0.20000000000000001,0,0.40000000000000002,0.39519524942321982,,,,,source_bins,0.82281917783353276
D128_F01_V01,128,1,common_grid,normalized,6,detrended_51,mean,0.19532255297682438,-0.04006833041825162,0.38537544350688246,30,28,2,0.41666666666666669,3,2,38.400000000000006,0.30000000000000004,0.38537544350688246,,,,,28,3,3,0.41666666666666669,0.25,0.41666666666666669,0.16666666666666666,0.5,38.400000000000006,12.800000000000001,38.400000000000006,0,51.200000000000003,0.30000000000000004,0,0.40000000000000002,0.33978271316592262,,,,,source_bins,1
D128_F01_V01,128,1,common_grid,normalized,8,detrended_51,mean,0.18132764686272387,-0.099340296558220409,0.35638680826272745,40,38,2,0.4375,4,2,38.400000000000006,0.30000000000000004,0.35638680826272745,,,,,38,4,4,0.375,0.3125,0.4375,0.25,0.5,25.600000000000001,12.800000000000001,38.400000000000006,0,51.200000000000003,0.20000000000000001,0,0.40000000000000002,0.32611997580138463,,,,,source_bins,0.88518508266468388
D128_F03_V01,128,3,common_grid,absolute,4,detrended_51,mean,0.071260162404516589,-0.087087873192110629,0.29075194667517967,80,73,7,0.375,2,1,12.5,0.09765625,0.29075194667517967,,,,,73,8,8,0.375,0.375,0.625,0.25,0.75,50,12.5,137.5,0,150,0.390625,0,1.171875,0.25335760827106701,,,,,source_bins,0.88115672858588567
D128_F03_V01,128,3,common_grid,absolute,6,detrended_51,mean,0.075083766205238892,-0.064659562541881835,0.27226819156544252,120,106,14,0.41666666666666669,3,1,12.5,0.09765625,0.27226819156544252,,,,,106,11,11,0.41666666666666669,0.25,0.58333333333333337,0.16666666666666666,0.66666666666666663,37.5,12.5,137.5,0,150,0.29296875,0,1.171875,0.23731518684436062,,,,,source_bins,1
D128_F03_V01,128,3,common_grid,absolute,8,detrended_51,mean,0.063665174387943765,-0.085920321163954538,0.26867410244175455,160,145,15,0.3125,3,1,12.5,0.09765625,0.26867410244175455,,,,,145,15,15,0.4375,0.1875,0.9375,0.125,1,37.5,12.5,137.5,0,150,0.29296875,0,1.171875,0.22714825460042495,,,,,source_bins,0.89082046562284445
D128_F03_V01,128,3,common_grid,normalized,4,detrended_51,mean,0.17196405600151224,0.047092227774390871,0.28980741242373054,20,20,0,0.375,2,1,12.800000000000001,0.10000000000000001,0.28980741242373054,,,,,20,2,2,0.5,0.375,0.625,0.25,0.75,12.800000000000001,12.800000000000001,12.800000000000001,0,25.600000000000001,0.10000000000000001,0,0.20000000000000001,0.28398783998777322,,,,,source_bins,0.81614045074072805
D128_F03_V01,128,3,common_grid,normalized,6,detrended_51,mean,0.17082983310836142,0.043165324446452297,0.27152789651627235,30,30,0,0.41666666666666669,3,1,12.800000000000001,0.10000000000000001,0.27152789651627235,,,,,30,3,3,0.41666666666666669,0.41666666666666669,0.58333333333333337,0.33333333333333331,0.66666666666666663,12.800000000000001,12.800000000000001,38.400000000000006,0,51.200000000000003,0.10000000000000001,0,0.40000000000000002,0.26541268106175625,,,,,source_bins,1
D128_F03_V01,128,3,common_grid,normalized,8,detrended_51,mean,0.14583409083599408,0.020746208011670667,0.2683859890564278,40,40,0,0.3125,3,1,12.800000000000001,0.10000000000000001,0.2683859890564278,,,,,40,4,4,0.375,0.3125,0.4375,0.25,0.5,25.600000000000001,12.800000000000001,115.2,0,128,0.20000000000000001,0,1,0.25777496110193426,,,,,source_bins,0.83889489884494406
D128_F05_V01,128,5,common_grid,absolute,4,detrended_51,mean,0.098748157624435617,-0.01947334292957497,0.38385213938874241,80,77,3,0.375,2,1,12.5,0.09765625,0.38385213938874241,,,,,77,8,8,0.375,0.375,0.875,0.25,1,50,12.5,137.5,0,150,0.390625,0,1.171875,0.28926551006975193,,,,,source_bins,0.84777275293218524
D128_F05_V01,128,5,common_grid,absolute,6,detrended_51,mean,0.083449765078785293,-0.035648111774408291,0.36937402906164096,120,108,12,0.41666666666666669,3,1,12.5,0.09765625,0.36937402906164096,,,,,108,11,11,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,37.5,12.5,137.5,0,150,0.29296875,0,1.171875,0.27214389587821936,,,,,source_bins,1
D128_F05_V01,128,5,common_grid,absolute,8,detrended_51,mean,0.083786190998272531,-0.062994954965747862,0.35863923813231297,160,141,19,0.4375,4,1,12.5,0.09765625,0.35863923813231297,,,,,141,15,15,0.3125,0.1875,0.9375,0.125,1,37.5,12.5,212.5,0,225,0.29296875,0,1.7578125,0.26266886705315989,,,,,source_bins,0.90378340849233441
D128_F05_V01,128,5,common_grid,normalized,4,detrended_51,mean,0.20066885772481327,0.063634574553394135,0.38266673628021081,20,20,0,0.375,2,1,12.800000000000001,0.10000000000000001,0.38266673628021081,,,,,20,2,2,0.625,0.375,0.875,0.25,1,12.800000000000001,12.800000000000001,12.800000000000001,0,25.600000000000001,0.10000000000000001,0,0.20000000000000001,0.36077770029628331,,,,,source_bins,0.72330614415074368
D128_F05_V01,128,5,common_grid,normalized,6,detrended_51,mean,0.18537215424459996,-0.026442324263585691,0.36894302446763749,30,29,1,0.41666666666666669,3,1,12.800000000000001,0.10000000000000001,0.36894302446763749,,,,,29,3,3,0.41666666666666669,0.25,0.58333333333333337,0.16666666666666666,0.66666666666666663,12.800000000000001,12.800000000000001,89.600000000000009,0,102.40000000000001,0.10000000000000001,0,0.80000000000000004,0.31599371097695861,,,,,source_bins,1
D128_F05_V01,128,5,common_grid,normalized,8,detrended_51,mean,0.17805822466425572,-0.067020942913670806,0.35817300576429045,40,38,2,0.4375,4,1,12.800000000000001,0.10000000000000001,0.35817300576429045,,,,,38,4,4,0.5,0.3125,0.8125,0.25,0.875,12.800000000000001,12.800000000000001,12.800000000000001,0,25.600000000000001,0.10000000000000001,0,0.20000000000000001,0.30194627711062322,,,,,source_bins,0.8622485050963441
