diameter_um,coordinate,tail_bin,tail_lo_um,tail_hi_um,tail_mid_um,eta_lo,eta_hi,eta_mid
128,absolute,1,0,25,12.5,0,0.1953125,0.09765625
128,absolute,2,25,50,37.5,0.1953125,0.390625,0.29296875
128,absolute,3,50,75,62.5,0.390625,0.5859375,0.48828125
128,absolute,4,75,100,87.5,0.5859375,0.78125,0.68359375
128,absolute,5,100,125,112.5,0.78125,0.9765625,0.87890625
128,absolute,6,125,150,137.5,0.9765625,1.171875,1.07421875
128,absolute,7,150,175,162.5,1.171875,1.3671875,1.26953125
128,absolute,8,175,200,187.5,1.3671875,1.5625,1.46484375
128,absolute,9,200,225,212.5,1.5625,1.7578125,1.66015625
128,absolute,10,225,250,237.5,1.7578125,1.953125,1.85546875
128,absolute,11,250,275,262.5,1.953125,2.1484375,2.05078125
128,absolute,12,275,300,287.5,2.1484375,2.34375,2.24609375
128,absolute,13,300,325,312.5,2.34375,2.5390625,2.44140625
128,absolute,14,325,350,337.5,2.5390625,2.734375,2.63671875
128,absolute,15,350,375,362.5,2.734375,2.9296875,2.83203125
128,absolute,16,375,400,387.5,2.9296875,3.125,3.02734375
128,absolute,17,400,425,412.5,3.125,3.3203125,3.22265625
128,absolute,18,425,450,437.5,3.3203125,3.515625,3.41796875
128,absolute,19,450,475,462.5,3.515625,3.7109375,3.61328125
128,absolute,20,475,500,487.5,3.7109375,3.90625,3.80859375
128,normalized,1,0,25.600000000000001,12.800000000000001,0,0.20000000000000001,0.10000000000000001
128,normalized,2,25.600000000000001,51.200000000000003,38.400000000000006,0.20000000000000001,0.40000000000000002,0.30000000000000004
128,normalized,3,51.200000000000003,76.799999999999997,64,0.40000000000000002,0.59999999999999998,0.5
128,normalized,4,76.799999999999997,102.40000000000001,89.599999999999994,0.59999999999999998,0.80000000000000004,0.69999999999999996
128,normalized,5,102.40000000000001,128,115.2,0.80000000000000004,1,0.90000000000000002
235,absolute,1,0,25,12.5,0,0.10638297872340426,0.053191489361702128
235,absolute,2,25,50,37.5,0.10638297872340426,0.21276595744680851,0.15957446808510639
235,absolute,3,50,75,62.5,0.21276595744680851,0.31914893617021278,0.26595744680851063
235,absolute,4,75,100,87.5,0.31914893617021278,0.42553191489361702,0.37234042553191488
235,absolute,5,100,125,112.5,0.42553191489361702,0.53191489361702127,0.47872340425531917
235,absolute,6,125,150,137.5,0.53191489361702127,0.63829787234042556,0.58510638297872342
235,absolute,7,150,175,162.5,0.63829787234042556,0.74468085106382975,0.69148936170212771
235,absolute,8,175,200,187.5,0.74468085106382975,0.85106382978723405,0.7978723404255319
235,absolute,9,200,225,212.5,0.85106382978723405,0.95744680851063835,0.9042553191489362
235,absolute,10,225,250,237.5,0.95744680851063835,1.0638297872340425,1.0106382978723405
235,absolute,11,250,275,262.5,1.0638297872340425,1.1702127659574468,1.1170212765957446
235,absolute,12,275,300,287.5,1.1702127659574468,1.2765957446808511,1.2234042553191489
235,absolute,13,300,325,312.5,1.2765957446808511,1.3829787234042554,1.3297872340425532
235,absolute,14,325,350,337.5,1.3829787234042554,1.4893617021276595,1.4361702127659575
235,absolute,15,350,375,362.5,1.4893617021276595,1.5957446808510638,1.5425531914893618
235,absolute,16,375,400,387.5,1.5957446808510638,1.7021276595744681,1.6489361702127661
235,absolute,17,400,425,412.5,1.7021276595744681,1.8085106382978724,1.7553191489361701
235,absolute,18,425,450,437.5,1.8085106382978724,1.9148936170212767,1.8617021276595744
235,absolute,19,450,475,462.5,1.9148936170212767,2.021276595744681,1.9680851063829787
235,absolute,20,475,500,487.5,2.021276595744681,2.1276595744680851,2.0744680851063828
235,normalized,1,0,47,23.5,0,0.20000000000000001,0.10000000000000001
235,normalized,2,47,94,70.5,0.20000000000000001,0.40000000000000002,0.29999999999999999
235,normalized,3,94,141,117.5,0.40000000000000002,0.59999999999999998,0.5
235,normalized,4,141,188,164.5,0.59999999999999998,0.80000000000000004,0.69999999999999996
235,normalized,5,188,235,211.5,0.80000000000000004,1,0.90000000000000002
285,absolute,1,0,25,12.5,0,0.08771929824561403,0.043859649122807015
285,absolute,2,25,50,37.5,0.08771929824561403,0.17543859649122806,0.13157894736842105
285,absolute,3,50,75,62.5,0.17543859649122806,0.26315789473684209,0.21929824561403508
285,absolute,4,75,100,87.5,0.26315789473684209,0.35087719298245612,0.30701754385964913
285,absolute,5,100,125,112.5,0.35087719298245612,0.43859649122807015,0.39473684210526316
