scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,source_bins,mode,metric,rho_map_median,rho_map_min,rho_map_max,n_cells,n_positive_cells,n_negative_cells,u_peak,source_bin_peak,tail_bin_peak,tail_depth_peak_um,eta_peak,rho_peak_cell,specificity_at_peak,lag_at_peak_cell,peak_cell_lag_within_pm2,peak_cell_lag_within_pm5,high_positive_cells_available,high_target_count,high_actual_count,u_high_region_median,u_high_region_min,u_high_region_max,u_high_region_lo,u_high_region_hi,tail_high_region_median_um,tail_high_region_min_um,tail_high_region_max_um,tail_high_region_lo_um,tail_high_region_hi_um,eta_high_region_median,eta_high_region_lo,eta_high_region_hi,high_region_median_rho,high_region_median_specificity,high_region_peak_pm2_count,high_region_peak_pm5_count,high_region_positive_specificity_count
D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.091929112213986697,-0.066267734469929812,0.3974469161630943,120,106,14,0.41666666666666669,3,2,37.5,0.29296875,0.3974469161630943,0.41439495063219567,0,True,True,106,11,11,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,37.5,12.5,162.5,0,175,0.29296875,0,1.3671875,0.28620312867135134,0.27324662539969091,11,11,11
D128_F03_V01,128,3,common_grid,absolute,6,detrended_51,mean,0.075083766205238892,-0.064659562541881835,0.27226819156544252,120,106,14,0.41666666666666669,3,1,12.5,0.09765625,0.27226819156544252,0.24934990295522913,0,True,True,106,11,11,0.41666666666666669,0.25,0.58333333333333337,0.16666666666666666,0.66666666666666663,37.5,12.5,137.5,0,150,0.29296875,0,1.171875,0.23731518684436062,0.23818777261380106,11,11,11
D128_F05_V01,128,5,common_grid,absolute,6,detrended_51,mean,0.083449765078785293,-0.035648111774408291,0.36937402906164096,120,108,12,0.41666666666666669,3,1,12.5,0.09765625,0.36937402906164096,0.34590661954890389,0,True,True,108,11,11,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,37.5,12.5,137.5,0,150,0.29296875,0,1.171875,0.27214389587821936,0.27718907769002771,11,11,11
D128_F07_V01,128,7,common_grid,absolute,6,detrended_51,mean,0.10408307201844857,-0.015587946270325337,0.34621805280270024,120,117,3,0.41666666666666669,3,1,12.5,0.09765625,0.34621805280270024,0.32910751242087877,0,True,True,117,12,12,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,50,12.5,137.5,0,150,0.390625,0,1.171875,0.23743746473499283,0.23449586057527361,12,12,12
D128_F10_V01,128,10,common_grid,absolute,6,detrended_51,mean,0.09265454587812702,-0.10305043565178212,0.29296788240460619,120,102,18,0.41666666666666669,3,2,37.5,0.29296875,0.29296788240460619,0.30193299562477477,0,True,True,102,11,11,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,37.5,12.5,187.5,0,200,0.29296875,0,1.5625,0.2358217035382402,0.24584464802372025,11,11,11
D235_F01_V01,235,1,common_grid,absolute,6,detrended_51,mean,0.034554077742993065,-0.20517539345725375,0.23213723931165803,120,73,47,0.58333333333333337,4,1,12.5,0.053191489361702128,0.23213723931165803,0.22860298424826928,0,True,True,73,8,8,0.75,0.41666666666666669,0.91666666666666663,0.33333333333333331,1,37.5,12.5,112.5,0,125,0.15957446808510639,0,0.53191489361702127,0.2207796190187995,0.21363423868940012,6,8,8
D235_F03_V01,235,3,common_grid,absolute,6,detrended_51,mean,0.025842235415601079,-0.1183184704943256,0.22432628374967811,120,75,45,0.58333333333333337,4,1,12.5,0.053191489361702128,0.22432628374967811,0.23951595103379261,0,True,True,75,8,8,0.66666666666666674,0.25,0.91666666666666663,0.16666666666666666,1,50,12.5,137.5,0,150,0.21276595744680851,0,0.63829787234042556,0.21024481468851758,0.21406684114542457,7,8,8
D235_F05_V01,235,5,common_grid,absolute,6,detrended_51,mean,0.024175229032889555,-0.17005689840016766,0.2207322100846392,120,75,45,0.41666666666666669,3,1,12.5,0.053191489361702128,0.2207322100846392,0.21363401729596215,0,True,True,75,8,8,0.75,0.25,0.91666666666666663,0.16666666666666666,1,37.5,12.5,162.5,0,175,0.15957446808510639,0,0.74468085106382975,0.1685246583282374,0.16701620413694743,7,8,8
D235_F07_V01,235,7,common_grid,absolute,6,detrended_51,mean,0.040745196909188895,-0.087688706463081273,0.26269586618638679,120,88,32,0.41666666666666669,3,1,12.5,0.053191489361702128,0.26269586618638679,0.23843888568785171,0,True,True,88,9,9,0.41666666666666669,0.25,0.75,0.16666666666666666,0.83333333333333337,62.5,12.5,112.5,0,125,0.26595744680851063,0,0.53191489361702127,0.18275816164235456,0.18716863344859128,6,7,9
D235_F10_V01,235,10,common_grid,absolute,6,detrended_51,mean,0.033045372510891194,-0.17733856802775036,0.37670050167512942,120,79,41,0.41666666666666669,3,1,12.5,0.053191489361702128,0.37670050167512942,0.28694817773657322,0,True,True,79,8,8,0.58333333333333337,0.25,0.75,0.16666666666666666,0.83333333333333337,25,12.5,62.5,0,75,0.10638297872340426,0,0.31914893617021278,0.2451767240866089,0.19267155356713606,6,7,8
