source_bin,tail_bin,u_lo,u_hi,u_mid,tail_lo_um,tail_hi_um,tail_mid_um,eta_lo,eta_hi,eta_mid,scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,source_bins,mode,metric,rho,n_pairs,rho_peak,lag_at_peak,n_pairs_lag0,zero_lag_rank,peak_within_pm2,peak_within_pm5,rho_remote_median,zero_lag_specificity,high_region_target_count
3,2,0.33333333333333331,0.5,0.41666666666666669,25,50,37.5,0.1953125,0.390625,0.29296875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.3974469161630943,486,0.3974469161630943,0,486,1,True,True,-0.01694803446910137,0.41439495063219567,11
3,1,0.33333333333333331,0.5,0.41666666666666669,0,25,12.5,0,0.1953125,0.09765625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.34153048607935721,486,0.34153048607935721,0,486,1,True,True,0.016571310558071595,0.32495917552128561,11
2,2,0.16666666666666666,0.33333333333333331,0.25,25,50,37.5,0.1953125,0.390625,0.29296875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.30425802324068763,486,0.30425802324068763,0,486,1,True,True,-0.0081862699709834372,0.31244429321167105,11
3,5,0.33333333333333331,0.5,0.41666666666666669,100,125,112.5,0.78125,0.9765625,0.87890625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.29452430452567696,486,0.29452430452567696,0,486,1,True,True,0.0039310925134009838,0.290593212012276,11
2,1,0.16666666666666666,0.33333333333333331,0.25,0,25,12.5,0,0.1953125,0.09765625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.29004835675146146,486,0.29004835675146146,0,486,1,True,True,0.022902736930502487,0.26714561982095897,11
6,1,0.83333333333333337,1,0.91666666666666663,0,25,12.5,0,0.1953125,0.09765625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.28620312867135134,486,0.28620312867135134,0,486,1,True,True,0.008054480719425286,0.27814864795192606,11
4,1,0.5,0.66666666666666663,0.58333333333333337,0,25,12.5,0,0.1953125,0.09765625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.245277284539798,486,0.245277284539798,0,486,1,True,True,-0.02796934085989293,0.27324662539969091,11
5,1,0.66666666666666663,0.83333333333333337,0.75,0,25,12.5,0,0.1953125,0.09765625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.24158630755423185,486,0.24158630755423185,0,486,1,True,True,0.0046727763449180455,0.2369135312093138,11
3,7,0.33333333333333331,0.5,0.41666666666666669,150,175,162.5,1.171875,1.3671875,1.26953125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.23444395401480012,486,0.23444395401480012,0,486,1,True,True,-0.0064724020343961235,0.24091635604919623,11
4,2,0.5,0.66666666666666663,0.58333333333333337,25,50,37.5,0.1953125,0.390625,0.29296875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.22921463295395461,486,0.22921463295395461,0,486,1,True,True,-0.001202204347744343,0.23041683730169896,11
3,6,0.33333333333333331,0.5,0.41666666666666669,125,150,137.5,0.9765625,1.171875,1.07421875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.22757893392167156,486,0.22757893392167156,0,486,1,True,True,-0.013504334332043075,0.24108326825371462,11
3,2,0.33333333333333331,0.5,0.41666666666666669,25.600000000000001,51.200000000000003,38.400000000000006,0.20000000000000001,0.40000000000000002,0.30000000000000004,D128_F01_V01,128,1,common_grid,normalized,6,detrended_51,mean,0.38537544350688246,486,0.38537544350688246,0,486,1,True,True,-0.02010742590799848,0.40548286941488093,3
3,1,0.33333333333333331,0.5,0.41666666666666669,0,25.600000000000001,12.800000000000001,0,0.20000000000000001,0.10000000000000001,D128_F01_V01,128,1,common_grid,normalized,6,detrended_51,mean,0.33978271316592262,486,0.33978271316592262,0,486,1,True,True,0.016649944245469814,0.32313276892045278,3
2,2,0.16666666666666666,0.33333333333333331,0.25,25.600000000000001,51.200000000000003,38.400000000000006,0.20000000000000001,0.40000000000000002,0.30000000000000004,D128_F01_V01,128,1,common_grid,normalized,6,detrended_51,mean,0.30422391993996023,486,0.30422391993996023,0,486,1,True,True,-0.014375090125694861,0.31859901006565511,3
3,1,0.33333333333333331,0.5,0.41666666666666669,0,25,12.5,0,0.1953125,0.09765625,D128_F03_V01,128,3,common_grid,absolute,6,detrended_51,mean,0.27226819156544252,468,0.27226819156544252,0,468,1,True,True,0.022918288610213396,0.24934990295522913,11
3,2,0.33333333333333331,0.5,0.41666666666666669,25,50,37.5,0.1953125,0.390625,0.29296875,D128_F03_V01,128,3,common_grid,absolute,6,detrended_51,mean,0.26296055294354659,468,0.26296055294354659,0,468,1,True,True,0.011177855189079228,0.25178269775446738,11
4,1,0.5,0.66666666666666663,0.58333333333333337,0,25,12.5,0,0.1953125,0.09765625,D128_F03_V01,128,3,common_grid,absolute,6,detrended_51,mean,0.25950417499733092,468,0.25950417499733092,0,468,1,True,True,-0.0091133464453099604,0.26861752144264089,11
4,2,0.5,0.66666666666666663,0.58333333333333337,25,50,37.5,0.1953125,0.390625,0.29296875,D128_F03_V01,128,3,common_grid,absolute,6,detrended_51,mean,0.2521933169148951,468,0.2521933169148951,0,468,1,True,True,0.0092494973726481577,0.24294381954224695,11
2,2,0.16666666666666666,0.33333333333333331,0.25,25,50,37.5,0.1953125,0.390625,0.29296875,D128_F03_V01,128,3,common_grid,absolute,6,detrended_51,mean,0.2399713141683335,468,0.2399713141683335,0,468,1,True,True,0.0012062030873993528,0.23876511108093415,11
2,3,0.16666666666666666,0.33333333333333331,0.25,50,75,62.5,0.390625,0.5859375,0.48828125,D128_F03_V01,128,3,common_grid,absolute,6,detrended_51,mean,0.23731518684436062,468,0.23731518684436062,0,468,1,True,True,-0.00087258576944044836,0.23818777261380106,11
2,6,0.16666666666666666,0.33333333333333331,0.25,125,150,137.5,0.9765625,1.171875,1.07421875,D128_F03_V01,128,3,common_grid,absolute,6,detrended_51,mean,0.2337493831458376,468,0.2337493831458376,0,468,1,True,True,-0.0013947724779602502,0.23514415562379784,11
3,6,0.33333333333333331,0.5,0.41666666666666669,125,150,137.5,0.9765625,1.171875,1.07421875,D128_F03_V01,128,3,common_grid,absolute,6,detrended_51,mean,0.22219458058715824,468,0.22219458058715824,0,468,1,True,True,-0.003102912142513444,0.22529749272967167,11
2,4,0.16666666666666666,0.33333333333333331,0.25,75,100,87.5,0.5859375,0.78125,0.68359375,D128_F03_V01,128,3,common_grid,absolute,6,detrended_51,mean,0.22138790570992264,468,0.22138790570992264,0,468,1,True,True,-0.013570408766773453,0.2349583144766961,11
2,1,0.16666666666666666,0.33333333333333331,0.25,0,25,12.5,0,0.1953125,0.09765625,D128_F03_V01,128,3,common_grid,absolute,6,detrended_51,mean,0.21691785272037506,468,0.21691785272037506,0,468,1,True,True,0.013903473093868612,0.20301437962650645,11
3,5,0.33333333333333331,0.5,0.41666666666666669,100,125,112.5,0.78125,0.9765625,0.87890625,D128_F03_V01,128,3,common_grid,absolute,6,detrended_51,mean,0.21232496755271213,468,0.21232496755271213,0,468,1,True,True,-0.012159563180415649,0.22448453073312777,11
3,1,0.33333333333333331,0.5,0.41666666666666669,0,25.600000000000001,12.800000000000001,0,0.20000000000000001,0.10000000000000001,D128_F03_V01,128,3,common_grid,normalized,6,detrended_51,mean,0.27152789651627235,468,0.27152789651627235,0,468,1,True,True,0.021602603263184569,0.24992529325308777,3
3,2,0.33333333333333331,0.5,0.41666666666666669,25.600000000000001,51.200000000000003,38.400000000000006,0.20000000000000001,0.40000000000000002,0.30000000000000004,D128_F03_V01,128,3,common_grid,normalized,6,detrended_51,mean,0.26541268106175625,468,0.26541268106175625,0,468,1,True,True,0.012050979031203566,0.25336170203055269,3
4,1,0.5,0.66666666666666663,0.58333333333333337,0,25.600000000000001,12.800000000000001,0,0.20000000000000001,0.10000000000000001,D128_F03_V01,128,3,common_grid,normalized,6,detrended_51,mean,0.2586287806381673,468,0.2586287806381673,0,468,1,True,True,-0.0095760171708599035,0.26820479780902723,3
3,1,0.33333333333333331,0.5,0.41666666666666669,0,25,12.5,0,0.1953125,0.09765625,D128_F05_V01,128,5,common_grid,absolute,6,detrended_51,mean,0.36937402906164096,491,0.36937402906164096,0,491,1,True,True,0.023467409512737066,0.34590661954890389,11
4,1,0.5,0.66666666666666663,0.58333333333333337,0,25,12.5,0,0.1953125,0.09765625,D128_F05_V01,128,5,common_grid,absolute,6,detrended_51,mean,0.31388000066110855,491,0.31388000066110855,0,491,1,True,True,0.0074074177607989424,0.3064725829003096,11
2,1,0.16666666666666666,0.33333333333333331,0.25,0,25,12.5,0,0.1953125,0.09765625,D128_F05_V01,128,5,common_grid,absolute,6,detrended_51,mean,0.2875619261808432,491,0.2875619261808432,0,491,1,True,True,0.0065409155333716069,0.28102101064747159,11
2,3,0.16666666666666666,0.33333333333333331,0.25,50,75,62.5,0.390625,0.5859375,0.48828125,D128_F05_V01,128,5,common_grid,absolute,6,detrended_51,mean,0.28488679466215883,491,0.28488679466215883,0,491,1,True,True,-0.0032820303996102789,0.28816882506176911,11
