scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,source_bins,mode,metric,rho_map_median,rho_map_min,rho_map_max,n_cells,n_positive_cells,n_negative_cells,u_peak,source_bin_peak,tail_bin_peak,tail_depth_peak_um,eta_peak,rho_peak_cell,specificity_at_peak,lag_at_peak_cell,peak_cell_lag_within_pm2,peak_cell_lag_within_pm5,high_positive_cells_available,high_target_count,high_actual_count,u_high_region_median,u_high_region_min,u_high_region_max,u_high_region_lo,u_high_region_hi,tail_high_region_median_um,tail_high_region_min_um,tail_high_region_max_um,tail_high_region_lo_um,tail_high_region_hi_um,eta_high_region_median,eta_high_region_lo,eta_high_region_hi,high_region_median_rho,high_region_median_specificity,high_region_peak_pm2_count,high_region_peak_pm5_count,high_region_positive_specificity_count
D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.091929112213986697,-0.066267734469929812,0.3974469161630943,120,106,14,0.41666666666666669,3,2,37.5,0.29296875,0.3974469161630943,0.41439495063219567,0,True,True,106,11,11,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,37.5,12.5,162.5,0,175,0.29296875,0,1.3671875,0.28620312867135134,0.27324662539969091,11,11,11
D128_F01_V01,128,1,common_grid,normalized,6,detrended_51,mean,0.19532255297682438,-0.04006833041825162,0.38537544350688246,30,28,2,0.41666666666666669,3,2,38.400000000000006,0.30000000000000004,0.38537544350688246,0.40548286941488093,0,True,True,28,3,3,0.41666666666666669,0.25,0.41666666666666669,0.16666666666666666,0.5,38.400000000000006,12.800000000000001,38.400000000000006,0,51.200000000000003,0.30000000000000004,0,0.40000000000000002,0.33978271316592262,0.32313276892045278,3,3,3
D128_F03_V01,128,3,common_grid,absolute,6,detrended_51,mean,0.075083766205238892,-0.064659562541881835,0.27226819156544252,120,106,14,0.41666666666666669,3,1,12.5,0.09765625,0.27226819156544252,0.24934990295522913,0,True,True,106,11,11,0.41666666666666669,0.25,0.58333333333333337,0.16666666666666666,0.66666666666666663,37.5,12.5,137.5,0,150,0.29296875,0,1.171875,0.23731518684436062,0.23818777261380106,11,11,11
D128_F03_V01,128,3,common_grid,normalized,6,detrended_51,mean,0.17082983310836142,0.043165324446452297,0.27152789651627235,30,30,0,0.41666666666666669,3,1,12.800000000000001,0.10000000000000001,0.27152789651627235,0.24992529325308777,0,True,True,30,3,3,0.41666666666666669,0.41666666666666669,0.58333333333333337,0.33333333333333331,0.66666666666666663,12.800000000000001,12.800000000000001,38.400000000000006,0,51.200000000000003,0.10000000000000001,0,0.40000000000000002,0.26541268106175625,0.25336170203055269,3,3,3
D128_F05_V01,128,5,common_grid,absolute,6,detrended_51,mean,0.083449765078785293,-0.035648111774408291,0.36937402906164096,120,108,12,0.41666666666666669,3,1,12.5,0.09765625,0.36937402906164096,0.34590661954890389,0,True,True,108,11,11,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,37.5,12.5,137.5,0,150,0.29296875,0,1.171875,0.27214389587821936,0.27718907769002771,11,11,11
D128_F05_V01,128,5,common_grid,normalized,6,detrended_51,mean,0.18537215424459996,-0.026442324263585691,0.36894302446763749,30,29,1,0.41666666666666669,3,1,12.800000000000001,0.10000000000000001,0.36894302446763749,0.34577404899086828,0,True,True,29,3,3,0.41666666666666669,0.25,0.58333333333333337,0.16666666666666666,0.66666666666666663,12.800000000000001,12.800000000000001,89.600000000000009,0,102.40000000000001,0.10000000000000001,0,0.80000000000000004,0.31599371097695861,0.30781824782235961,3,3,3
D128_F07_V01,128,7,common_grid,absolute,6,detrended_51,mean,0.10408307201844857,-0.015587946270325337,0.34621805280270024,120,117,3,0.41666666666666669,3,1,12.5,0.09765625,0.34621805280270024,0.32910751242087877,0,True,True,117,12,12,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,50,12.5,137.5,0,150,0.390625,0,1.171875,0.23743746473499283,0.23449586057527361,12,12,12
D128_F07_V01,128,7,common_grid,normalized,6,detrended_51,mean,0.18375800483167051,0.039941901887028147,0.34504311443453484,30,30,0,0.41666666666666669,3,1,12.800000000000001,0.10000000000000001,0.34504311443453484,0.32830977695500185,0,True,True,30,3,3,0.41666666666666669,0.25,0.58333333333333337,0.16666666666666666,0.66666666666666663,12.800000000000001,12.800000000000001,12.800000000000001,0,25.600000000000001,0.10000000000000001,0,0.20000000000000001,0.33068247142264828,0.32830977695500185,3,3,3
D128_F10_V01,128,10,common_grid,absolute,6,detrended_51,mean,0.09265454587812702,-0.10305043565178212,0.29296788240460619,120,102,18,0.41666666666666669,3,2,37.5,0.29296875,0.29296788240460619,0.30193299562477477,0,True,True,102,11,11,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,37.5,12.5,187.5,0,200,0.29296875,0,1.5625,0.2358217035382402,0.24584464802372025,11,11,11
D128_F10_V01,128,10,common_grid,normalized,6,detrended_51,mean,0.15741809868884291,-0.025427801852254212,0.29717468045152801,30,29,1,0.41666666666666669,3,2,38.400000000000006,0.30000000000000004,0.29717468045152801,0.30536461286122257,0,True,True,29,3,3,0.41666666666666669,0.25,0.58333333333333337,0.16666666666666666,0.66666666666666663,38.400000000000006,12.800000000000001,38.400000000000006,0,51.200000000000003,0.30000000000000004,0,0.40000000000000002,0.2893694115144369,0.28909143610872085,3,3,3
D235_F01_V01,235,1,common_grid,absolute,6,detrended_51,mean,0.034554077742993065,-0.20517539345725375,0.23213723931165803,120,73,47,0.58333333333333337,4,1,12.5,0.053191489361702128,0.23213723931165803,0.22860298424826928,0,True,True,73,8,8,0.75,0.41666666666666669,0.91666666666666663,0.33333333333333331,1,37.5,12.5,112.5,0,125,0.15957446808510639,0,0.53191489361702127,0.2207796190187995,0.21363423868940012,6,8,8
