scan_id,diameter_um,flow_mm_s,grid_scope,mode,predictor,tail_variable,tail_depth_um,metric_family,rho,n_pairs
D128_F01_V01,128,1,common_grid,raw,upper_mean_raw,tail_mean_raw_100um,100,mean,0.24194901732952914,486
D128_F01_V01,128,1,common_grid,raw,upper_mean_raw,tail_mean_raw_500um,500,mean,0.25596442989275175,486
D128_F01_V01,128,1,common_grid,raw,upper_q_raw,tail_q_raw_100um,100,q,0.23497005900387283,486
D128_F01_V01,128,1,common_grid,raw,upper_q_raw,tail_q_raw_500um,500,q,0.23485642617433436,486
D128_F01_V01,128,1,common_grid,raw,middle_mean_raw,tail_mean_raw_100um,100,mean,0.43300897798664467,486
D128_F01_V01,128,1,common_grid,raw,middle_mean_raw,tail_mean_raw_500um,500,mean,0.47161936451859315,486
D128_F01_V01,128,1,common_grid,raw,middle_q_raw,tail_q_raw_100um,100,q,0.39507641598710413,486
D128_F01_V01,128,1,common_grid,raw,middle_q_raw,tail_q_raw_500um,500,q,0.38804309789018743,486
D128_F01_V01,128,1,common_grid,raw,lower_mean_raw,tail_mean_raw_100um,100,mean,0.32672140800170602,486
D128_F01_V01,128,1,common_grid,raw,lower_mean_raw,tail_mean_raw_500um,500,mean,0.39157115158300609,486
D128_F01_V01,128,1,common_grid,raw,lower_q_raw,tail_q_raw_100um,100,q,0.3727090427218146,486
D128_F01_V01,128,1,common_grid,raw,lower_q_raw,tail_q_raw_500um,500,q,0.43963365695691381,486
D128_F03_V01,128,3,common_grid,raw,upper_mean_raw,tail_mean_raw_100um,100,mean,0.26780011512665153,468
D128_F03_V01,128,3,common_grid,raw,upper_mean_raw,tail_mean_raw_500um,500,mean,0.28074068324635609,468
D128_F03_V01,128,3,common_grid,raw,upper_q_raw,tail_q_raw_100um,100,q,0.21578438606787223,468
D128_F03_V01,128,3,common_grid,raw,upper_q_raw,tail_q_raw_500um,500,q,0.18147057966163718,468
D128_F03_V01,128,3,common_grid,raw,middle_mean_raw,tail_mean_raw_100um,100,mean,0.37853699242685779,468
D128_F03_V01,128,3,common_grid,raw,middle_mean_raw,tail_mean_raw_500um,500,mean,0.38211453497975911,468
D128_F03_V01,128,3,common_grid,raw,middle_q_raw,tail_q_raw_100um,100,q,0.36035168768717291,468
D128_F03_V01,128,3,common_grid,raw,middle_q_raw,tail_q_raw_500um,500,q,0.33204813872141042,468
D128_F03_V01,128,3,common_grid,raw,lower_mean_raw,tail_mean_raw_100um,100,mean,0.23703083752941526,468
D128_F03_V01,128,3,common_grid,raw,lower_mean_raw,tail_mean_raw_500um,500,mean,0.21968773446928705,468
