grid_scope,diameter_um,mode,predictor,tail_depth_um,metric_family,analysis,metric,n_volumes,n_finite,volume_values_json,median,min,max,positive_count,negative_count,zero_count,peak_within_5_count,controls
d500_extension,500,detrended_101,lower_mean_raw,100,mean,zero_lag,rho,3,3,"[{""scan_id"": ""D500_F02_V01"", ""flow_mm_s"": 2.0, ""value"": 0.17165086864421736}, {""scan_id"": ""D500_F09_V01"", ""flow_mm_s"": 9.0, ""value"": 0.08093185604301897}, {""scan_id"": ""D500_F12_V01"", ""flow_mm_s"": 12.0, ""value"": 0.042568486706820445}]",0.080931856043018974,0.042568486706820445,0.17165086864421736,3,0,0,,
d500_extension,500,detrended_101,lower_mean_raw,500,mean,zero_lag,rho,3,3,"[{""scan_id"": ""D500_F02_V01"", ""flow_mm_s"": 2.0, ""value"": 0.22741001199773264}, {""scan_id"": ""D500_F09_V01"", ""flow_mm_s"": 9.0, ""value"": 0.12467017363412408}, {""scan_id"": ""D500_F12_V01"", ""flow_mm_s"": 12.0, ""value"": 0.12202693989687663}]",0.12467017363412408,0.12202693989687663,0.22741001199773264,3,0,0,,
d500_extension,500,detrended_101,lower_q_raw,100,q,zero_lag,rho,3,3,"[{""scan_id"": ""D500_F02_V01"", ""flow_mm_s"": 2.0, ""value"": 0.6034565661381657}, {""scan_id"": ""D500_F09_V01"", ""flow_mm_s"": 9.0, ""value"": 0.5511151473208898}, {""scan_id"": ""D500_F12_V01"", ""flow_mm_s"": 12.0, ""value"": 0.5143121829884276}]",0.55111514732088984,0.51431218298842762,0.60345656613816567,3,0,0,,
d500_extension,500,detrended_101,lower_q_raw,500,q,zero_lag,rho,3,3,"[{""scan_id"": ""D500_F02_V01"", ""flow_mm_s"": 2.0, ""value"": 0.7183716939850741}, {""scan_id"": ""D500_F09_V01"", ""flow_mm_s"": 9.0, ""value"": 0.6951706865580052}, {""scan_id"": ""D500_F12_V01"", ""flow_mm_s"": 12.0, ""value"": 0.659325219610211}]",0.69517068655800518,0.65932521961021096,0.71837169398507406,3,0,0,,
d500_extension,500,detrended_101,middle_mean_raw,100,mean,zero_lag,rho,3,3,"[{""scan_id"": ""D500_F02_V01"", ""flow_mm_s"": 2.0, ""value"": 0.08578986605392055}, {""scan_id"": ""D500_F09_V01"", ""flow_mm_s"": 9.0, ""value"": 0.09552400685045825}, {""scan_id"": ""D500_F12_V01"", ""flow_mm_s"": 12.0, ""value"": -0.03716062339814351}]",0.085789866053920555,-0.037160623398143508,0.095524006850458254,2,1,0,,
d500_extension,500,detrended_101,middle_mean_raw,500,mean,zero_lag,rho,3,3,"[{""scan_id"": ""D500_F02_V01"", ""flow_mm_s"": 2.0, ""value"": 0.09202194524385589}, {""scan_id"": ""D500_F09_V01"", ""flow_mm_s"": 9.0, ""value"": -0.0043445303727422105}, {""scan_id"": ""D500_F12_V01"", ""flow_mm_s"": 12.0, ""value"": -0.020281019895027154}]",-0.0043445303727422105,-0.020281019895027154,0.092021945243855888,1,2,0,,
d500_extension,500,detrended_101,middle_q_raw,100,q,zero_lag,rho,3,3,"[{""scan_id"": ""D500_F02_V01"", ""flow_mm_s"": 2.0, ""value"": 0.36261714290392244}, {""scan_id"": ""D500_F09_V01"", ""flow_mm_s"": 9.0, ""value"": 0.27930252650453297}, {""scan_id"": ""D500_F12_V01"", ""flow_mm_s"": 12.0, ""value"": 0.22379784603731634}]",0.27930252650453297,0.22379784603731634,0.36261714290392244,3,0,0,,
d500_extension,500,detrended_101,middle_q_raw,500,q,zero_lag,rho,3,3,"[{""scan_id"": ""D500_F02_V01"", ""flow_mm_s"": 2.0, ""value"": 0.4486088747804025}, {""scan_id"": ""D500_F09_V01"", ""flow_mm_s"": 9.0, ""value"": 0.3022648141265537}, {""scan_id"": ""D500_F12_V01"", ""flow_mm_s"": 12.0, ""value"": 0.30222223182229285}]",0.3022648141265537,0.30222223182229285,0.44860887478040251,3,0,0,,
d500_extension,500,detrended_101,source_area,100,area_vs_mean,zero_lag,rho,3,3,"[{""scan_id"": ""D500_F02_V01"", ""flow_mm_s"": 2.0, ""value"": 0.04232862573245771}, {""scan_id"": ""D500_F09_V01"", ""flow_mm_s"": 9.0, ""value"": 0.012301266141931695}, {""scan_id"": ""D500_F12_V01"", ""flow_mm_s"": 12.0, ""value"": -0.0013760078406362829}]",0.012301266141931695,-0.0013760078406362829,0.042328625732457707,2,1,0,,
d500_extension,500,detrended_101,source_area,100,area_vs_q,zero_lag,rho,3,3,"[{""scan_id"": ""D500_F02_V01"", ""flow_mm_s"": 2.0, ""value"": 0.7141031044909854}, {""scan_id"": ""D500_F09_V01"", ""flow_mm_s"": 9.0, ""value"": 0.6805279547194167}, {""scan_id"": ""D500_F12_V01"", ""flow_mm_s"": 12.0, ""value"": 0.6668487968224417}]",0.68052795471941674,0.66684879682244169,0.71410310449098535,3,0,0,,
