input_path,sha256,role,size_bytes
analysis/formal_sv_diameter_v1/framewise_primary.csv,bbf0e9d30bfb41b06e5e0ca002e47c8c63123329a01bd9a39d393f16519e8995,frozen derived metrics,5907711
analysis/formal_sv_d128_v21_run001/no_background_relative_tail_v1_full2422/framewise_primary.csv,68951ad15b9427c698afcb4ceb8d2f881f22e5233b93a19ed7b7f8ecbadd3dec,frozen derived metrics,179728
analysis/formal_sv_d128_v21_run001/observed_tail_intensity_full2422/observed_tail_intensity_framewise.csv,9d083f8edea43e0d1d6f0e42f7b2460d6472e5740aca2d853ea2d8be05d79bf3,D128 observed raw Q and area only; corrected columns never used,848900
results/formal_sv_d128_v21_full2500_run001/localization.csv,6d2e9348741a58663d08474cad84419828cd9aaaa268d1ef2aa614c93dd93328,frozen continuity-first v2.1 geometry,469743
analysis/formal_sv_d128_v21_run001/no_background_followup_three_audits_v1_full2422/window_framewise.csv.gz,ee494ac6d54efe9f22ab92ead7bd014abbcba64c436572bc5344d3dc9ed75bef,frozen derived metrics,287716
results/formal_sv_d128_v21_full2500_run001/download_packages.csv,c6e8da781cbf6c9bc6ec3d57d420811e19951fe1905e501446e1e8112010b079,frozen release package identities,3350
results/formal_sv_d128_v21_full2500_run001/arrays_sha256.csv,70308f8cb8e9efc47c49589b4c6d97f11475ff4964b7a4c39f541cc203fdd5a9,frozen per-frame array identities,279495
analysis/sv_diameter_stage2_scientific_v1/d128_d235_source_axial_audit/d128_d235_source_axial_framewise.csv,9a7f56830ac252648ef6dea2de44db2489f222c5d0f685dfdb7389e880fc29ff,frozen derived metrics,3115720
analysis/sv_diameter_stage2_scientific_v1/d500_source_axial_audit/source_axial_band_framewise.csv,1fa1674b45d730908f10f42bfb3f7d57c74991a337b8244c7076a2becebfaf0a,frozen derived metrics,3098108
analysis/sv_diameter_stage2_scientific_v1/provenance.json,e49d74c3576925224a375e05481465d142defecbf3f44094a6c1ab721ff3555e,"inherited validation, definitions or frozen implementation",3019
analysis/sv_diameter_stage2_scientific_v1/validation.json,cde3d16615ead26c58e73910b4ae0fb485a0afa6d1c65cc94559eb1a8af980ca,"inherited validation, definitions or frozen implementation",7892
