scan_id,diameter_um,flow_mm_s,grid_scope,mode,predictor,tail_variable,tail_depth_um,metric_family,lag,rho,n_pairs
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-50,-0.0058001459042582798,429
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-49,-0.030851945562416876,431
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-48,-0.041215991160786739,431
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-47,-0.023340857280900493,432
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-46,0.015631819834343728,433
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-45,-0.073682917539042103,434
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-44,-0.029459239191235328,435
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-43,-0.058218794916311899,436
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-42,-0.021075442500992844,436
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-41,-0.025290663387609654,437
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-40,-0.048589521721898198,438
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-39,-0.062579367586741846,440
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-38,0.0048510835132946498,440
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-37,-0.033217307238072515,441
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-36,0.014007457817467029,442
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-35,0.02978476665262909,444
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-34,0.0016459316030786721,445
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-33,0.076296314127453579,445
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-32,0.036488361120880775,447
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-31,-0.059160743357576338,447
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-30,-0.044444052957427517,448
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-29,-0.02016407714265965,449
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-28,0.03300451502102239,451
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-27,0.0057332127515144363,451
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-26,-0.046829870373154482,452
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-25,0.0021531043885624919,453
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-24,-0.029053786070707317,455
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-23,0.11403297478857605,455
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-22,0.083967232254970478,456
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-21,0.031905422351104155,457
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-20,0.11353343499695485,458
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-19,0.059047725118444395,459
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-18,0.024169222840916056,460
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-17,-0.00081967725149268268,461
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-16,0.033476734936957464,462
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-15,-0.041892963338875946,463
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-14,-0.042095677121394448,464
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-13,-0.15151264692144806,465
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-12,-0.071564585356263977,466
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-11,-0.11919296844128195,467
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-10,-0.15644613242218455,468
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-9,-0.14592806102970127,469
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-8,-0.099284448851677726,470
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-7,-0.099965527099414739,470
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-6,-0.12026314435451378,472
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-5,-0.046950018392177037,472
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-4,0.021035139133774961,474
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-3,0.020742491192645516,473
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-2,0.063136095160063507,474
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,-1,0.15604769788646156,475
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,0,0.49101737268538265,486
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,1,0.17896463715919012,475
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,2,0.086725319689648472,474
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,3,0.047035184274756649,473
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,4,0.10559433861893416,474
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,5,0.031599313130693259,472
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,6,-0.061849261691769256,472
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,7,0.008758649097766141,470
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,8,0.0020062478888579049,470
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,9,0.050867986994363616,469
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,10,-0.09805698884725976,468
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,11,-0.033517031666798307,467
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,12,-0.071061335951176585,466
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,13,-0.063884752986956408,465
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,14,-0.043513340306302044,464
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,15,-0.013122369006838054,463
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,16,-0.0060810897560542266,462
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,17,-0.0038891852888173002,461
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,18,-0.023361081180644064,460
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,19,-0.012790699839380559,459
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,20,-0.033726175631936764,458
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,21,-0.046785025315098656,457
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,22,-0.029138029774525547,456
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,mean,23,-0.0026335418603952413,455
