scan_id,diameter_um,flow_mm_s,grid_scope,mode,predictor,tail_variable,tail_depth_um,controls,partial_rho,n_pairs,control_design_rank,status
D128_F01_V01,128,1,common_grid,raw,source_mean_raw,tail_mean_raw_100um,100,source_area,0.39365061681655916,486,2,ok
D128_F01_V01,128,1,common_grid,raw,source_mean_raw,tail_mean_raw_100um,100,z_top,0.46647637773831246,486,2,ok
D128_F01_V01,128,1,common_grid,raw,source_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.4084386493781606,486,3,ok
D128_F01_V01,128,1,common_grid,raw,source_mean_raw,tail_mean_raw_500um,500,source_area,0.43782431731074711,486,2,ok
D128_F01_V01,128,1,common_grid,raw,source_mean_raw,tail_mean_raw_500um,500,z_top,0.49827125334364042,486,2,ok
D128_F01_V01,128,1,common_grid,raw,source_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.43160845432802297,486,3,ok
D128_F01_V01,128,1,common_grid,raw,upper_mean_raw,tail_mean_raw_100um,100,source_area,0.18283863376934878,486,2,ok
D128_F01_V01,128,1,common_grid,raw,upper_mean_raw,tail_mean_raw_100um,100,z_top,0.25214623502884498,486,2,ok
D128_F01_V01,128,1,common_grid,raw,upper_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.19749226921514998,486,3,ok
D128_F01_V01,128,1,common_grid,raw,upper_mean_raw,tail_mean_raw_500um,500,source_area,0.18550047306437775,486,2,ok
D128_F01_V01,128,1,common_grid,raw,upper_mean_raw,tail_mean_raw_500um,500,z_top,0.236067156514458,486,2,ok
D128_F01_V01,128,1,common_grid,raw,upper_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.16964831496770424,486,3,ok
D128_F01_V01,128,1,common_grid,raw,middle_mean_raw,tail_mean_raw_100um,100,source_area,0.37315168994133213,486,2,ok
D128_F01_V01,128,1,common_grid,raw,middle_mean_raw,tail_mean_raw_100um,100,z_top,0.43762009181236305,486,2,ok
D128_F01_V01,128,1,common_grid,raw,middle_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.37961323340410508,486,3,ok
D128_F01_V01,128,1,common_grid,raw,middle_mean_raw,tail_mean_raw_500um,500,source_area,0.40237379494570491,486,2,ok
D128_F01_V01,128,1,common_grid,raw,middle_mean_raw,tail_mean_raw_500um,500,z_top,0.46329966970654546,486,2,ok
D128_F01_V01,128,1,common_grid,raw,middle_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.39629961671262742,486,3,ok
D128_F01_V01,128,1,common_grid,raw,lower_mean_raw,tail_mean_raw_100um,100,source_area,0.29998945321411558,486,2,ok
D128_F01_V01,128,1,common_grid,raw,lower_mean_raw,tail_mean_raw_100um,100,z_top,0.32672908890033492,486,2,ok
D128_F01_V01,128,1,common_grid,raw,lower_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.30027455069816422,486,3,ok
D128_F01_V01,128,1,common_grid,raw,lower_mean_raw,tail_mean_raw_500um,500,source_area,0.3671067884765627,486,2,ok
D128_F01_V01,128,1,common_grid,raw,lower_mean_raw,tail_mean_raw_500um,500,z_top,0.39169048739440154,486,2,ok
D128_F01_V01,128,1,common_grid,raw,lower_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.36769461927403913,486,3,ok
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,source_area,0.41980745134713177,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,z_top,0.47987849613401262,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.40402774425006527,486,3,ok
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_500um,500,source_area,0.47000763499130066,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_500um,500,z_top,0.53631323448953994,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_31,source_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.45309541341826226,486,3,ok
D128_F01_V01,128,1,common_grid,detrended_31,upper_mean_raw,tail_mean_raw_100um,100,source_area,0.28500410083075672,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_31,upper_mean_raw,tail_mean_raw_100um,100,z_top,0.37246261537922237,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_31,upper_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.30829527800895612,486,3,ok
D128_F01_V01,128,1,common_grid,detrended_31,upper_mean_raw,tail_mean_raw_500um,500,source_area,0.28590166521952942,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_31,upper_mean_raw,tail_mean_raw_500um,500,z_top,0.39542536673679723,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_31,upper_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.32270317924183706,486,3,ok
D128_F01_V01,128,1,common_grid,detrended_31,middle_mean_raw,tail_mean_raw_100um,100,source_area,0.36743593680203468,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_31,middle_mean_raw,tail_mean_raw_100um,100,z_top,0.41841309462565646,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_31,middle_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.34111242337628533,486,3,ok
D128_F01_V01,128,1,common_grid,detrended_31,middle_mean_raw,tail_mean_raw_500um,500,source_area,0.40891840953610065,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_31,middle_mean_raw,tail_mean_raw_500um,500,z_top,0.46133655722358563,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_31,middle_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.37455861420142622,486,3,ok
D128_F01_V01,128,1,common_grid,detrended_31,lower_mean_raw,tail_mean_raw_100um,100,source_area,0.28708184799749947,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_31,lower_mean_raw,tail_mean_raw_100um,100,z_top,0.31255399505263359,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_31,lower_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.25745078726811071,486,3,ok
D128_F01_V01,128,1,common_grid,detrended_31,lower_mean_raw,tail_mean_raw_500um,500,source_area,0.35771099960577718,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_31,lower_mean_raw,tail_mean_raw_500um,500,z_top,0.37669469838290132,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_31,lower_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.32017586616542476,486,3,ok
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,source_area,0.41094032229161942,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,z_top,0.47402204713577478,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.40445715412396888,486,3,ok
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_500um,500,source_area,0.47701275474970323,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_500um,500,z_top,0.54592210057974921,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.47273669908577332,486,3,ok
D128_F01_V01,128,1,common_grid,detrended_51,upper_mean_raw,tail_mean_raw_100um,100,source_area,0.23616742311630981,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_51,upper_mean_raw,tail_mean_raw_100um,100,z_top,0.34148273937553686,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_51,upper_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.27872156517219754,486,3,ok
D128_F01_V01,128,1,common_grid,detrended_51,upper_mean_raw,tail_mean_raw_500um,500,source_area,0.25951330352238339,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_51,upper_mean_raw,tail_mean_raw_500um,500,z_top,0.39074788813022776,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_51,upper_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.32280296452328583,486,3,ok
D128_F01_V01,128,1,common_grid,detrended_51,middle_mean_raw,tail_mean_raw_100um,100,source_area,0.35027625244671468,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_51,middle_mean_raw,tail_mean_raw_100um,100,z_top,0.4027831770259731,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_51,middle_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.32638157487776992,486,3,ok
D128_F01_V01,128,1,common_grid,detrended_51,middle_mean_raw,tail_mean_raw_500um,500,source_area,0.41033576179837411,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_51,middle_mean_raw,tail_mean_raw_500um,500,z_top,0.46119997141251412,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_51,middle_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.37774818602372484,486,3,ok
D128_F01_V01,128,1,common_grid,detrended_51,lower_mean_raw,tail_mean_raw_100um,100,source_area,0.29883229955162582,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_51,lower_mean_raw,tail_mean_raw_100um,100,z_top,0.31668091948121296,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_51,lower_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.2734508641250617,486,3,ok
D128_F01_V01,128,1,common_grid,detrended_51,lower_mean_raw,tail_mean_raw_500um,500,source_area,0.36279226180823415,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_51,lower_mean_raw,tail_mean_raw_500um,500,z_top,0.3721207422151056,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_51,lower_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.32847283113569314,486,3,ok
D128_F01_V01,128,1,common_grid,detrended_101,source_mean_raw,tail_mean_raw_100um,100,source_area,0.38089927996845241,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_101,source_mean_raw,tail_mean_raw_100um,100,z_top,0.44826744591292783,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_101,source_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.38044432589402605,486,3,ok
D128_F01_V01,128,1,common_grid,detrended_101,source_mean_raw,tail_mean_raw_500um,500,source_area,0.43602635744843793,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_101,source_mean_raw,tail_mean_raw_500um,500,z_top,0.50770429954985796,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_101,source_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.43912991152647668,486,3,ok
D128_F01_V01,128,1,common_grid,detrended_101,upper_mean_raw,tail_mean_raw_100um,100,source_area,0.22957958325421407,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_101,upper_mean_raw,tail_mean_raw_100um,100,z_top,0.33750372085656988,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_101,upper_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.27702712116085748,486,3,ok
D128_F01_V01,128,1,common_grid,detrended_101,upper_mean_raw,tail_mean_raw_500um,500,source_area,0.24476198671916649,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_101,upper_mean_raw,tail_mean_raw_500um,500,z_top,0.37253893557005668,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_101,upper_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.30896016280738703,486,3,ok
D128_F01_V01,128,1,common_grid,detrended_101,middle_mean_raw,tail_mean_raw_100um,100,source_area,0.35745003595781555,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_101,middle_mean_raw,tail_mean_raw_100um,100,z_top,0.4140583599076661,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_101,middle_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.3450714622933605,486,3,ok
D128_F01_V01,128,1,common_grid,detrended_101,middle_mean_raw,tail_mean_raw_500um,500,source_area,0.40041996595657042,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_101,middle_mean_raw,tail_mean_raw_500um,500,z_top,0.45850196427265355,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_101,middle_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.38646893384062775,486,3,ok
D128_F01_V01,128,1,common_grid,detrended_101,lower_mean_raw,tail_mean_raw_100um,100,source_area,0.26630801757412542,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_101,lower_mean_raw,tail_mean_raw_100um,100,z_top,0.27387072967422033,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_101,lower_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.24585672411507908,486,3,ok
D128_F01_V01,128,1,common_grid,detrended_101,lower_mean_raw,tail_mean_raw_500um,500,source_area,0.34608440808001983,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_101,lower_mean_raw,tail_mean_raw_500um,500,z_top,0.34559215773432461,486,2,ok
D128_F01_V01,128,1,common_grid,detrended_101,lower_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.32200013287407708,486,3,ok
D128_F03_V01,128,3,common_grid,raw,source_mean_raw,tail_mean_raw_100um,100,source_area,0.3240654432471029,468,2,ok
D128_F03_V01,128,3,common_grid,raw,source_mean_raw,tail_mean_raw_100um,100,z_top,0.38075425709624622,468,2,ok
D128_F03_V01,128,3,common_grid,raw,source_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.31947405295123832,468,3,ok
D128_F03_V01,128,3,common_grid,raw,source_mean_raw,tail_mean_raw_500um,500,source_area,0.30960055880574483,468,2,ok
D128_F03_V01,128,3,common_grid,raw,source_mean_raw,tail_mean_raw_500um,500,z_top,0.35249528226539778,468,2,ok
D128_F03_V01,128,3,common_grid,raw,source_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.27008366380603099,468,3,ok
