scan_id,diameter_um,flow_mm_s,grid_scope,mode,predictor,tail_variable,tail_depth_um,metric_family,rho,n_pairs
D128_F01_V01,128,1,common_grid,first_difference,source_mean_raw,tail_mean_raw_100um,100,mean,0.40578169175731593,475
D128_F01_V01,128,1,common_grid,first_difference,source_mean_raw,tail_mean_raw_500um,500,mean,0.46981474535183837,475
D128_F01_V01,128,1,common_grid,first_difference,source_q_raw,tail_q_raw_100um,100,q,0.32412139805955698,475
D128_F01_V01,128,1,common_grid,first_difference,source_q_raw,tail_q_raw_500um,500,q,0.38953459598363005,475
D128_F01_V01,128,1,common_grid,first_difference,upper_mean_raw,tail_mean_raw_100um,100,mean,0.27367178183731861,475
D128_F01_V01,128,1,common_grid,first_difference,upper_mean_raw,tail_mean_raw_500um,500,mean,0.28351743095639326,475
D128_F01_V01,128,1,common_grid,first_difference,upper_q_raw,tail_q_raw_100um,100,q,0.17793459822303342,475
D128_F01_V01,128,1,common_grid,first_difference,upper_q_raw,tail_q_raw_500um,500,q,0.21675555232086177,475
D128_F01_V01,128,1,common_grid,first_difference,middle_mean_raw,tail_mean_raw_100um,100,mean,0.33547954025047733,475
D128_F01_V01,128,1,common_grid,first_difference,middle_mean_raw,tail_mean_raw_500um,500,mean,0.40557790604582949,475
D128_F01_V01,128,1,common_grid,first_difference,middle_q_raw,tail_q_raw_100um,100,q,0.19489371231503932,475
D128_F01_V01,128,1,common_grid,first_difference,middle_q_raw,tail_q_raw_500um,500,q,0.21329914510774334,475
D128_F01_V01,128,1,common_grid,first_difference,lower_mean_raw,tail_mean_raw_100um,100,mean,0.25366853470235534,475
D128_F01_V01,128,1,common_grid,first_difference,lower_mean_raw,tail_mean_raw_500um,500,mean,0.29768042593453109,475
D128_F01_V01,128,1,common_grid,first_difference,lower_q_raw,tail_q_raw_100um,100,q,0.30093506289924371,475
D128_F01_V01,128,1,common_grid,first_difference,lower_q_raw,tail_q_raw_500um,500,q,0.36050957624888735,475
D128_F01_V01,128,1,common_grid,first_difference,source_area,tail_mean_raw_100um,100,area_vs_mean,-0.45158613138786224,475
D128_F01_V01,128,1,common_grid,first_difference,source_area,tail_mean_raw_500um,500,area_vs_mean,-0.53902817288217642,475
D128_F01_V01,128,1,common_grid,first_difference,source_area,tail_q_raw_100um,100,area_vs_q,0.60068671098678383,475
D128_F01_V01,128,1,common_grid,first_difference,source_area,tail_q_raw_500um,500,area_vs_q,0.89279660568577013,475
D128_F03_V01,128,3,common_grid,first_difference,source_mean_raw,tail_mean_raw_100um,100,mean,0.32537760164808133,462
D128_F03_V01,128,3,common_grid,first_difference,source_mean_raw,tail_mean_raw_500um,500,mean,0.36415640880064631,462
D128_F03_V01,128,3,common_grid,first_difference,source_q_raw,tail_q_raw_100um,100,q,0.31083617263065638,462
D128_F03_V01,128,3,common_grid,first_difference,source_q_raw,tail_q_raw_500um,500,q,0.32352595610701984,462
D128_F03_V01,128,3,common_grid,first_difference,upper_mean_raw,tail_mean_raw_100um,100,mean,0.27941624489180505,462
D128_F03_V01,128,3,common_grid,first_difference,upper_mean_raw,tail_mean_raw_500um,500,mean,0.30476599762544954,462
D128_F03_V01,128,3,common_grid,first_difference,upper_q_raw,tail_q_raw_100um,100,q,0.12659160014191567,462
D128_F03_V01,128,3,common_grid,first_difference,upper_q_raw,tail_q_raw_500um,500,q,0.12024445712596646,462
D128_F03_V01,128,3,common_grid,first_difference,middle_mean_raw,tail_mean_raw_100um,100,mean,0.30853901747301854,462
D128_F03_V01,128,3,common_grid,first_difference,middle_mean_raw,tail_mean_raw_500um,500,mean,0.31843965033153715,462
D128_F03_V01,128,3,common_grid,first_difference,middle_q_raw,tail_q_raw_100um,100,q,0.2156024988209693,462
D128_F03_V01,128,3,common_grid,first_difference,middle_q_raw,tail_q_raw_500um,500,q,0.18445576668146627,462
D128_F03_V01,128,3,common_grid,first_difference,lower_mean_raw,tail_mean_raw_100um,100,mean,0.14578185690379578,462
D128_F03_V01,128,3,common_grid,first_difference,lower_mean_raw,tail_mean_raw_500um,500,mean,0.20045310311564063,462
D128_F03_V01,128,3,common_grid,first_difference,lower_q_raw,tail_q_raw_100um,100,q,0.34924029414830232,462
D128_F03_V01,128,3,common_grid,first_difference,lower_q_raw,tail_q_raw_500um,500,q,0.4293093609163941,462
D128_F03_V01,128,3,common_grid,first_difference,source_area,tail_mean_raw_100um,100,area_vs_mean,-0.44224106929051116,462
D128_F03_V01,128,3,common_grid,first_difference,source_area,tail_mean_raw_500um,500,area_vs_mean,-0.51120622565512985,462
D128_F03_V01,128,3,common_grid,first_difference,source_area,tail_q_raw_100um,100,area_vs_q,0.64983681054984543,462
D128_F03_V01,128,3,common_grid,first_difference,source_area,tail_q_raw_500um,500,area_vs_q,0.89579857084869297,462
D128_F05_V01,128,5,common_grid,first_difference,source_mean_raw,tail_mean_raw_100um,100,mean,0.41709086889128794,486
D128_F05_V01,128,5,common_grid,first_difference,source_mean_raw,tail_mean_raw_500um,500,mean,0.45304097184817205,486
D128_F05_V01,128,5,common_grid,first_difference,source_q_raw,tail_q_raw_100um,100,q,0.29646862722499373,486
D128_F05_V01,128,5,common_grid,first_difference,source_q_raw,tail_q_raw_500um,500,q,0.30883369804035632,486
D128_F05_V01,128,5,common_grid,first_difference,upper_mean_raw,tail_mean_raw_100um,100,mean,0.33197622073621419,486
D128_F05_V01,128,5,common_grid,first_difference,upper_mean_raw,tail_mean_raw_500um,500,mean,0.35666162009367125,486
D128_F05_V01,128,5,common_grid,first_difference,upper_q_raw,tail_q_raw_100um,100,q,0.18873174210783669,486
