scan_id,diameter_um,flow_mm_s,grid_scope,valid_frames,nominal_frames,invalid_geometry_frames
D128_F01_V01,128,1,common_grid,486,500,14
D128_F03_V01,128,3,common_grid,468,500,32
D128_F05_V01,128,5,common_grid,491,500,9
D128_F07_V01,128,7,common_grid,493,500,7
D128_F10_V01,128,10,common_grid,484,500,16
D235_F01_V01,235,1,common_grid,448,500,52
D235_F03_V01,235,3,common_grid,448,500,52
D235_F05_V01,235,5,common_grid,424,500,76
D235_F07_V01,235,7,common_grid,444,500,56
D235_F10_V01,235,10,common_grid,461,500,39
D285_F01_V01,285,1,common_grid,453,500,47
D285_F03_V01,285,3,common_grid,474,500,26
D285_F05_V01,285,5,common_grid,492,500,8
D285_F07_V01,285,7,common_grid,458,500,42
D285_F10_V01,285,10,common_grid,494,500,6
D500_F01_V01,500,1,common_grid,500,500,0
D500_F02_V01,500,2,d500_extension,493,500,7
D500_F03_V01,500,3,common_grid,490,500,10
D500_F05_V01,500,5,common_grid,471,500,29
D500_F07_V01,500,7,common_grid,477,500,23
D500_F09_V01,500,9,d500_extension,482,500,18
D500_F10_V01,500,10,common_grid,500,500,0
D500_F12_V01,500,12,d500_extension,500,500,0
