scan_id,diameter_um,flow_mm_s,grid_scope,n_valid,n_adjacent_valid_pairs
D128_F01_V01,128,1,common_grid,486,475
D128_F03_V01,128,3,common_grid,468,462
D128_F05_V01,128,5,common_grid,491,486
D128_F07_V01,128,7,common_grid,493,487
D128_F10_V01,128,10,common_grid,484,480
D235_F01_V01,235,1,common_grid,448,414
D235_F03_V01,235,3,common_grid,448,411
D235_F05_V01,235,5,common_grid,424,382
D235_F07_V01,235,7,common_grid,444,410
D235_F10_V01,235,10,common_grid,461,448
D285_F01_V01,285,1,common_grid,453,449
D285_F03_V01,285,3,common_grid,474,472
D285_F05_V01,285,5,common_grid,492,485
D285_F07_V01,285,7,common_grid,458,451
D285_F10_V01,285,10,common_grid,494,492
D500_F01_V01,500,1,common_grid,500,499
D500_F02_V01,500,2,d500_extension,493,490
D500_F03_V01,500,3,common_grid,490,488
D500_F05_V01,500,5,common_grid,471,470
D500_F07_V01,500,7,common_grid,477,475
D500_F09_V01,500,9,d500_extension,482,481
D500_F10_V01,500,10,common_grid,500,499
D500_F12_V01,500,12,d500_extension,500,499
