scan_id,diameter_um,flow_mm_s,grid_scope,mode,predictor,tail_variable,tail_depth_um,metric_family,rho,n_pairs
D128_F01_V01,128,1,common_grid,raw,source_mean_raw,tail_mean_raw_100um,100,mean,0.45449645472366801,486
D128_F01_V01,128,1,common_grid,raw,source_mean_raw,tail_mean_raw_500um,500,mean,0.50684271914893497,486
D128_F01_V01,128,1,common_grid,raw,source_q_raw,tail_q_raw_100um,100,q,0.43835682956042538,486
D128_F01_V01,128,1,common_grid,raw,source_q_raw,tail_q_raw_500um,500,q,0.47619708448684495,486
D128_F01_V01,128,1,common_grid,raw,source_area,tail_mean_raw_100um,100,area_vs_mean,-0.29321719780345756,486
D128_F01_V01,128,1,common_grid,raw,source_area,tail_mean_raw_500um,500,area_vs_mean,-0.35534339787942831,486
D128_F01_V01,128,1,common_grid,raw,source_area,tail_q_raw_100um,100,area_vs_q,0.53259577303854622,486
D128_F01_V01,128,1,common_grid,raw,source_area,tail_q_raw_500um,500,area_vs_q,0.80725112436218727,486
D128_F03_V01,128,3,common_grid,raw,source_mean_raw,tail_mean_raw_100um,100,mean,0.38589624763679536,468
D128_F03_V01,128,3,common_grid,raw,source_mean_raw,tail_mean_raw_500um,500,mean,0.38866600709420862,468
D128_F03_V01,128,3,common_grid,raw,source_q_raw,tail_q_raw_100um,100,q,0.41077327436750866,468
D128_F03_V01,128,3,common_grid,raw,source_q_raw,tail_q_raw_500um,500,q,0.41176204770439156,468
D128_F03_V01,128,3,common_grid,raw,source_area,tail_mean_raw_100um,100,area_vs_mean,-0.26421060352081449,468
D128_F03_V01,128,3,common_grid,raw,source_area,tail_mean_raw_500um,500,area_vs_mean,-0.32382973415189675,468
D128_F03_V01,128,3,common_grid,raw,source_area,tail_q_raw_100um,100,area_vs_q,0.53915963888937835,468
D128_F03_V01,128,3,common_grid,raw,source_area,tail_q_raw_500um,500,area_vs_q,0.78026823101156595,468
D128_F05_V01,128,5,common_grid,raw,source_mean_raw,tail_mean_raw_100um,100,mean,0.43590228898672878,491
D128_F05_V01,128,5,common_grid,raw,source_mean_raw,tail_mean_raw_500um,500,mean,0.50113156782259871,491
D128_F05_V01,128,5,common_grid,raw,source_q_raw,tail_q_raw_100um,100,q,0.41976452197291414,491
D128_F05_V01,128,5,common_grid,raw,source_q_raw,tail_q_raw_500um,500,q,0.4466143697556515,491
D128_F05_V01,128,5,common_grid,raw,source_area,tail_mean_raw_100um,100,area_vs_mean,-0.34296053251182007,491
D128_F05_V01,128,5,common_grid,raw,source_area,tail_mean_raw_500um,500,area_vs_mean,-0.35909890045570964,491
D128_F05_V01,128,5,common_grid,raw,source_area,tail_q_raw_100um,100,area_vs_q,0.44619210979234331,491
D128_F05_V01,128,5,common_grid,raw,source_area,tail_q_raw_500um,500,area_vs_q,0.77871552744264805,491
D128_F07_V01,128,7,common_grid,raw,source_mean_raw,tail_mean_raw_100um,100,mean,0.42744938470071064,493
D128_F07_V01,128,7,common_grid,raw,source_mean_raw,tail_mean_raw_500um,500,mean,0.49393694000994659,493
D128_F07_V01,128,7,common_grid,raw,source_q_raw,tail_q_raw_100um,100,q,0.4494245596141978,493
D128_F07_V01,128,7,common_grid,raw,source_q_raw,tail_q_raw_500um,500,q,0.51298038240912414,493
D128_F07_V01,128,7,common_grid,raw,source_area,tail_mean_raw_100um,100,area_vs_mean,-0.3428641168331158,493
D128_F07_V01,128,7,common_grid,raw,source_area,tail_mean_raw_500um,500,area_vs_mean,-0.33884226651373506,493
D128_F07_V01,128,7,common_grid,raw,source_area,tail_q_raw_100um,100,area_vs_q,0.51696956346530809,493
D128_F07_V01,128,7,common_grid,raw,source_area,tail_q_raw_500um,500,area_vs_q,0.80354640431426627,493
D128_F10_V01,128,10,common_grid,raw,source_mean_raw,tail_mean_raw_100um,100,mean,0.41624696968814978,484
D128_F10_V01,128,10,common_grid,raw,source_mean_raw,tail_mean_raw_500um,500,mean,0.47738758938791537,484
D128_F10_V01,128,10,common_grid,raw,source_q_raw,tail_q_raw_100um,100,q,0.41511660581788123,484
D128_F10_V01,128,10,common_grid,raw,source_q_raw,tail_q_raw_500um,500,q,0.43920383434665655,484
D128_F10_V01,128,10,common_grid,raw,source_area,tail_mean_raw_100um,100,area_vs_mean,-0.28515352980089509,484
D128_F10_V01,128,10,common_grid,raw,source_area,tail_mean_raw_500um,500,area_vs_mean,-0.33316234204119305,484
D128_F10_V01,128,10,common_grid,raw,source_area,tail_q_raw_100um,100,area_vs_q,0.52799548275389885,484
D128_F10_V01,128,10,common_grid,raw,source_area,tail_q_raw_500um,500,area_vs_q,0.799703329573625,484
D235_F01_V01,235,1,common_grid,raw,source_mean_raw,tail_mean_raw_100um,100,mean,0.11382690734923885,448
D235_F01_V01,235,1,common_grid,raw,source_mean_raw,tail_mean_raw_500um,500,mean,0.15716426404046918,448
D235_F01_V01,235,1,common_grid,raw,source_q_raw,tail_q_raw_100um,100,q,0.20357225602008938,448
D235_F01_V01,235,1,common_grid,raw,source_q_raw,tail_q_raw_500um,500,q,0.25856315942319891,448
D235_F01_V01,235,1,common_grid,raw,source_area,tail_mean_raw_100um,100,area_vs_mean,-0.059177900142249718,448
D235_F01_V01,235,1,common_grid,raw,source_area,tail_mean_raw_500um,500,area_vs_mean,0.027727582979480383,448
D235_F01_V01,235,1,common_grid,raw,source_area,tail_q_raw_100um,100,area_vs_q,0.49516475354153816,448
D235_F01_V01,235,1,common_grid,raw,source_area,tail_q_raw_500um,500,area_vs_q,0.73484741443585866,448
D235_F03_V01,235,3,common_grid,raw,source_mean_raw,tail_mean_raw_100um,100,mean,0.17969195420952494,448
D235_F03_V01,235,3,common_grid,raw,source_mean_raw,tail_mean_raw_500um,500,mean,0.18932132127002158,448
D235_F03_V01,235,3,common_grid,raw,source_q_raw,tail_q_raw_100um,100,q,0.21828375937152339,448
D235_F03_V01,235,3,common_grid,raw,source_q_raw,tail_q_raw_500um,500,q,0.25528632926691253,448
D235_F03_V01,235,3,common_grid,raw,source_area,tail_mean_raw_100um,100,area_vs_mean,-0.041929915401290763,448
D235_F03_V01,235,3,common_grid,raw,source_area,tail_mean_raw_500um,500,area_vs_mean,0.056519113980473913,448
D235_F03_V01,235,3,common_grid,raw,source_area,tail_q_raw_100um,100,area_vs_q,0.52276513479564291,448
D235_F03_V01,235,3,common_grid,raw,source_area,tail_q_raw_500um,500,area_vs_q,0.77969650915878042,448
D235_F05_V01,235,5,common_grid,raw,source_mean_raw,tail_mean_raw_100um,100,mean,0.27094434080336272,424
D235_F05_V01,235,5,common_grid,raw,source_mean_raw,tail_mean_raw_500um,500,mean,0.24530348470178923,424
D235_F05_V01,235,5,common_grid,raw,source_q_raw,tail_q_raw_100um,100,q,0.32418699474972651,424
D235_F05_V01,235,5,common_grid,raw,source_q_raw,tail_q_raw_500um,500,q,0.3333572626160059,424
D235_F05_V01,235,5,common_grid,raw,source_area,tail_mean_raw_100um,100,area_vs_mean,-0.097231618833334935,424
D235_F05_V01,235,5,common_grid,raw,source_area,tail_mean_raw_500um,500,area_vs_mean,0.12250801872691001,424
D235_F05_V01,235,5,common_grid,raw,source_area,tail_q_raw_100um,100,area_vs_q,0.58593130193349363,424
D235_F05_V01,235,5,common_grid,raw,source_area,tail_q_raw_500um,500,area_vs_q,0.87056808716784828,424
D235_F07_V01,235,7,common_grid,raw,source_mean_raw,tail_mean_raw_100um,100,mean,0.25396411705793598,444
D235_F07_V01,235,7,common_grid,raw,source_mean_raw,tail_mean_raw_500um,500,mean,0.29295770013552241,444
D235_F07_V01,235,7,common_grid,raw,source_q_raw,tail_q_raw_100um,100,q,0.35142483645793554,444
