file_name,relative_path_from_RAW_ROOT,extension,size_bytes,sha256,last_modified_time,inferred_asset_type,oct_header_status,NumberOfFrames,Rows,Columns,pixel_spacing,dicom_header_status
1.oct,0.5mm/1.oct,.oct,1536021062,f68b2efc64b987cc976211622ba03e5bb0c291ccf93528848e5ca6add228bb21,2026-09-07T05:19:55.380680+00:00,raw_oct,readable,,,,,
1.oct-Flow_ed.dcm,0.5mm/1.oct-Flow_ed.dcm,.dcm,175505836,c2c8e87544e703d0243f5222d20fbd8b541bceec758ad6db0b5f13488cb197d0,2026-09-07T08:53:33.447811+00:00,localization_flow_dicom,,500,351,500,,readable
10.oct,0.5mm/10.oct,.oct,1536021062,b6b588d3c638c60136f373fed2a401ccea7d3fef4f207e890f4c8d2bc5454cb8,2026-09-07T05:21:03.148728+00:00,raw_oct,readable,,,,,
10.oct-Flow_ed.dcm,0.5mm/10.oct-Flow_ed.dcm,.dcm,175505836,519952033a443217fd6476e224c156da1ee2c5b0d81a9eeee49c0f9d9b408541,2026-09-07T08:53:44.407825+00:00,localization_flow_dicom,,500,351,500,,readable
12.oct,0.5mm/12.oct,.oct,1536021062,e2827af6d64f71674118a8fbf93389ee3356eb4032ca12e563b3cbd56d4cca0a,2026-09-07T08:55:01.326532+00:00,raw_oct,readable,,,,,
12.oct-Flow_ed.dcm,0.5mm/12.oct-Flow_ed.dcm,.dcm,175505836,d97c92314df83dfdcf9e172cbfa4ce6d5d7534bfc4834d1d5f351a2cdcd0c5f6,2026-06-03T15:10:42.281626+00:00,localization_flow_dicom,,500,351,500,,readable
2.oct,0.5mm/2.oct,.oct,1536021062,02ca16a1316292e8a6bd13c38833bf3ce0fee3e38a84971dcab20c58cd20910b,2026-09-07T08:54:27.682069+00:00,raw_oct,readable,,,,,
2.oct-Flow_ed.dcm,0.5mm/2.oct-Flow_ed.dcm,.dcm,175505836,3f4aefdfd0db9a405cd97f7e5e72e3b8e165cb81e3c14f3db4be9ba3a7a8ceb2,2026-06-03T15:10:26.245601+00:00,localization_flow_dicom,,500,351,500,,readable
3.oct,0.5mm/3.oct,.oct,1536021062,8075d802f338b86a2e0fe5fb0230ec9ad08a5ad5a246b1d6fea1f1fb32ada9a6,2026-09-07T05:20:25.247295+00:00,raw_oct,readable,,,,,
3.oct-Flow_ed.dcm,0.5mm/3.oct-Flow_ed.dcm,.dcm,175505834,14d906c37ba0520323e55a373da9d5747a917e5fa4a94c498cf801f4efb795f2,2026-09-07T08:53:36.673594+00:00,localization_flow_dicom,,500,351,500,,readable
5.oct,0.5mm/5.oct,.oct,1536021062,316335b1f0a82786aab7040c43ed4695f7155ca0853b3dee32313813050e9d7f,2026-09-07T08:54:32.745954+00:00,raw_oct,readable,,,,,
5.oct-Flow_ed.dcm,0.5mm/5.oct-Flow_ed.dcm,.dcm,175505836,83b491c410113b85d3768a928d12a4b417ac34355adbf73b8937398ec712dab0,2026-06-03T15:10:32.124547+00:00,localization_flow_dicom,,500,351,500,,readable
7.oct,0.5mm/7.oct,.oct,1536021062,7fa5d28d2bcace886aa0836a2d6cb4638236c678dd4bd94ddc0810a3fbbc1969,2026-09-07T05:21:08.203698+00:00,raw_oct,readable,,,,,
7.oct-Flow_ed.dcm,0.5mm/7.oct-Flow_ed.dcm,.dcm,175505836,d332a4614d90ba199c1bc23df34c2643683607974ec09b5712ae9462fb05454d,2026-09-07T08:53:41.407918+00:00,localization_flow_dicom,,500,351,500,,readable
9.oct,0.5mm/9.oct,.oct,1536021062,67c56daf9569097bb8f5469752971542488a8f860bfe629ded878dac80e357b0,2026-09-07T08:54:54.074162+00:00,raw_oct,readable,,,,,
9.oct-Flow_ed.dcm,0.5mm/9.oct-Flow_ed.dcm,.dcm,175505836,47af8c29ef49c9a51a2549337d7741f4395faafb52b0b6e4800a81a5dc58af53,2026-06-03T15:10:36.728468+00:00,localization_flow_dicom,,500,351,500,,readable
1.oct,128/1.oct,.oct,1536021062,ac8af862695d65c416ffd5503c04c2b9eb868fc822871d1057151b56235dcbd0,2026-03-13T08:25:40+00:00,raw_oct,readable,,,,,
1.oct-Flow_ed.dcm,128/1.oct-Flow_ed.dcm,.dcm,175505836,ffc3bde86c3e4b36b54c3089327a10f1833418b1fb0b84ee2e4fe05e1a030d37,2026-03-13T08:16:20+00:00,localization_flow_dicom,,500,351,500,,readable
1.oct-Stru.dcm,128/1.oct-Stru.dcm,.dcm,175505836,b6159cd74d7239150276fd26860bd70744312c49a234e22cebce14c237b058a7,2026-03-13T08:17:57+00:00,other_dicom,,500,351,500,,readable
10.oct,128/10.oct,.oct,1536021062,f7e0c352514c236a4f5ccf4a811e421222a108ecbaeaf400fc5b0ea57a4e3fa5,2026-03-13T08:26:45+00:00,raw_oct,readable,,,,,
10.oct-Flow_ed.dcm,128/10.oct-Flow_ed.dcm,.dcm,175505836,5d0428f6f13c0aded385e97d76b152ba373e4bee5e7d00942c0af42427c0819c,2026-03-13T08:19:38+00:00,localization_flow_dicom,,500,351,500,,readable
10.oct-Stru.dcm,128/10.oct-Stru.dcm,.dcm,175505836,97c80529e5f21fa6e57316e0ca2ebf33e95ee177a353d64100e7e28a7d66fd31,2026-03-13T08:20:45+00:00,other_dicom,,500,351,500,,readable
3.oct,128/3.oct,.oct,1536021062,e989a8257a7fafda8d6e9ad2b1fef0c94807ae323683bc6e918c88bc2cce38f3,2026-03-13T08:28:58+00:00,raw_oct,readable,,,,,
3.oct-Flow_ed.dcm,128/3.oct-Flow_ed.dcm,.dcm,175505836,8a17755ea23b8d9283caa3467a200f47bc1b62db89b4c687e56d622403c0c8ba,2026-03-13T08:21:47+00:00,localization_flow_dicom,,500,351,500,,readable
3.oct-Stru.dcm,128/3.oct-Stru.dcm,.dcm,175505836,8062fef760e17b03ddb960e230998e003ed3ddc05046f86846e02dd6c8102d22,2026-03-13T08:22:45+00:00,other_dicom,,500,351,500,,readable
5.oct,128/5.oct,.oct,1536021062,e4739d3b26e250fa1159b0fa28b7a9a962626f0cc9239b7cd8bd74aa662ba0d2,2026-03-13T08:30:43+00:00,raw_oct,readable,,,,,
5.oct-Flow_ed.dcm,128/5.oct-Flow_ed.dcm,.dcm,175505834,19921fb413bf733191a363e591dd25190ebe29ecdb7b28fd97e533303756e0ad,2026-03-13T08:23:50+00:00,localization_flow_dicom,,500,351,500,,readable
5.oct-Stru.dcm,128/5.oct-Stru.dcm,.dcm,175505836,8554c171915d87333dc4534310c53c3a4baf7162b292658fd2f41b1de40ec044,2026-03-13T08:25:11+00:00,other_dicom,,500,351,500,,readable
7.oct,128/7.oct,.oct,1536021062,96b8d8f7b1ec9341013d635a98e75554e7e5595ff5194d5f996808fa1207bdd4,2026-03-13T08:31:08+00:00,raw_oct,readable,,,,,
7.oct-Flow_ed.dcm,128/7.oct-Flow_ed.dcm,.dcm,175505836,f1e43b9ed8c7a2c9cc214cd00b6be458538101ed31b9943be04789e40861c226,2026-03-13T08:26:40+00:00,localization_flow_dicom,,500,351,500,,readable
7.oct-Stru.dcm,128/7.oct-Stru.dcm,.dcm,175505836,70e0cfc43756a544a2e4765cf5ac316828873457baf3c4e094a5fc990ce0dfaa,2026-03-13T08:27:45+00:00,other_dicom,,500,351,500,,readable
1.oct,235/1.oct,.oct,1536021062,08e9734543e59ba1a3782dc120cdee68086535efb15168a22cb6646f8200186a,2026-09-07T05:22:42.180848+00:00,raw_oct,readable,,,,,
1.oct-Flow_ed.dcm,235/1.oct-Flow_ed.dcm,.dcm,175505836,79ebd73d2a5f43df9268124854a12fc8194db58ef6c5a90dfaa6c86ec201c55d,2026-09-07T08:52:49.679960+00:00,localization_flow_dicom,,500,351,500,,readable
10.oct,235/10.oct,.oct,1536021062,d586fceb7bb58c1bc5644fbae9f8e5575acd82dd640602400c561482c260efd4,2026-09-07T05:22:54.046721+00:00,raw_oct,readable,,,,,
10.oct-Flow_ed.dcm,235/10.oct-Flow_ed.dcm,.dcm,175505834,9bb0541b522a674448c66e90313bf8da333e2f950d03187b797dfdd22c767047,2026-09-07T08:38:27.065125+00:00,localization_flow_dicom,,500,351,500,,readable
3.oct,235/3.oct,.oct,1536021062,7b69d50a0cde64fde1ae87f8af41db49ed6ba3dd4f359775dab2fb70f779d6d9,2026-09-07T05:24:10.575392+00:00,raw_oct,readable,,,,,
3.oct-Flow_ed.dcm,235/3.oct-Flow_ed.dcm,.dcm,175505836,6c1e955ef4140fe34774edeba91659d9d21964cab0bf07b5f846d658cc6bcf57,2026-04-23T12:14:15.062365+00:00,localization_flow_dicom,,500,351,500,,readable
5.oct,235/5.oct,.oct,1536021062,5368ef2787df07363b5ff0ea91e29ab5b996fb49b173a09484dae663f89374bc,2026-09-07T05:24:07.272360+00:00,raw_oct,readable,,,,,
