diameter_um,flow_speed_mm_s,diameter_source,flow_source,independent_volume,oct_relative_path,oct_size_bytes,oct_sha256,flow_dicom_relative_path,flow_dicom_size_bytes,flow_dicom_sha256,dx_um,dz_um,bscan_count,alines_per_bscan,repeat_count,spectral_samples,acquisition_metadata_status,calibration_source,calibration_evidence,pairing_status,pairing_method,metadata_inference_notes,scan_id,volume_index,legacy_scan_id,existing_d128_reference
500.0,1.0,parent_directory_name;experiment_naming_note,oct_filename;experiment_naming_note,True,0.5mm/1.oct,1536021062,f68b2efc64b987cc976211622ba03e5bb0c291ccf93528848e5ca6add228bb21,0.5mm/1.oct-Flow_ed.dcm,175505836,c2c8e87544e703d0243f5222d20fbd8b541bceec758ad6db0b5f13488cb197d0,12.7,6.7,500,500,3,1024,complete,inherited_project_acquisition_calibration,"OCT spectral, repeat, scan-span and dimension signature matches D128; Flow dimensions agree; calibration not independently measured",complete,exact_companion,Experiment naming note; OCT header; B-scans are spatial samples nested within acquisition,D500_F01_V01,1,,False
500.0,10.0,parent_directory_name;experiment_naming_note,oct_filename;experiment_naming_note,True,0.5mm/10.oct,1536021062,b6b588d3c638c60136f373fed2a401ccea7d3fef4f207e890f4c8d2bc5454cb8,0.5mm/10.oct-Flow_ed.dcm,175505836,519952033a443217fd6476e224c156da1ee2c5b0d81a9eeee49c0f9d9b408541,12.7,6.7,500,500,3,1024,complete,inherited_project_acquisition_calibration,"OCT spectral, repeat, scan-span and dimension signature matches D128; Flow dimensions agree; calibration not independently measured",complete,exact_companion,Experiment naming note; OCT header; B-scans are spatial samples nested within acquisition,D500_F10_V01,1,,False
500.0,12.0,parent_directory_name;experiment_naming_note,oct_filename;experiment_naming_note,True,0.5mm/12.oct,1536021062,e2827af6d64f71674118a8fbf93389ee3356eb4032ca12e563b3cbd56d4cca0a,0.5mm/12.oct-Flow_ed.dcm,175505836,d97c92314df83dfdcf9e172cbfa4ce6d5d7534bfc4834d1d5f351a2cdcd0c5f6,12.7,6.7,500,500,3,1024,complete,inherited_project_acquisition_calibration,"OCT spectral, repeat, scan-span and dimension signature matches D128; Flow dimensions agree; calibration not independently measured",complete,exact_companion,Experiment naming note; OCT header; B-scans are spatial samples nested within acquisition,D500_F12_V01,1,,False
500.0,2.0,parent_directory_name;experiment_naming_note,oct_filename;experiment_naming_note,True,0.5mm/2.oct,1536021062,02ca16a1316292e8a6bd13c38833bf3ce0fee3e38a84971dcab20c58cd20910b,0.5mm/2.oct-Flow_ed.dcm,175505836,3f4aefdfd0db9a405cd97f7e5e72e3b8e165cb81e3c14f3db4be9ba3a7a8ceb2,12.7,6.7,500,500,3,1024,complete,inherited_project_acquisition_calibration,"OCT spectral, repeat, scan-span and dimension signature matches D128; Flow dimensions agree; calibration not independently measured",complete,exact_companion,Experiment naming note; OCT header; B-scans are spatial samples nested within acquisition,D500_F02_V01,1,,False
500.0,3.0,parent_directory_name;experiment_naming_note,oct_filename;experiment_naming_note,True,0.5mm/3.oct,1536021062,8075d802f338b86a2e0fe5fb0230ec9ad08a5ad5a246b1d6fea1f1fb32ada9a6,0.5mm/3.oct-Flow_ed.dcm,175505834,14d906c37ba0520323e55a373da9d5747a917e5fa4a94c498cf801f4efb795f2,12.7,6.7,500,500,3,1024,complete,inherited_project_acquisition_calibration,"OCT spectral, repeat, scan-span and dimension signature matches D128; Flow dimensions agree; calibration not independently measured",complete,exact_companion,Experiment naming note; OCT header; B-scans are spatial samples nested within acquisition,D500_F03_V01,1,,False
500.0,5.0,parent_directory_name;experiment_naming_note,oct_filename;experiment_naming_note,True,0.5mm/5.oct,1536021062,316335b1f0a82786aab7040c43ed4695f7155ca0853b3dee32313813050e9d7f,0.5mm/5.oct-Flow_ed.dcm,175505836,83b491c410113b85d3768a928d12a4b417ac34355adbf73b8937398ec712dab0,12.7,6.7,500,500,3,1024,complete,inherited_project_acquisition_calibration,"OCT spectral, repeat, scan-span and dimension signature matches D128; Flow dimensions agree; calibration not independently measured",complete,exact_companion,Experiment naming note; OCT header; B-scans are spatial samples nested within acquisition,D500_F05_V01,1,,False
500.0,7.0,parent_directory_name;experiment_naming_note,oct_filename;experiment_naming_note,True,0.5mm/7.oct,1536021062,7fa5d28d2bcace886aa0836a2d6cb4638236c678dd4bd94ddc0810a3fbbc1969,0.5mm/7.oct-Flow_ed.dcm,175505836,d332a4614d90ba199c1bc23df34c2643683607974ec09b5712ae9462fb05454d,12.7,6.7,500,500,3,1024,complete,inherited_project_acquisition_calibration,"OCT spectral, repeat, scan-span and dimension signature matches D128; Flow dimensions agree; calibration not independently measured",complete,exact_companion,Experiment naming note; OCT header; B-scans are spatial samples nested within acquisition,D500_F07_V01,1,,False
500.0,9.0,parent_directory_name;experiment_naming_note,oct_filename;experiment_naming_note,True,0.5mm/9.oct,1536021062,67c56daf9569097bb8f5469752971542488a8f860bfe629ded878dac80e357b0,0.5mm/9.oct-Flow_ed.dcm,175505836,47af8c29ef49c9a51a2549337d7741f4395faafb52b0b6e4800a81a5dc58af53,12.7,6.7,500,500,3,1024,complete,inherited_project_acquisition_calibration,"OCT spectral, repeat, scan-span and dimension signature matches D128; Flow dimensions agree; calibration not independently measured",complete,exact_companion,Experiment naming note; OCT header; B-scans are spatial samples nested within acquisition,D500_F09_V01,1,,False
128.0,1.0,parent_directory_name;experiment_naming_note,oct_filename;experiment_naming_note,True,128/1.oct,1536021062,ac8af862695d65c416ffd5503c04c2b9eb868fc822871d1057151b56235dcbd0,128/1.oct-Flow_ed.dcm,175505836,ffc3bde86c3e4b36b54c3089327a10f1833418b1fb0b84ee2e4fe05e1a030d37,12.7,6.7,500,500,3,1024,complete,inherited_project_acquisition_calibration,"OCT spectral, repeat, scan-span and dimension signature matches D128; Flow dimensions agree; calibration not independently measured",complete,exact_companion,Experiment naming note; OCT header; B-scans are spatial samples nested within acquisition,D128_F01_V01,1,flow01,True
128.0,10.0,parent_directory_name;experiment_naming_note,oct_filename;experiment_naming_note,True,128/10.oct,1536021062,f7e0c352514c236a4f5ccf4a811e421222a108ecbaeaf400fc5b0ea57a4e3fa5,128/10.oct-Flow_ed.dcm,175505836,5d0428f6f13c0aded385e97d76b152ba373e4bee5e7d00942c0af42427c0819c,12.7,6.7,500,500,3,1024,complete,inherited_project_acquisition_calibration,"OCT spectral, repeat, scan-span and dimension signature matches D128; Flow dimensions agree; calibration not independently measured",complete,exact_companion,Experiment naming note; OCT header; B-scans are spatial samples nested within acquisition,D128_F10_V01,1,flow10,True
