scan_id,source_file,vessel_id,phantom_id,session_id,diameter_um,flow_speed_mm_s,position_label,dx_um,dz_um,bscan_index,slow_axis_position_um,temporal_repeat_id,temporal_repeat_count,scan_time_interval_s,acquisition_order,reconstruction_version,x_anchor_center_px,z_anchor_center_px,geometry_source,background_excluded_side,background_exclusion_reason,notes
flow01,,,,,128,1,front,12.7,6.7,,,,,,,,,,mentor_tracking,,,
flow01,,,,,128,1,middle,12.7,6.7,,,,,,,,,,mentor_tracking,,,
flow01,,,,,128,1,rear,12.7,6.7,,,,,,,,,,mentor_tracking,,,
flow03,,,,,128,3,front,12.7,6.7,,,,,,,,,,mentor_tracking,,,
flow03,,,,,128,3,middle,12.7,6.7,,,,,,,,,,mentor_tracking,,,
flow03,,,,,128,3,rear,12.7,6.7,,,,,,,,,,mentor_tracking,,,
flow05,,,,,128,5,front,12.7,6.7,,,,,,,,,,mentor_tracking,,,
flow05,,,,,128,5,middle,12.7,6.7,,,,,,,,,,mentor_tracking,,,
flow05,,,,,128,5,rear,12.7,6.7,,,,,,,,,,mentor_tracking,,,
flow07,,,,,128,7,front,12.7,6.7,,,,,,,,,,mentor_tracking,,,
flow07,,,,,128,7,middle,12.7,6.7,,,,,,,,,,mentor_tracking,,,
flow07,,,,,128,7,rear,12.7,6.7,,,,,,,,,,mentor_tracking,,,
flow10,,,,,128,10,front,12.7,6.7,,,,,,,,,,mentor_tracking,,,
flow10,,,,,128,10,middle,12.7,6.7,,,,,,,,,,mentor_tracking,,,
flow10,,,,,128,10,rear,12.7,6.7,,,,,,,,,,mentor_tracking,,,
