scan_id,z_index_0based,z_um,r_um,distance_from_vessel_bottom_um,V,B_left,B_right,B,B_standard_deviation,B_median_diagnostic,B_scaled_mad_diagnostic,background_mode,T,P,tail_z_fraction,background_left_valid_count,background_right_valid_count,region,validity
synthetic_demo,0,0.0,-325.65,-325.65,5.0,5.0,5.0,5.0,0.0,5.0,0.0,bilateral,0.0,0.0,0.0,5,5,other,valid
synthetic_demo,1,6.7,-318.95,-318.95,5.001,5.001,5.001,5.0009999999999994,8.881784197001252e-16,5.001,0.0,bilateral,8.881784197001252e-16,1.127986593019159e-13,0.0,5,5,other,valid
synthetic_demo,2,13.4,-312.25,-312.25,5.002,5.002,5.002,5.002000000000001,8.881784197001252e-16,5.002,0.0,bilateral,-8.881784197001252e-16,-1.127986593019159e-13,0.0,5,5,other,valid
synthetic_demo,3,20.1,-305.55,-305.55,5.003,5.003,5.003,5.003,0.0,5.003,0.0,bilateral,0.0,0.0,0.0,5,5,other,valid
synthetic_demo,4,26.8,-298.85,-298.85,5.004,5.004,5.004,5.003999999999999,8.881784197001252e-16,5.004,0.0,bilateral,8.881784197001252e-16,1.127986593019159e-13,0.0,5,5,other,valid
synthetic_demo,5,33.5,-292.15,-292.15,5.005,5.005,5.005,5.005000000000001,8.881784197001252e-16,5.005,0.0,bilateral,-8.881784197001252e-16,-1.127986593019159e-13,0.0,5,5,other,valid
synthetic_demo,6,40.2,-285.45,-285.45,5.006,5.006,5.006,5.006,0.0,5.006,0.0,bilateral,0.0,0.0,0.0,5,5,other,valid
synthetic_demo,7,46.9,-278.75,-278.75,5.007,5.007,5.007,5.006999999999999,8.881784197001252e-16,5.007,0.0,bilateral,8.881784197001252e-16,1.127986593019159e-13,0.0,5,5,other,valid
synthetic_demo,8,53.6,-272.05,-272.05,5.008,5.008,5.008,5.008000000000001,8.881784197001252e-16,5.008,0.0,bilateral,-8.881784197001252e-16,-1.127986593019159e-13,0.0,5,5,other,valid
synthetic_demo,9,60.300000000000004,-265.35,-265.35,5.009,5.009,5.009,5.009,0.0,5.009,0.0,bilateral,0.0,0.0,0.0,5,5,other,valid
synthetic_demo,10,67.0,-258.65,-258.65,5.01,5.01,5.01,5.009999999999999,8.881784197001252e-16,5.01,0.0,bilateral,8.881784197001252e-16,1.127986593019159e-13,0.0,5,5,other,valid
synthetic_demo,11,73.7,-251.95,-251.95,5.011,5.011,5.011,5.011000000000001,8.881784197001252e-16,5.011,0.0,bilateral,-8.881784197001252e-16,-1.127986593019159e-13,0.0,5,5,other,valid
synthetic_demo,12,80.4,-245.25,-245.25,5.011999999999999,5.012,5.012,5.012,0.0,5.012,0.0,bilateral,-8.881784197001252e-16,0.0,0.0,5,5,other,valid
synthetic_demo,13,87.10000000000001,-238.54999999999998,-238.54999999999998,5.013,5.013,5.013,5.012999999999999,8.881784197001252e-16,5.013,0.0,bilateral,8.881784197001252e-16,1.127986593019159e-13,0.0,5,5,other,valid
synthetic_demo,14,93.8,-231.85,-231.85,5.014,5.014,5.014,5.014000000000001,8.881784197001252e-16,5.014,0.0,bilateral,-8.881784197001252e-16,-1.127986593019159e-13,0.0,5,5,other,valid
synthetic_demo,15,100.5,-225.15,-225.15,5.014999999999999,5.015,5.015,5.015,0.0,5.015,0.0,bilateral,-8.881784197001252e-16,0.0,0.0,5,5,other,valid
synthetic_demo,16,107.2,-218.45,-218.45,5.016,5.016,5.016,5.015999999999999,8.881784197001252e-16,5.016,0.0,bilateral,8.881784197001252e-16,1.127986593019159e-13,0.0,5,5,other,valid
