scan_id,frame_index,file_name,size_bytes,sha256,shape,finite_fraction,min,max,source_identity,bscan_identity,formal_signal_definition,variance_denominator,validation_status
D285_F07_V01,0,frame_000.mat,5325674,439b698f321dc04004a4020a04310d1798dac3f5b810b5da3ebab5620fa95d17,"[351, 500]",1.0,524.4941885415006,226901458526.96347,True,True,"var(abs(E), 1, 3)",N,passed
D285_F07_V01,1,frame_001.mat,5325505,f66f582f9a7bbd59de0b79a9b4d6b0889de83528ae2fb372787abe58f720f043,"[351, 500]",1.0,167.2247330918416,5709925279.359511,True,True,"var(abs(E), 1, 3)",N,passed
D285_F07_V01,2,frame_002.mat,5325601,01719ad4367ad49f507f90fdc4389eeef6b2587cea5c43ee369212760779aa32,"[351, 500]",1.0,530.82973889285,7679851322.005428,True,True,"var(abs(E), 1, 3)",N,passed
D285_F07_V01,3,frame_003.mat,5325370,344d6ddfbeab3072ea9ceaced496395c22908c81651ddb1c01aa8d02164d83e2,"[351, 500]",1.0,126.9727939015886,6234420193.753985,True,True,"var(abs(E), 1, 3)",N,passed
D285_F07_V01,4,frame_004.mat,5325420,65841b2957a4ba0f13eca289fa2686670ccb2990878c233e51a79d639fd5fda6,"[351, 500]",1.0,196.5407796729713,6166681281.8130865,True,True,"var(abs(E), 1, 3)",N,passed
D285_F07_V01,5,frame_005.mat,5325402,64f3793d46c32bed03404adc99c8708189329c073791cac6d77d540f360d2e59,"[351, 500]",1.0,613.8067777599613,4793230128.054656,True,True,"var(abs(E), 1, 3)",N,passed
D285_F07_V01,6,frame_006.mat,5325362,98bb617537b63527341cc072b3b0c4567e943a35511cecf0c8c659b788aa4077,"[351, 500]",1.0,158.76085067551483,10845142511.80895,True,True,"var(abs(E), 1, 3)",N,passed
D285_F07_V01,7,frame_007.mat,5325496,2702524918b2df8f96d8b0dd1e01f67410d751a975fdc30dea6c67af96af57c4,"[351, 500]",1.0,140.9394341908894,10023354328.5827,True,True,"var(abs(E), 1, 3)",N,passed
D285_F07_V01,8,frame_008.mat,5325622,0b61f653d22d2fb7b5d629a82022b4eeefc0c76dfebe7ea28c038032dea4868f,"[351, 500]",1.0,8.410043927484326,11944424858.143587,True,True,"var(abs(E), 1, 3)",N,passed
D285_F07_V01,9,frame_009.mat,5325238,37abc79f30abafa027b7e343fc5c0aba8cdf4e9c38c83ef056dc1f449489ddcd,"[351, 500]",1.0,45.6565068268261,2949228699.50707,True,True,"var(abs(E), 1, 3)",N,passed
D285_F07_V01,10,frame_010.mat,5325342,13edae8cbc3814e4e419520a0da16f3ecf8c2c2fdf7d110f755f46e08e116afa,"[351, 500]",1.0,15.264279804501184,4909199965.239198,True,True,"var(abs(E), 1, 3)",N,passed
D285_F07_V01,11,frame_011.mat,5325307,5d142d71ebd4c203986ae35f114d0ad41a9994cc07de4ae9130301d9e2bb6f32,"[351, 500]",1.0,49.211822653878016,4440802547.58125,True,True,"var(abs(E), 1, 3)",N,passed
D285_F07_V01,12,frame_012.mat,5325440,4f4440da2ccc5001a65b41c35ad6512e7b5b2303659118986d3d5377508c3b3b,"[351, 500]",1.0,177.33310858905892,6922464713.015218,True,True,"var(abs(E), 1, 3)",N,passed
D285_F07_V01,13,frame_013.mat,5325218,d2790f43a0c998505c466c9228165e7fcfc355a35fdaa3a3c8486e3b655eab42,"[351, 500]",1.0,45.84565790855788,7808652173.146764,True,True,"var(abs(E), 1, 3)",N,passed
D285_F07_V01,14,frame_014.mat,5325470,121afdd9131864cee8083b28c6536208235df13bf6bd653f25a114cc45da734a,"[351, 500]",1.0,41.789055241276806,9203530739.211731,True,True,"var(abs(E), 1, 3)",N,passed
D285_F07_V01,15,frame_015.mat,5325577,093cd789c7ddff3e91918b9cb0f00c24d982dfedb7d66d919521686e391603e7,"[351, 500]",1.0,207.98675650256897,9797378911.294655,True,True,"var(abs(E), 1, 3)",N,passed
D285_F07_V01,16,frame_016.mat,5325687,78d818d9d2cb88f0be460f756f688e6a8d8bc975f2be950e7170b07ac2c12b73,"[351, 500]",1.0,191.87615356603328,15794250357.023514,True,True,"var(abs(E), 1, 3)",N,passed
D285_F07_V01,17,frame_017.mat,5325626,f1a47c391ca0938ee0dcd7388613b5210022641573ae08f7bf2177c11d53196a,"[351, 500]",1.0,310.3302085842747,20074159997.86793,True,True,"var(abs(E), 1, 3)",N,passed
D285_F07_V01,18,frame_018.mat,5325423,536cb0fd6f495dcf867f0740848e597ded2b510388c7947d9a1b217927fbfce7,"[351, 500]",1.0,164.42896195183002,14977903371.190527,True,True,"var(abs(E), 1, 3)",N,passed
D285_F07_V01,19,frame_019.mat,5325382,57aa5d57ea302cc0e57159c39c50fe4917d10e7c262d8363a9ab374244660d18,"[351, 500]",1.0,12.07511574749757,4814001291.072352,True,True,"var(abs(E), 1, 3)",N,passed
D285_F07_V01,20,frame_020.mat,5325369,7e053e1784ed2ce80226a1086b4d13dfddf9d30c19f64c771842fc7853cfa132,"[351, 500]",1.0,172.33678533240166,3612298522.4086795,True,True,"var(abs(E), 1, 3)",N,passed
D285_F07_V01,21,frame_021.mat,5325415,c42e3d950688ea5546c28e699f21a0d885753664cdf6ff81247b4974ad8e7ac2,"[351, 500]",1.0,1.3836278911706146,5409506823.759232,True,True,"var(abs(E), 1, 3)",N,passed
D285_F07_V01,22,frame_022.mat,5325426,216f5408f173dfd1b58db1072f42e281e2c07fafd796efed4e2529247c55f560,"[351, 500]",1.0,108.95164123208211,12625222180.603441,True,True,"var(abs(E), 1, 3)",N,passed
D285_F07_V01,23,frame_023.mat,5325772,9828a44bbac1ef33b9d566b1f0729ec24720d0f93bd1c6002121d5ccb12c314a,"[351, 500]",1.0,53.96651872229901,5246519244.588908,True,True,"var(abs(E), 1, 3)",N,passed
D285_F07_V01,24,frame_024.mat,5325629,e4906358ce3d846e3efe6ad4089242b76d7a4487f601b3e6c73bf6377f63dfc5,"[351, 500]",1.0,3.1656701462261174,4926716786.2611885,True,True,"var(abs(E), 1, 3)",N,passed
D285_F07_V01,25,frame_025.mat,5325478,306a73c2e8173e12303d978083491529d49ddbac28591097db62eec7ea456de3,"[351, 500]",1.0,47.43489397708285,4161069293.152883,True,True,"var(abs(E), 1, 3)",N,passed
D285_F07_V01,26,frame_026.mat,5325506,8ef0538942d6c4f684112c73d170426d2ce03b66803f893ef82d8b18fbb117b9,"[351, 500]",1.0,84.74978647155747,4743900438.818503,True,True,"var(abs(E), 1, 3)",N,passed
D285_F07_V01,27,frame_027.mat,5325509,8f7a112340bafce2aa4bd18c04b32501bc72c98010d749290f4f8a7337085ddf,"[351, 500]",1.0,419.7103355267471,4872381633.230824,True,True,"var(abs(E), 1, 3)",N,passed
D285_F07_V01,28,frame_028.mat,5325378,5080dd054eb390f301dea0c8dffbb2d5ccddcbba3c3063bc6a7809e0157a8e5a,"[351, 500]",1.0,32.15880186949695,3933434743.0921288,True,True,"var(abs(E), 1, 3)",N,passed
D285_F07_V01,29,frame_029.mat,5325354,534df11208a7a94f933dc41eced99ada241a0063650ae73447301ad2e7608963,"[351, 500]",1.0,98.25592321732351,4064142128.0746884,True,True,"var(abs(E), 1, 3)",N,passed
D285_F07_V01,30,frame_030.mat,5325463,34947c5ab90722b54135cfd2975ec02d12eb058d7441ea46d9c53d93b4b747c9,"[351, 500]",1.0,60.56943791233861,6398573284.922324,True,True,"var(abs(E), 1, 3)",N,passed
