scan_id,total_frames,z_localization_valid,geometry_qc_valid,failed,not_assessable,direct_candidate,short_gap_fill,missing_segment_count,relock_events,finite_fraction,tracking_config_sha256,tracking_table_sha256
D235_F01_V01,500,492,448,8,52,319,173,1,1,1.0,65246b2c543d2fa909577bf446617917b233232ed224558ab630d38464aab83b,1726035cf9bfd9bbf2ebb25fb6b588379aa886edc36d21323eb56883bafb7a41
D235_F03_V01,500,498,448,2,52,340,158,1,0,1.0,65246b2c543d2fa909577bf446617917b233232ed224558ab630d38464aab83b,6eaf02d06e62befad55d7073fefdfe26b7570feff2342eb3edb153049199dc3a
D235_F05_V01,500,490,424,10,76,325,165,1,1,1.0,65246b2c543d2fa909577bf446617917b233232ed224558ab630d38464aab83b,72e59eab579246f4ba43e49e7c67773808a666bcc70883c6bd2bfe2c40812ba2
D235_F07_V01,500,490,444,10,56,323,167,1,1,1.0,65246b2c543d2fa909577bf446617917b233232ed224558ab630d38464aab83b,6cc43625f00e7e76eca9f66963b78c67f48e954580dc77b9a22a7b994840dbf0
D235_F10_V01,500,478,461,22,39,304,174,2,1,1.0,65246b2c543d2fa909577bf446617917b233232ed224558ab630d38464aab83b,f8ed72016743b57c10f500f7e2a6662b833e6526de1a67df0322a70f516ea7c8
D285_F01_V01,500,454,453,46,47,350,104,2,2,1.0,65246b2c543d2fa909577bf446617917b233232ed224558ab630d38464aab83b,15cfc6b6bd50eecc6270d3446edeeae74559c45ff4d5c986b5bb1341bd29c58e
D285_F03_V01,500,474,474,26,26,347,127,1,1,1.0,65246b2c543d2fa909577bf446617917b233232ed224558ab630d38464aab83b,121cd2d30de56269c6e3f7e7d96a74a02694ae7dda8d8550af7f2ff076ba3037
D285_F05_V01,500,500,492,0,8,350,150,0,0,1.0,65246b2c543d2fa909577bf446617917b233232ed224558ab630d38464aab83b,d53a744f8692aafd47fa289d0a3dc262f1c54ce7fb95597e0d8e3debb4819e86
D285_F07_V01,500,466,458,34,42,359,107,2,2,1.0,65246b2c543d2fa909577bf446617917b233232ed224558ab630d38464aab83b,ac71f9b92b9d5525e876dd9b64664e56328024527bf90301bd4156da3d335b9f
D285_F10_V01,500,494,494,6,6,357,137,1,1,1.0,65246b2c543d2fa909577bf446617917b233232ed224558ab630d38464aab83b,d7186686690dca2107e0a3309bf4a68cbfc36851d4ad5f09d79bb506392022a2
D500_F01_V01,500,500,500,0,0,435,65,0,0,1.0,65246b2c543d2fa909577bf446617917b233232ed224558ab630d38464aab83b,f1ef3bde709d3dece89edb9f0f0f3133a8f3daa77d729e7647f540de7f50bd90
D500_F02_V01,500,494,493,6,7,425,69,1,1,1.0,65246b2c543d2fa909577bf446617917b233232ed224558ab630d38464aab83b,a07f65888fd75a8f448b4507bdf48324ad6dfac431fba508e8047dc17093da50
D500_F03_V01,500,490,490,10,10,440,50,1,1,1.0,65246b2c543d2fa909577bf446617917b233232ed224558ab630d38464aab83b,7047f451a15182f5347bc8587a1372b433104036c9fe2ccaf54ebf79307ce14a
D500_F05_V01,500,500,471,0,0,397,103,0,0,1.0,65246b2c543d2fa909577bf446617917b233232ed224558ab630d38464aab83b,706ef4ba58e2716f326950675d9cfa980c90d1d9e09db627c5f67b6c6dd59f21
D500_F07_V01,500,500,477,0,3,419,81,0,0,1.0,65246b2c543d2fa909577bf446617917b233232ed224558ab630d38464aab83b,65f1a21126b473dad234150249dd195055b0da59eb74fc9294eb92d1a308d798
D500_F09_V01,500,500,482,0,0,417,83,0,0,1.0,65246b2c543d2fa909577bf446617917b233232ed224558ab630d38464aab83b,b2fdee89582181dd9ea593d5aae4339dd1c60ef7f06d53550a8d45bf9d8df2cb
D500_F10_V01,500,500,500,0,0,424,76,0,0,1.0,65246b2c543d2fa909577bf446617917b233232ed224558ab630d38464aab83b,576173eadcc02d1b6cb60a4339419ad487aae6d58f165e6a43be61c0711a081d
D500_F12_V01,500,500,500,0,0,422,78,0,0,1.0,65246b2c543d2fa909577bf446617917b233232ed224558ab630d38464aab83b,3f47eb7420bcfa90bb4aad12cd5a2130fe086f424bfe1afb7905255539234182
