scan_id,diameter_um,flow_speed_mm_s,tracking_status,sv_export_status,processing_status,exported_frames,error,geometry_valid_frames,z_valid_frames,completed_at_utc
D235_F01_V01,235.0,1.0,passed,passed,complete,500,,448,492,2026-09-07T09:15:50.820746+00:00
D235_F03_V01,235.0,3.0,passed,passed,complete,500,,448,498,2026-09-07T09:21:55.496539+00:00
D235_F05_V01,235.0,5.0,passed,passed,complete,500,,424,490,2026-09-07T09:25:55.017927+00:00
D235_F07_V01,235.0,7.0,passed,passed,complete,500,,444,490,2026-09-07T09:29:56.214590+00:00
D235_F10_V01,235.0,10.0,passed,passed,complete,500,,461,478,2026-09-07T09:35:14.448357+00:00
D285_F01_V01,285.0,1.0,passed,passed,complete,500,,453,454,2026-09-07T09:40:52.166267+00:00
D285_F03_V01,285.0,3.0,passed,passed,complete,500,,474,474,2026-09-07T09:46:44.899133+00:00
D285_F05_V01,285.0,5.0,passed,passed,complete,500,,492,500,2026-09-07T09:52:08.454108+00:00
D285_F07_V01,285.0,7.0,passed,passed,complete,500,,458,466,2026-09-07T09:56:50.112729+00:00
D285_F10_V01,285.0,10.0,passed,passed,complete,500,,494,494,2026-09-07T10:00:34.804252+00:00
D500_F01_V01,500.0,1.0,passed,passed,complete,500,,500,500,2026-09-07T10:02:16.774246+00:00
D500_F02_V01,500.0,2.0,passed,passed,complete,500,,493,494,2026-09-07T10:03:12.047837+00:00
D500_F03_V01,500.0,3.0,passed,passed,complete,500,,490,490,2026-09-07T10:04:23.159726+00:00
D500_F05_V01,500.0,5.0,passed,passed,complete,500,,471,500,2026-09-07T10:05:38.528988+00:00
D500_F07_V01,500.0,7.0,passed,passed,complete,500,,477,500,2026-09-07T10:06:49.319004+00:00
D500_F09_V01,500.0,9.0,passed,passed,complete,500,,482,500,2026-09-07T10:07:50.802927+00:00
D500_F10_V01,500.0,10.0,passed,passed,complete,500,,500,500,2026-09-07T10:09:01.457347+00:00
D500_F12_V01,500.0,12.0,passed,passed,complete,500,,500,500,2026-09-07T10:10:17.895878+00:00
