scan_id,diameter_um,flow_speed_mm_s,oct,dicom,frames,tracking_status,sv_export_status
D128_F01_V01,128.0,1.0,128/1.oct,128/1.oct-Flow_ed.dcm,500,legacy_reference_not_rerun,legacy_reference_not_rerun
D128_F03_V01,128.0,3.0,128/3.oct,128/3.oct-Flow_ed.dcm,500,legacy_reference_not_rerun,legacy_reference_not_rerun
D128_F05_V01,128.0,5.0,128/5.oct,128/5.oct-Flow_ed.dcm,500,legacy_reference_not_rerun,legacy_reference_not_rerun
D128_F07_V01,128.0,7.0,128/7.oct,128/7.oct-Flow_ed.dcm,500,legacy_reference_not_rerun,legacy_reference_not_rerun
D128_F10_V01,128.0,10.0,128/10.oct,128/10.oct-Flow_ed.dcm,500,legacy_reference_not_rerun,legacy_reference_not_rerun
D235_F01_V01,235.0,1.0,235/1.oct,235/1.oct-Flow_ed.dcm,500,passed,passed
D235_F03_V01,235.0,3.0,235/3.oct,235/3.oct-Flow_ed.dcm,500,passed,passed
D235_F05_V01,235.0,5.0,235/5.oct,235/5.oct-Flow_ed.dcm,500,passed,passed
D235_F07_V01,235.0,7.0,235/7.oct,235/7.oct-Flow_ed.dcm,500,passed,passed
D235_F10_V01,235.0,10.0,235/10.oct,235/10.oct-Flow_ed.dcm,500,passed,passed
D285_F01_V01,285.0,1.0,285/1.oct,285/1.oct-Flow_ed.dcm,500,passed,passed
D285_F03_V01,285.0,3.0,285/3.oct,285/3.oct-Flow_ed(1).dcm,500,passed,passed
D285_F05_V01,285.0,5.0,285/5.oct,285/5.oct-Flow_ed(1).dcm,500,passed,passed
D285_F07_V01,285.0,7.0,285/7.oct,285/7.oct-Flow_ed.dcm,500,passed,passed
D285_F10_V01,285.0,10.0,285/10.oct,285/10.oct-Flow_ed.dcm,500,passed,passed
D500_F01_V01,500.0,1.0,0.5mm/1.oct,0.5mm/1.oct-Flow_ed.dcm,500,passed,passed
D500_F02_V01,500.0,2.0,0.5mm/2.oct,0.5mm/2.oct-Flow_ed.dcm,500,passed,passed
D500_F03_V01,500.0,3.0,0.5mm/3.oct,0.5mm/3.oct-Flow_ed.dcm,500,passed,passed
D500_F05_V01,500.0,5.0,0.5mm/5.oct,0.5mm/5.oct-Flow_ed.dcm,500,passed,passed
D500_F07_V01,500.0,7.0,0.5mm/7.oct,0.5mm/7.oct-Flow_ed.dcm,500,passed,passed
D500_F09_V01,500.0,9.0,0.5mm/9.oct,0.5mm/9.oct-Flow_ed.dcm,500,passed,passed
D500_F10_V01,500.0,10.0,0.5mm/10.oct,0.5mm/10.oct-Flow_ed.dcm,500,passed,passed
D500_F12_V01,500.0,12.0,0.5mm/12.oct,0.5mm/12.oct-Flow_ed.dcm,500,passed,passed
