scan_id,frame_index_0based,shape_z,shape_x,crop_first_matlab,crop_last_matlab,expected_transform,best_flip_diagnostic,spearman_identity,spearman_flip_z,spearman_flip_x,spearman_flip_zx
flow01,0,351,500,50,400,identity,identity,0.6637584277931755,0.052207840504469444,0.007020180552683855,0.025817406974728906
flow01,249,351,500,50,400,identity,identity,0.6558560222537867,0.008281242287151757,0.007765428300774309,0.002534339071821681
flow01,499,351,500,50,400,identity,identity,0.6670373420182726,0.04238277657127396,-0.002592438371393843,0.03197122224058451
flow03,0,351,500,50,400,identity,identity,0.6722385184043954,0.06810027019394316,-0.019089292087987087,0.05861132077345379
flow03,249,351,500,50,400,identity,identity,0.6491307110310465,0.017100953158864677,-0.01660894781288435,0.008657911067521128
flow03,499,351,500,50,400,identity,identity,0.6561599580932512,0.05126428039603887,-0.025828195937459636,0.034109497332815854
flow05,0,351,500,50,400,identity,identity,0.6518493652592237,0.04187544894644618,-0.006921312432237717,0.028082615295656036
flow05,249,351,500,50,400,identity,identity,0.6543255894361065,0.0036841685671107948,0.00150593863366618,-0.002904061044646577
flow05,499,351,500,50,400,identity,identity,0.6646524236092597,0.05923799232086963,-0.03273219941483348,0.03522841350367889
flow07,0,351,500,50,400,identity,identity,0.6596470574672643,0.04747865150752562,0.009669230360217036,0.03562922120702486
flow07,249,351,500,50,400,identity,identity,0.6482536207181753,0.0024149457657241663,0.016416886499135253,-0.008991341881455554
flow07,499,351,500,50,400,identity,identity,0.6575783537071904,0.04820673326737488,-0.02879566475738111,0.03611642080439847
flow10,0,351,500,50,400,identity,identity,0.6470128327694455,0.034770737771769644,-0.014911567417246661,0.013543362262248913
flow10,249,351,500,50,400,identity,identity,0.6524065845982919,0.011214437660337195,3.0913993936572194e-05,-0.0010270041237615867
flow10,499,351,500,50,400,identity,identity,0.6556110962600012,0.03568493971278677,-0.015584465614474062,0.021035709769521713
