scan_id,asset_type,file,bytes,sha256
flow01,raw_oct,1.oct,1536021062,ac8af862695d65c416ffd5503c04c2b9eb868fc822871d1057151b56235dcbd0
flow01,localization_flow_dicom,1.oct-Flow_ed.dcm,175505836,ffc3bde86c3e4b36b54c3089327a10f1833418b1fb0b84ee2e4fe05e1a030d37
flow03,raw_oct,3.oct,1536021062,e989a8257a7fafda8d6e9ad2b1fef0c94807ae323683bc6e918c88bc2cce38f3
flow03,localization_flow_dicom,3.oct-Flow_ed.dcm,175505836,8a17755ea23b8d9283caa3467a200f47bc1b62db89b4c687e56d622403c0c8ba
flow05,raw_oct,5.oct,1536021062,e4739d3b26e250fa1159b0fa28b7a9a962626f0cc9239b7cd8bd74aa662ba0d2
flow05,localization_flow_dicom,5.oct-Flow_ed.dcm,175505834,19921fb413bf733191a363e591dd25190ebe29ecdb7b28fd97e533303756e0ad
flow07,raw_oct,7.oct,1536021062,96b8d8f7b1ec9341013d635a98e75554e7e5595ff5194d5f996808fa1207bdd4
flow07,localization_flow_dicom,7.oct-Flow_ed.dcm,175505836,f1e43b9ed8c7a2c9cc214cd00b6be458538101ed31b9943be04789e40861c226
flow10,raw_oct,10.oct,1536021062,f7e0c352514c236a4f5ccf4a811e421222a108ecbaeaf400fc5b0ea57a4e3fa5
flow10,localization_flow_dicom,10.oct-Flow_ed.dcm,175505836,5d0428f6f13c0aded385e97d76b152ba373e4bee5e7d00942c0af42427c0819c
