scan_id,frame_index_0based,shape_z,shape_x,crop_first_matlab,crop_last_matlab,expected_transform,best_flip_diagnostic,spearman_identity,spearman_flip_z,spearman_flip_x,spearman_flip_zx
flow01,0,351,500,50,400,identity,identity,0.6637584277931755,0.052207840504469444,0.007020180552683855,0.025817406974728906
flow01,49,351,500,50,400,identity,identity,0.6478549089695332,0.014760698800559089,-0.005163753169321342,0.008276231660976149
flow01,99,351,500,50,400,identity,identity,0.6546552272391603,0.018141402626176462,0.0015054349548179141,0.017444333833210847
flow01,149,351,500,50,400,identity,identity,0.6531123167546069,0.018601796667314097,0.00363367221027236,0.009980126009113681
flow01,199,351,500,50,400,identity,identity,0.6594047895095912,0.012430255260924988,0.007141350449026697,0.0029369712601560543
flow01,249,351,500,50,400,identity,identity,0.6558560222537867,0.008281242287151757,0.007765428300774309,0.002534339071821681
flow01,299,351,500,50,400,identity,identity,0.6612788109106158,0.02280133213377719,0.0031900983944541292,0.010405140584428601
flow01,349,351,500,50,400,identity,identity,0.6576239125039307,0.0040242469362733015,0.010740482401295005,0.001959123700106223
flow01,399,351,500,50,400,identity,identity,0.6601854309264246,0.0012949080018316217,0.010904951910374413,-0.003955323156877771
flow01,449,351,500,50,400,identity,identity,0.6614186436923282,0.011066901566255945,0.016957603411986048,0.0027158970843083117
flow01,497,351,500,50,400,identity,identity,0.673068342820049,0.056300635250249705,-0.02823330534009781,0.021927774550327222
flow01,498,351,500,50,400,identity,identity,0.6529156168587917,0.029322923873215525,-0.016252231540522882,0.02152666250416873
flow01,499,351,500,50,400,identity,identity,0.6670373420182726,0.04238277657127396,-0.002592438371393843,0.03197122224058451
flow03,0,351,500,50,400,identity,identity,0.6722385184043954,0.06810027019394316,-0.019089292087987087,0.05861132077345379
flow03,13,351,500,50,400,identity,identity,0.6461337395300698,0.04556121252875757,-0.027367458228535278,0.03821430437816401
flow03,14,351,500,50,400,identity,identity,0.6477814350793324,0.050506694815911995,-0.028289432419389453,0.038572607238598795
flow03,19,351,500,50,400,identity,identity,0.6447653806312589,0.038849636750026985,-0.011962653812864257,0.02951694690036919
flow03,20,351,500,50,400,identity,identity,0.6532743117998131,0.04108743427973043,-0.013449380143380828,0.02871036889411765
flow03,22,351,500,50,400,identity,identity,0.6424332613695365,0.03633842951716308,-0.029504963664412468,0.030049978755234796
flow03,23,351,500,50,400,identity,identity,0.6552549748983151,0.0560204432459179,-0.010474508509244763,0.03668543490684697
flow03,49,351,500,50,400,identity,identity,0.6524414901568635,0.031735033496621184,-0.004389594959541871,0.026282021073536863
flow03,99,351,500,50,400,identity,identity,0.6432757623286354,0.023686796897185242,-0.024873014101249678,0.020477269083017273
flow03,149,351,500,50,400,identity,identity,0.6510814213569052,0.03927284936006213,-0.020049332453035244,0.020301695515210445
flow03,194,351,500,50,400,identity,identity,0.6550575077599021,0.03362717097645948,-0.012422206386595814,0.02332215235985646
flow03,195,351,500,50,400,identity,identity,0.6451813585282831,0.025403913725696614,-0.026636700082714602,0.019250677264793715
flow03,199,351,500,50,400,identity,identity,0.6493925804423906,0.03435765617916015,-0.02510140952747499,0.010636475042150447
flow03,212,351,500,50,400,identity,identity,0.6502355052077304,0.027758391425718877,-0.014101656814096617,0.015127369899320528
flow03,213,351,500,50,400,identity,identity,0.6539760153249236,0.03153696288205111,-0.013065404998904673,0.018215831504677007
flow03,215,351,500,50,400,identity,identity,0.6502269502377274,0.020625847654312125,-0.01437236281619698,0.011485093950911622
flow03,216,351,500,50,400,identity,identity,0.6469374671489763,0.01576324236625811,-0.014448914232201538,0.00908379590570942
flow03,249,351,500,50,400,identity,identity,0.6491307110310465,0.017100953158864677,-0.01660894781288435,0.008657911067521128
flow03,299,351,500,50,400,identity,identity,0.6511076301919501,0.022132258458716313,-0.007858107690127054,0.014347072362301662
flow03,349,351,500,50,400,identity,identity,0.6503440637432406,0.01800829198129602,-0.008552154986853215,0.014223217564998137
flow03,399,351,500,50,400,identity,identity,0.6556247088450837,0.0314104060267174,-0.008511453551156123,0.011304451227314412
flow03,420,351,500,50,400,identity,identity,0.6881130074661198,0.06259520940384235,0.033233709138753946,0.04455645628433122
flow03,423,351,500,50,400,identity,identity,0.682483383822912,0.05277279049616885,0.014458594393583879,0.03757967779682474
flow03,432,351,500,50,400,identity,identity,0.6874122847949148,0.06847142541122503,0.03724148122446814,0.04984363669124335
flow03,434,351,500,50,400,identity,identity,0.7233799181424037,0.12746951161213313,0.11840070855814437,0.1283315453534078
flow03,436,351,500,50,400,identity,identity,0.6932273366323493,0.06990561117164741,0.027658088153011122,0.051373294910953056
flow03,447,351,500,50,400,identity,identity,0.7286731372007743,0.1491739295941563,0.11646875002099949,0.13791259904858325
flow03,449,351,500,50,400,identity,identity,0.6925979039676838,0.06718038397038739,0.028686922978628463,0.051421717443268136
flow03,469,351,500,50,400,identity,identity,0.6646152711627904,0.02787160954300514,-0.013727906915559444,0.023515324589672985
flow03,470,351,500,50,400,identity,identity,0.6650369072917494,0.036984118987749566,-0.012495621189672786,0.021694404199433193
flow03,471,351,500,50,400,identity,identity,0.6569592350924524,0.03915191033987459,-0.017084867578853906,0.016131309711463065
flow03,499,351,500,50,400,identity,identity,0.6561599580932512,0.05126428039603887,-0.025828195937459636,0.034109497332815854
flow05,0,351,500,50,400,identity,identity,0.6518493652592237,0.04187544894644618,-0.006921312432237717,0.028082615295656036
flow05,45,351,500,50,400,identity,identity,0.6516524306043281,0.023802884287285563,0.001360715128325221,0.02280988205685615
flow05,46,351,500,50,400,identity,identity,0.653938934508503,0.031086734044443634,0.012813741303068563,0.02561434397972643
flow05,49,351,500,50,400,identity,identity,0.6470839005441854,0.02949186810833817,-0.005714681161095089,0.018511822749222574
flow05,51,351,500,50,400,identity,identity,0.6448075346712007,0.02788590875332429,-0.013151871359418633,0.010180389020066337
flow05,52,351,500,50,400,identity,identity,0.6456722004329337,0.020397639634316313,-0.0014941519997523902,0.013685881664811928
flow05,54,351,500,50,400,identity,identity,0.6461052281006355,0.024859205184319833,-0.00993111039006224,0.015691583994017693
flow05,55,351,500,50,400,identity,identity,0.6472177522172845,0.01850325616360502,-0.0033276432369201848,0.015280751695314735
flow05,99,351,500,50,400,identity,identity,0.6499227513617788,0.0179015447993784,-0.008627726527945506,0.009694472901810504
flow05,149,351,500,50,400,identity,identity,0.6482211006260632,0.0287578403536391,-0.009076089880188834,0.017604459398883294
flow05,199,351,500,50,400,identity,identity,0.6526573574208415,0.02050697161624287,-0.006065767307211686,0.0080097165044133
flow05,249,351,500,50,400,identity,identity,0.6543255894361065,0.0036841685671107948,0.00150593863366618,-0.002904061044646577
flow05,299,351,500,50,400,identity,identity,0.6549310839941193,0.018762616012610745,-0.00676356198187417,0.009718553242003403
flow05,349,351,500,50,400,identity,identity,0.657891622499248,0.02414274772789649,-0.001666856629899615,0.01134209828309374
flow05,399,351,500,50,400,identity,identity,0.6583462559557206,0.01785191273954221,-0.0002977800675486221,0.01103599535784547
flow05,449,351,500,50,400,identity,identity,0.6648551093563259,0.021343481343593596,0.005611843904719934,0.008077314235799979
flow05,499,351,500,50,400,identity,identity,0.6646524236092597,0.05923799232086963,-0.03273219941483348,0.03522841350367889
flow07,0,351,500,50,400,identity,identity,0.6596470574672643,0.04747865150752562,0.009669230360217036,0.03562922120702486
flow07,49,351,500,50,400,identity,identity,0.6406316551973348,0.011182676060413127,0.0050608611027793855,0.000607503363984122
flow07,99,351,500,50,400,identity,identity,0.6395672323665418,0.008116839390212587,-0.005037990867980402,0.006975484411342527
flow07,149,351,500,50,400,identity,identity,0.64790395349735,0.01829349160980366,0.005019848031855016,0.004224714731129298
flow07,199,351,500,50,400,identity,identity,0.6479562419642907,0.013084693072145548,0.019572806032997058,0.0046353786042277354
flow07,249,351,500,50,400,identity,identity,0.6482536207181753,0.0024149457657241663,0.016416886499135253,-0.008991341881455554
